q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{a=0.15}_Selenow,strat{a=0.15}_Selenow_relDiffDebye,strat{a=0.20}_Selenow,strat{a=0.20}_Selenow_relDiffDebye,strat{a=0.25}_Selenow,strat{a=0.25}_Selenow_relDiffDebye,strat{a=0.30}_Selenow,strat{a=0.30}_Selenow_relDiffDebye,strat{a=0.35}_Selenow,strat{a=0.35}_Selenow_relDiffDebye,strat{a=0.40}_Selenow,strat{a=0.40}_Selenow_relDiffDebye,strat{a=0.45}_Selenow,strat{a=0.45}_Selenow_relDiffDebye,strat{a=0.50}_Selenow,strat{a=0.50}_Selenow_relDiffDebye
0.2,1.387581,0.974371,29.77916244168809,0.963865,30.536307429980663,0.953729,31.26678730827245,0.945116,31.88750782837182,0.936838,32.484085613740746,0.928918,33.054863103487286,0.922366,33.527051754095794,0.916124,33.97689936659553,38.062418,2643.07719693481,61.672052,4344.5731096058535,41.624231,2899.769454900291,629.922417,45297.163625042434,108.06353,7687.907877089699,41.613238,2898.9772128618083,115.164108,8199.631372871205,126.066887,8985.37137651784
0.22,1.488168,1.024456,31.159922804414553,1.012696,31.950156165164138,1.001306,32.71552674160444,0.991587,33.36861160836679,0.982202,33.99925277253643,0.973176,34.605770316254606,0.965666,35.11041764101902,0.958465,35.594301181049445,38.770266,2505.234489654394,56.65131,3706.781895592433,43.009541,2790.09984087818,603.808303,40473.93405852028,97.66219,6462.578284172217,42.100897,2729.0419495648343,97.63452,6460.718951086167,107.303816,7110.463872358497
0.24,1.384872,0.966417,30.21614994021109,0.956111,30.96033424027636,0.946174,31.67787347855976,0.937737,32.287099457567194,0.929634,32.872207684175876,0.92189,33.43139293739783,0.915491,33.89345730146901,0.909401,34.33320913412937,39.910928,2781.921794938449,56.208593,3958.7572714301386,44.826377,3136.8606629349133,593.529811,42758.09887123142,92.253993,6561.553775366964,43.116765,3013.411564390066,92.8121,6601.854034163446,99.785253,7105.377320070013
0.26,1.0515,0.788476,25.01417023300049,0.782624,25.570708511650032,0.777143,26.09196386115074,0.772637,26.520494531621498,0.768465,26.917261055634818,0.764652,27.279885877318122,0.761659,27.564526866381367,0.758977,27.819591060389925,40.899993,3789.6807417974323,58.77889,5490.003804089395,46.011498,4275.796291012839,593.394233,56333.1177365668,89.459959,8407.842035187825,43.711045,4057.018069424631,95.285618,8961.875225867807,98.151854,9234.460675225868
0.28,0.690317,0.595792,13.692984527398277,0.594765,13.84175675812706,0.594107,13.937075285702063,0.593858,13.973145670757054,0.593943,13.960832487103747,0.594387,13.896514210138236,0.595083,13.795690965165269,0.596089,13.649960815103784,41.389757,5895.760933020628,63.047977,9033.191997299793,46.091087,6576.80022366536,598.656652,86621.99178058776,87.618704,12592.531691961809,43.65028,6223.222519509154,100.921814,14519.633298904708,98.789287,14210.713338944284
0.3,0.451258,0.467049,3.499328543759889,0.469245,3.985968115800724,0.47181,4.554379091340213,0.474405,5.129438148464964,0.477334,5.778512513905568,0.480622,6.507142255649762,0.483783,7.20762845201637,0.487254,7.97681149143063,41.272935,9046.194638100596,68.021471,14973.74295857359,45.080102,9889.873198923895,606.002848,134191.87914674086,85.605543,18870.421133808155,43.014622,9432.157213833329,106.720349,23549.51956530411,99.699211,21993.61629045912
0.32,0.351503,0.412523,17.359738039220137,0.416084,18.372816163731176,0.420015,19.491156547739283,0.423815,20.57222840203355,0.427948,21.748036289875188,0.432441,23.026261511281557,0.436646,24.22255286583613,0.441161,25.50703692429368,40.643332,11462.72691840468,73.025904,20675.328802314634,43.332754,12227.84755748884,613.645876,174477.7065914089,82.77332,23448.39645749823,41.974626,11841.47020082332,110.773429,31414.220077780272,100.156669,28393.830493623096
0.34,0.328205,0.4003,21.96645389314604,0.404167,23.144680915890973,0.408404,24.435642357672783,0.412474,25.675720967078497,0.416877,27.017260553617394,0.42164,28.468487683002998,0.426079,29.820996023826556,0.430828,31.2679575265459,39.727209,12004.388720464343,77.658557,23561.600828750325,41.374929,12506.428604073675,621.091636,189138.9317652077,78.990185,23967.33139348882,40.741212,12313.342880212062,112.311809,34120.017671881906,100.292052,30457.746530369735
0.36,0.317748,0.396809,24.881667233153333,0.400763,26.12604957387616,0.405088,27.487191107418468,0.409234,28.791998690786414,0.413715,30.20223573397788,0.418554,31.725140677518038,0.42306,33.14324559084558,0.427876,34.65891209386055,38.800379,12111.053728111585,81.702366,25612.944219947887,39.737684,12406.037488827626,628.676324,197753.74699447362,74.649163,23393.196810050737,39.582234,12357.115072321463,111.662606,35041.87532258268,100.66796,31581.697445774644
0.38,0.294551,0.387382,31.516104172112808,0.391573,32.938947754378695,0.396133,34.487066755841944,0.400488,35.96558830219554,0.405177,37.55750277541071,0.410225,39.271297670013,0.414911,40.862193643885085,0.419907,42.5583345498742,38.107979,12837.650525715413,85.029846,28767.614097388912,38.814935,13077.661932908051,637.017515,216167.3068500871,70.542477,23849.155494294708,38.804453,13074.103296203375,109.971242,37235.21257778789,101.898774,34494.61145947561
0.4,0.263723,0.373378,41.57961194131722,0.377919,43.301494370987754,0.38283,45.16367552318153,0.387494,46.932197798447625,0.392492,48.8273681097212,0.397849,50.85866610041598,0.402804,52.73753142501793,0.408069,54.73394432795018,37.803644,14234.602594388809,87.526115,33088.65438357671,38.773353,14602.302415792328,646.530194,245055.02781327383,67.590385,25529.309919878055,38.670011,14563.116603405848,108.690968,41114.064757340086,104.361931,39472.55567394577
0.42,0.236911,0.360315,52.088759069861666,0.365184,54.143961234387596,0.370422,56.354918091604,0.375374,58.44515450949933,0.380661,60.67679423918687,0.386307,63.05996766718304,0.391512,65.25699524293933,0.397026,67.58445154509498,37.92024,15906.111999864928,89.056204,37490.57367534644,39.534865,16587.64430524543,657.126416,277272.69101054827,66.513631,27975.366276787485,39.287403,16483.19073407313,108.999287,45908.53780533618,108.043163,45504.95840210036
0.44,0.218114,0.350538,60.71320502122744,0.355651,63.0573920060152,0.361134,65.57121505267888,0.366303,67.94107668466948,0.371806,70.46406924819132,0.377667,73.15119616347413,0.383059,75.6232979084332,0.388761,78.2375271646937,38.375857,17494.403385385627,89.48461,40926.53199702907,40.830925,18619.992756081683,668.149979,306230.6248108787,67.579699,30883.659462482923,40.544039,18488.462455413224,111.362244,50956.89868600824,112.530488,51492.51033863026
0.46,0.204974,0.343434,67.5500307356055,0.348725,70.13133373013164,0.354386,72.89314742357567,0.359712,75.49152575448593,0.365371,78.25236371442233,0.37139,81.18883370573829,0.376918,83.88576112092265,0.382756,86.733927229795,39.009271,18931.32641213032,88.732874,43189.819196581026,42.303729,20538.582942226818,678.520672,330927.6776566784,70.520263,34304.49178920254,42.12541,20451.587030550218,115.407558,56203.510689160576,117.133981,57045.77507391182
0.48,0.195531,0.33846,73.09787194869354,0.343875,75.86725378584468,0.349661,78.8263753573602,0.355096,81.60598575161995,0.360866,84.55692447744859,0.366994,87.690954375521,0.372617,90.56671320660149,0.378551,93.6015261007206,39.631967,20168.89188926564,86.845023,44314.963867622006,43.616075,22206.475699505445,687.005579,351253.78993612266,74.638481,38072.198270350986,43.618539,22207.735857741223,120.129784,61337.717804337924,121.079124,61823.23672461143
0.5,0.190444,0.33608,76.47182373821175,0.341555,79.34668458969566,0.3474,82.41582827497847,0.352888,85.29751528008232,0.35871,88.3545819243452,0.364891,91.60015542626705,0.37056,94.57688349331038,0.376538,97.71586398101279,40.081084,20946.1258952763,84.028445,44022.39030896222,44.53489,23284.769276007642,692.515229,363531.94902438513,79.046223,41406.281636596585,44.655875,23348.29713721619,124.312498,65175.092940706985,123.712214,64859.890571506585
