q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.15}_TeicoplaninUbiquitin,strat{a=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.20}_TeicoplaninUbiquitin,strat{a=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.25}_TeicoplaninUbiquitin,strat{a=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.30}_TeicoplaninUbiquitin,strat{a=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.35}_TeicoplaninUbiquitin,strat{a=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.40}_TeicoplaninUbiquitin,strat{a=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.45}_TeicoplaninUbiquitin,strat{a=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.50}_TeicoplaninUbiquitin,strat{a=0.50}_TeicoplaninUbiquitin_relDiffDebye
0.2,16.593902,16.132347,2.781473579872899,15.752313,5.0716763302567465,15.37296,7.357775163430512,15.036374,9.386146790549924,14.700413,11.410751973827498,14.365125,13.431301450376163,14.07234,15.195714666749263,13.780148,16.956554281205225,40.974088,146.92256227619038,2.565277,84.54084518517706,300.189782,1709.0367292756096,3.256909,80.37285624562564,444.480463,2578.577124295419,57.697737,247.70445793882595,191.061579,1051.3963322189077,1739.550606,10383.071468060978
0.22,11.691267,11.454958,2.0212437197781927,11.192512,4.266047469448771,10.930747,6.505026358563187,10.698684,8.489952372142383,10.467246,10.469532515167094,10.23648,12.443364778171603,10.035152,14.165402261363116,9.834418,15.882359029179646,40.945458,250.22258921979974,1.811943,84.50173963181237,277.599556,2274.418067776572,2.129074,81.78919359210597,407.964103,3389.477256827682,51.326379,339.01468506364625,190.245355,1527.243266277299,1672.67943,14207.084339105419
0.24,8.023579,7.953997,0.867218980457469,7.779563,3.041236336054026,7.605812,5.206741280917152,7.451982,7.123965502178015,7.298778,9.033387718872081,7.146246,10.93443462075964,7.013373,12.590466174758175,6.881093,14.239107011970592,40.736454,407.7092654038803,1.244114,84.49427618273592,246.234323,2968.8838858569225,1.393595,82.6312547056619,359.484159,4380.346725569724,46.272337,476.7044482269073,186.189276,2220.5264882417187,1583.955393,19641.25752360636
0.26,5.303166,5.355921,0.994783116349749,5.246803,1.062817946864197,5.138366,3.107577624385124,5.042594,4.913517698672827,4.947447,6.707672360246685,4.852973,8.48913648941028,4.7709,10.036759173670971,4.689421,11.57318100168842,40.19573,657.9572278144791,0.826146,84.42164548498009,216.397363,3980.5315730263774,0.927125,82.51751878029087,311.429623,5772.52262139258,42.494876,701.3114430134754,179.982627,3293.8712648255782,1501.829427,28219.48739677393
0.28,3.416406,3.550581,3.9273728005395254,3.486848,2.0618743790989815,3.423796,0.21630918573495092,3.368367,1.406126789380411,3.313564,3.0102394153388055,3.259432,4.594711518478775,3.212659,5.963781822183894,3.16648,7.315465433557952,39.384626,1052.8087118451379,0.535811,84.31653029528691,197.46235,5679.826812152888,0.655183,80.82244908831093,276.943886,8006.293163049124,40.02109,1071.4383477841918,173.714624,4984.718385344131,1451.209504,42377.66524236288
0.3,2.276693,2.454317,7.801842409143448,2.418144,6.213002807141763,2.382652,4.65407501143107,2.351721,3.2954816481624927,2.321414,1.964296459821329,2.29178,0.662671690913105,2.266443,0.45021441186842714,2.241699,1.5370539637974796,38.475064,1589.9539814986038,0.35395,84.45332769943072,193.34137,8392.202066769652,0.526433,76.87729526993759,263.411093,11469.899542889621,38.75226,1602.1293604363873,169.13381,7328.924760606724,1440.905706,63189.41609606566
0.32,1.739241,1.930235,10.981456853880507,1.907237,9.65915591916244,1.88492,8.376009995164551,1.8657,7.27093025060931,1.847105,6.201785721472755,1.829182,5.171278735954364,1.814092,4.303658894885758,1.799596,3.470191882551063,37.643301,2064.352208808325,0.258014,85.16513812634362,201.381824,11478.718762954646,0.495486,71.51136616489607,269.774399,15411.041828015786,38.397328,2107.706005090726,166.896834,9495.957891977017,1461.52052,83932.08756003337
0.34,1.598627,1.785348,11.68008547334681,1.765993,10.469359018707923,1.747319,9.301231619383387,1.731337,8.301498723592175,1.715979,7.340799323419403,1.701294,6.422198549129976,1.689037,5.6554781071506905,1.677373,4.925851996744705,36.998991,2214.4230017383666,0.221907,86.11890078173332,214.665071,13328.089917160165,0.519231,67.52019076369909,288.26509,17932.04187093049,38.540515,2310.8509990135285,166.56504,10319.256024075661,1493.085394,93297.98427025191
0.36,1.640707,1.81841,10.830879614702697,1.798224,9.600556345526662,1.778718,8.411678623910309,1.761997,7.392544799284706,1.745901,6.411504308813214,1.730477,5.471421771224243,1.717574,4.684992506279306,1.705263,3.93464524744516,36.564448,2128.5787773197776,0.220292,86.57334917203376,226.02575,13676.119075496112,0.561936,65.75037468603475,308.96808,18731.398903033874,38.779055,2263.5576004734544,167.122449,10086.00207105839,1516.938409,92356.3867284043
0.38,1.701566,1.874533,10.16516550048603,1.852935,8.895864162777118,1.832019,7.666643550705654,1.814044,6.610263721771596,1.796693,5.5905559937140366,1.780015,4.61040006676203,1.766015,3.7876285727382886,1.752607,2.9996485590332735,36.295193,2033.0464407492861,0.233528,86.27570132454457,231.512689,13505.860072427398,0.60089,64.68605978257675,324.563369,18974.392001250617,38.845298,2182.914562232673,167.609517,9750.309479620537,1524.97927,89522.10516665237
