q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.15}_BacteriorhodopsinArEnv,strat{a=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.20}_BacteriorhodopsinArEnv,strat{a=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.25}_BacteriorhodopsinArEnv,strat{a=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.30}_BacteriorhodopsinArEnv,strat{a=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.35}_BacteriorhodopsinArEnv,strat{a=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.40}_BacteriorhodopsinArEnv,strat{a=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.45}_BacteriorhodopsinArEnv,strat{a=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.50}_BacteriorhodopsinArEnv,strat{a=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0.26,0.879642,0.742869,15.548711862325812,0.740979,15.763571998608523,0.739727,15.905902628569352,0.738879,16.002305483367106,0.738467,16.0491427194245,0.738504,16.044936462788268,0.738924,15.997189765836556,0.739739,15.904538437227872,4.716175,436.1470916577425,4.917014,458.9789937269934,14.352939,1531.679592379627,24.277832,2659.967350353894,33.486343,3706.814931528963,56.161055,6284.535413270398,46.985022,5241.380015961039,92.812007,10451.111361212856
0.28,0.681558,0.629529,7.633833070699778,0.630611,7.4750791568729245,0.63196,7.277150293885485,0.633714,7.019798755204985,0.635904,6.698476138494446,0.638356,6.338712185903468,0.641005,5.950043870074146,0.64405,5.503273382456077,12.461202,1728.3406547938694,5.448664,699.4424539070776,31.333035,4497.266116750152,25.992577,3713.6999345616955,32.564618,4677.967245634268,42.772894,6175.752613864117,101.570757,14802.73124224204,101.209723,14749.759374844107
0.3,0.608019,0.586976,3.4609115833551125,0.589174,3.0994097223935437,0.5915,2.716855887727185,0.594231,2.2676922925105996,0.597397,1.7469848804067014,0.600756,1.1945350392010807,0.604242,0.6211976928352618,0.608124,0.017269197179696973,12.371781,1934.7688147903273,7.079904,1064.421506564762,17.657752,2804.1447717916712,25.508384,4095.326790774631,19.100703,3041.464822645345,49.208244,7993.208271452045,74.491865,12151.568618743824,60.06308,9778.487349901896
0.32,0.56771,0.567467,0.04280354406298871,0.570177,0.4345528526888722,0.572951,0.923182610840031,0.576129,1.4829754628243212,0.579743,2.119568089341382,0.583518,2.784520265628566,0.587388,3.466206337742857,0.591654,4.2176463335153445,4.324751,661.7887653907804,12.279207,2062.936534498247,23.457552,4031.9603318595755,16.08321,2732.997481108312,31.658634,5476.550351411812,41.569086,7222.23952370048,29.431065,5084.172376741645,48.471708,8438.110655087985
0.34,0.510772,0.542528,6.217255448615039,0.545892,6.875866335664453,0.549238,7.530953145434753,0.552989,8.265331693984782,0.557175,9.084875443446386,0.561481,9.927913041435318,0.565842,10.781718653332593,0.570598,11.712858183299014,8.102792,1486.3813991369927,10.814986,2017.3803575763745,20.758139,3964.071444793372,21.481614,4105.714878654273,31.301056,6028.185570078234,41.775506,8078.89508430376,25.488668,4890.22420962778,43.243203,8366.243842653865
0.36,0.437082,0.50911,16.479287639390304,0.513351,17.449586118851833,0.517464,18.39059947561327,0.521981,19.424044000896856,0.526935,20.557469765398714,0.531953,21.705538091250606,0.536971,22.853606417102498,0.542385,24.092275591307803,10.735107,2356.0853569810697,7.475487,1610.3168284212113,35.55934,8035.622148704362,37.874468,8565.30033266069,22.208319,4981.041772482051,29.180847,6576.286600683625,54.138685,12286.39088317524,44.511252,10083.730284019934
0.38,0.370309,0.477628,28.98093214045567,0.482694,30.34897882579144,0.48753,31.65491521945187,0.49277,33.06994969066374,0.498446,34.60272367131233,0.504135,36.13900823366431,0.509773,37.66152051394917,0.515806,39.290700469067716,11.321533,2957.320508008177,18.776805,4970.5775446991565,18.314464,4845.724786597139,13.900486,3653.7532169080414,28.081017,7483.131114825727,26.062396,6938.013118773782,53.466943,14338.467063992504,46.850652,12551.772438693091
0.4,0.326879,0.456285,39.58834920566939,0.461911,41.30947537162071,0.467236,42.93851853438123,0.472966,44.69146075459116,0.479132,46.57778566380833,0.485276,48.45738025385541,0.491333,50.31035949082078,0.497786,52.28448447284777,6.849775,1995.5078178775636,6.607374,1921.3516316435137,8.015766,2352.2119805799703,22.43642,6763.830347009137,28.528063,8627.4076952022,32.244046,9764.21458704903,44.686916,13570.782154864644,43.164116,13104.921698854929
0.42,0.303928,0.444304,46.18725487615488,0.450244,48.14166513121529,0.455845,49.98453581111317,0.46185,51.96033271037878,0.46829,54.079255613171554,0.47469,56.185017504145726,0.480983,58.25557368850518,0.487672,60.45642388986866,13.823001,4448.1169882340555,16.679379,5387.937603642969,33.334744,10867.97399384065,34.748848,11333.249980258484,32.917243,10730.605603958833,32.495955,10591.991195283095,33.207203,10826.009778631782,26.161651,8507.844950119765
0.44,0.287263,0.435226,51.507851689914816,0.441404,53.6584941325545,0.447213,55.68068285856517,0.453426,57.843509258066646,0.460075,60.15811294876124,0.466668,62.45322230847692,0.47314,64.70620998875596,0.480007,67.09670232504709,11.298033,3832.9927627296242,7.822169,2622.9991331984975,17.871975,6121.4677838774915,16.116764,5510.45592366577,24.398779,8393.533451923848,30.623403,10560.40631755569,58.439234,20243.460174126147,40.136082,13871.89404831113
