q_inverse_angstroms,debye,propo{e=0.380}_VATPaseLiRotor,propo{e=0.380}_VATPaseLiRotor_relDiffDebye,propo{e=0.390}_VATPaseLiRotor,propo{e=0.390}_VATPaseLiRotor_relDiffDebye,propo{e=0.400}_VATPaseLiRotor,propo{e=0.400}_VATPaseLiRotor_relDiffDebye,propo{e=0.410}_VATPaseLiRotor,propo{e=0.410}_VATPaseLiRotor_relDiffDebye,propo{e=0.420}_VATPaseLiRotor,propo{e=0.420}_VATPaseLiRotor_relDiffDebye,propo{e=0.430}_VATPaseLiRotor,propo{e=0.430}_VATPaseLiRotor_relDiffDebye,propo{e=0.440}_VATPaseLiRotor,propo{e=0.440}_VATPaseLiRotor_relDiffDebye,propo{e=0.450}_VATPaseLiRotor,propo{e=0.450}_VATPaseLiRotor_relDiffDebye,strat{a=0.15}_VATPaseLiRotor,strat{a=0.15}_VATPaseLiRotor_relDiffDebye,strat{a=0.20}_VATPaseLiRotor,strat{a=0.20}_VATPaseLiRotor_relDiffDebye,strat{a=0.25}_VATPaseLiRotor,strat{a=0.25}_VATPaseLiRotor_relDiffDebye,strat{a=0.30}_VATPaseLiRotor,strat{a=0.30}_VATPaseLiRotor_relDiffDebye,strat{a=0.35}_VATPaseLiRotor,strat{a=0.35}_VATPaseLiRotor_relDiffDebye,strat{a=0.40}_VATPaseLiRotor,strat{a=0.40}_VATPaseLiRotor_relDiffDebye,strat{a=0.45}_VATPaseLiRotor,strat{a=0.45}_VATPaseLiRotor_relDiffDebye,strat{a=0.50}_VATPaseLiRotor,strat{a=0.50}_VATPaseLiRotor_relDiffDebye
0.2,0.351863,0.197948,43.742877199364514,0.199289,43.36176295887888,0.200683,42.96558603774764,0.202194,42.53615753858745,0.203769,42.08854014204392,0.205447,41.61164998877404,0.207162,41.1242443792044,0.20896,40.61325004334073,3.295072,836.4644762308056,23.68016,6629.937504085397,17.297781,4816.055680762115,27.574648,7736.756919596547,25.141642,7045.292912298252,56.420807,15934.87920014324,44.605253,12576.880774619667,49.939619,14092.915708670705
0.22,0.413373,0.210897,48.981428395178206,0.211901,48.738548478008966,0.212985,48.47631557939198,0.214195,48.18360173499479,0.215486,47.87129299688175,0.216889,47.53189008474187,0.218347,47.17918199785665,0.219897,46.80421798230653,4.222567,921.49076016092,11.893146,2777.0979236670028,3.975712,861.7735072198718,8.162444,1874.595341253541,33.206293,7933.00965471862,22.662895,5382.432331090807,40.636824,9730.54626209259,12.362081,2890.539053107
0.24,0.287646,0.18227,36.63391807986206,0.184018,36.02622668140702,0.185788,35.41088699304006,0.187664,34.758696453279384,0.189583,34.091556983236345,0.191593,33.39278140492132,0.193619,32.68844343394311,0.195718,31.95872704643903,3.318608,1053.7125494531472,4.0922,1322.6514535227327,40.872068,14109.155698323633,25.912526,8908.477781717807,16.142395,5511.896219658886,15.352429,5237.264901997594,48.843096,16880.279927410775,39.976692,13797.878642498068
0.26,0.14158,0.150435,6.254414465319962,0.153012,8.07458680604605,0.155544,9.86297499646841,0.158161,11.711399915242254,0.160777,13.559118519564903,0.163463,15.456279135471101,0.166121,17.333662946743875,0.168829,19.246362480576348,8.81592,6126.811696567312,12.420854,8673.028676366717,19.100604,13391.032631727643,16.563214,11598.837406413333,38.067513,26787.63455290295,28.551632,20066.430286763665,14.927133,10443.249752789941,38.255612,26920.49159485803
0.28,0.074227,0.136435,83.80777884058361,0.139376,87.76994894041252,0.142243,91.63242485887885,0.145186,95.59728939604189,0.148109,99.53520955986365,0.151092,103.55396284370917,0.154027,107.50804963153568,0.157004,111.51871960337883,9.817289,13126.03500074097,0.809632,990.7513438506204,3.88885,5139.131313403479,16.50292,22133.041885028357,32.644117,43878.763792151105,44.334768,59628.627049456394,43.913767,59061.44664340469,51.06896,68701.05621943498
0.3,0.054651,0.132358,142.18770013357488,0.135405,147.76307844321238,0.13837,153.1884137527218,0.141408,158.74732392819894,0.144419,164.25682970119485,0.147489,169.87429324257565,0.150506,175.39477777167846,0.153561,180.9847944227919,2.038286,3629.6408116960342,13.479005,24563.7847431886,6.209425,11261.960439882163,12.529226,22825.886077107465,37.479187,68479.14219318952,20.831814,38017.90086183236,19.454022,35496.827139485096,25.372282,46326.015992388064
0.32,0.044875,0.130017,189.73147632311978,0.133125,196.6573816155989,0.136146,203.3894150417827,0.139238,210.27966573816158,0.142301,217.10529247910867,0.145421,224.05793871866297,0.148484,230.88356545961005,0.151584,237.791643454039,1.761001,3824.2362116991644,8.111218,17975.137604456824,8.189837,18150.333147632315,11.694334,25959.797214484683,6.3464,14042.395543175488,12.314356,27341.461838440115,18.580965,41306.050139275765,30.139501,67063.23342618384
0.34,0.032526,0.127244,291.207034372502,0.130423,300.98075385845175,0.133511,310.4746971653446,0.136668,320.1807784541598,0.139792,329.785402447273,0.14297,339.5560474697166,0.146088,349.14222468179304,0.149241,358.8360081165837,2.578045,7826.1052696304505,10.176887,31188.46768738855,5.481321,16752.121379819222,32.610937,100161.13570681917,9.666885,29620.48515034127,19.140817,58747.7433437865,36.604679,112439.7497386706,27.788257,85333.98204513313
0.36,0.023344,0.125263,436.59612748457846,0.128494,450.43694311172027,0.131629,463.86651816312536,0.134832,477.5873886223441,0.137999,491.15404386566144,0.141219,504.94773817683347,0.144377,518.4758396161754,0.147568,532.145305003427,2.961951,12588.275359835505,6.446702,27516.098355037702,20.872497,89312.68420150787,19.106016,81745.51062371487,28.85421,123504.39513365318,23.041662,98604.85777930087,26.193994,112108.67888965044,39.894971,170800.32128169978
0.38,0.022749,0.125067,449.76922062508254,0.128303,463.9940217152403,0.131443,477.79682623412026,0.13465,491.89414919337116,0.137822,505.8376192360105,0.141046,520.0096707547585,0.144208,533.909182821223,0.147403,547.9537562090642,3.349372,14623.161457646489,9.533453,41807.129983735555,7.522554,32967.62495054728,14.938473,65566.50402215484,15.914594,69857.33438832476,34.110426,149842.5293419491,22.855556,100368.39861092795,34.939543,153487.15987515936
0.4,0.023897,0.125255,424.14529020379126,0.128486,437.6658157927772,0.131622,450.78880194166624,0.134825,464.19215801146584,0.137992,477.44486755659705,0.141213,490.92354688873075,0.14437,504.1344101770096,0.147562,517.4917353642716,7.04458,29378.930409674853,8.9573,37382.94765033267,12.417658,51863.250617232276,7.709434,32161.09553500439,16.875364,70517.08164204712,46.286916,193593.41758379713,27.414058,114617.57124325227,21.231152,88744.42398627441
0.42,0.022676,0.125027,451.36267419297934,0.128264,465.63767860292813,0.131405,479.489327923796,0.134613,493.6364438172517,0.137786,507.62921150114647,0.141011,521.8512965249603,0.144173,535.7955547715645,0.147369,549.8897512788851,3.276561,14349.466396189802,3.74357,16408.95219615452,26.406354,116350.67031222436,19.021067,83781.93243958369,9.297148,40899.94708061386,12.323522,54246.101605221374,25.955514,114362.48897512787,40.802026,179834.84741576997
0.44,0.023374,0.125211,435.684949088731,0.128444,449.5165568580474,0.13158,462.93317361170534,0.134784,476.6407119021134,0.137952,490.1942329083597,0.141174,503.97877984084874,0.144332,517.4895182681612,0.147524,531.1457174638487,6.13283,26137.828356293325,6.316886,26925.26739111834,14.368204,61370.88217677762,5.562961,23699.781808847438,20.986808,89686.97698297253,55.824425,238731.28689997434,20.576142,87930.04192692736,19.068164,81478.52314537519
0.46,0.023904,0.125267,424.04200133868795,0.128498,437.5585676037483,0.131633,450.6735274431056,0.134836,464.0729585006693,0.138003,477.3217871485943,0.141223,490.7923360107094,0.144381,504.00351405622484,0.147572,517.3527443105755,1.805676,7453.86546184739,8.334953,34768.444611780455,5.368968,22360.5421686747,13.059521,54533.20364792503,21.613487,90317.8673025435,15.343372,64087.46653279785,25.996924,108655.53882195447,33.027759,138068.3358433735
0.48,0.019822,0.12432,527.1819190798103,0.127576,543.6081121985671,0.130733,559.5348602562808,0.133958,575.8046614872364,0.137146,591.8878014327514,0.140386,608.2332761578045,0.143563,624.260922207648,0.146772,640.4500050448996,3.764062,18889.31490263344,8.832947,44461.330844516204,3.949372,19824.18524871355,19.145931,96489.29976793462,16.601045,83650.60538795278,9.612216,48392.664715972154,8.955145,45077.80748663102,33.359886,168197.27575421252
0.5,0.018183,0.124022,582.0766650167739,0.127285,600.0219985700929,0.13045,617.4283671561349,0.133682,635.2032117912335,0.136876,652.7690700104492,0.140123,670.6264092833965,0.143305,688.1262717923333,0.14652,705.8076225045372,17.718678,97346.39498432602,14.89313,81806.89105208161,6.619843,36306.7700599461,10.870442,59683.54506957047,16.877933,92722.59803112796,20.874455,114702.04036737612,13.718927,75349.19430237035,27.34738,150300.81394709344
