q_inverse_angstroms,debye,propo{e=0.380}_MtCorB,propo{e=0.380}_MtCorB_relDiffDebye,propo{e=0.390}_MtCorB,propo{e=0.390}_MtCorB_relDiffDebye,propo{e=0.400}_MtCorB,propo{e=0.400}_MtCorB_relDiffDebye,propo{e=0.410}_MtCorB,propo{e=0.410}_MtCorB_relDiffDebye,propo{e=0.420}_MtCorB,propo{e=0.420}_MtCorB_relDiffDebye,propo{e=0.430}_MtCorB,propo{e=0.430}_MtCorB_relDiffDebye,propo{e=0.440}_MtCorB,propo{e=0.440}_MtCorB_relDiffDebye,propo{e=0.450}_MtCorB,propo{e=0.450}_MtCorB_relDiffDebye,strat{s=0.15}_MtCorB,strat{s=0.15}_MtCorB_relDiffDebye,strat{s=0.20}_MtCorB,strat{s=0.20}_MtCorB_relDiffDebye,strat{s=0.25}_MtCorB,strat{s=0.25}_MtCorB_relDiffDebye,strat{s=0.30}_MtCorB,strat{s=0.30}_MtCorB_relDiffDebye,strat{s=0.35}_MtCorB,strat{s=0.35}_MtCorB_relDiffDebye,strat{s=0.40}_MtCorB,strat{s=0.40}_MtCorB_relDiffDebye,strat{s=0.45}_MtCorB,strat{s=0.45}_MtCorB_relDiffDebye,strat{s=0.50}_MtCorB,strat{s=0.50}_MtCorB_relDiffDebye
0.2,0.518358,0.137034,73.56383040292617,0.137215,73.5289124504686,0.137487,73.47643906335003,0.137833,73.40968982826541,0.138243,73.33059391385875,0.138743,73.23413548165554,0.139271,73.13227537724892,0.139881,73.01459608996097,0.041987,91.89999961416628,0.040347,92.21638327179285,0.034733,93.29941854857069,0.039674,92.34621632153839,0.038403,92.591413656199,0.041057,92.07941229806427,0.038812,92.51251065865675,0.037415,92.78201551823257
0.22,0.396078,0.121959,69.20833775165498,0.122525,69.06543660592106,0.12317,68.90258989390978,0.123866,68.72686693025112,0.124602,68.54104494569252,0.125428,68.33250016410908,0.126247,68.12572271118314,0.127148,67.89824226541236,0.035553,91.02373774862527,0.033432,91.55923833184373,0.028163,92.88953185988619,0.033097,91.6438176318806,0.031226,92.11619933447453,0.033386,91.57085220587865,0.030845,92.21239250854629,0.030485,92.30328369664561
0.24,0.264688,0.105218,60.24829232908178,0.106211,59.873133651695575,0.107269,59.47341775977755,0.108354,59.06350117874629,0.109452,58.648673154808684,0.11064,58.199842833826985,0.111783,57.76801366136735,0.113007,57.30558242156803,0.025947,90.1971377621955,0.024841,90.61498821253703,0.020624,92.2081847307018,0.023556,91.1004654536662,0.022625,91.45220032642204,0.023348,91.17904854016804,0.021491,91.88062926917729,0.021874,91.73593060508976
0.26,0.166864,0.092489,44.57222648384313,0.093806,43.78296097420654,0.095179,42.96013519992329,0.096559,42.133114392559214,0.097933,41.30968932783584,0.099396,40.4329274139419,0.100785,39.60051299261675,0.102255,38.719556045641966,0.018129,89.13546361108448,0.017869,89.29127912551539,0.01446,91.33426023588072,0.015594,90.65466487678589,0.015277,90.84463994630357,0.015379,90.78351232141145,0.014224,91.47569277974877,0.014746,91.1628631700067
0.28,0.105187,0.084356,19.80377803340717,0.085881,18.353979103881663,0.087456,16.85664578322416,0.089024,15.36596727732514,0.090573,13.893351840056281,0.092213,12.334223810927206,0.093758,10.865411124948908,0.095386,9.317691349691506,0.013632,87.04022360177588,0.012808,87.82359036763097,0.010856,89.67933299742363,0.010636,89.88848431840437,0.010337,90.17273997737362,0.01058,89.94172283647218,0.009551,90.91998060596842,0.010059,90.43703119206747
0.3,0.069539,0.079363,14.127324235321185,0.081015,16.50296955665166,0.082713,18.944764808237093,0.084397,21.366427472353635,0.086055,23.75070104545651,0.087802,26.262960353183107,0.089444,28.624225254892927,0.091168,31.10340959749205,0.010664999999999999,84.66328247458262,0.00889,87.21580695724701,0.008605,87.62564891643538,0.007253,89.56988164914652,0.007008,89.9222019298523,0.007358,89.41888724312975,0.006309,90.92739326133538,0.006909,90.06456808409669
0.32,0.058171,0.077393,33.0439566106823,0.079096,35.971532206769695,0.080843,38.97474686699558,0.082572,41.94701827371028,0.084272,44.86943666087913,0.086063,47.94829038524351,0.087743,50.83632737962215,0.089505,53.8653280844407,0.008497,85.39306527307421,0.006638,88.58881573292534,0.007053,87.87540183252823,0.0051919999999999996,91.0745904316584,0.005296,90.89580718914922,0.005542,90.47291605782951,0.004544,92.18854755806157,0.005127,91.18632995822661
0.34,0.056299,0.076876,36.54949466242739,0.078592,39.59750617240092,0.080351,42.72189559317218,0.082093,45.816089095721054,0.083804,48.85521945327626,0.085606,52.055986784845196,0.087296,55.05781630224337,0.089068,58.20529671930228,0.007028,87.51665216078437,0.005807,89.68542958134248,0.005961,89.41189008685767,0.004261,92.43148190909253,0.004668,91.70855610223983,0.004777,91.51494697952006,0.003847,93.16684132933088,0.00423,92.48654505408622
0.36,0.053356,0.076426,43.23787390359096,0.078153,46.474623285103824,0.079924,49.79383761901191,0.081675,53.07556788364944,0.083397,56.302946247844666,0.085208,59.69712872029388,0.086907,62.88140040482795,0.088688,66.21935677337132,0.006025,88.70792413224379,0.005377,89.92240797660995,0.005095,90.45093335332484,0.003749,92.97361121523352,0.004167,92.19019416747882,0.004218,92.0946097908389,0.003437,93.55836269585426,0.003625,93.20601244471099
0.38,0.051618,0.076153,47.531868727963115,0.077888,50.89309930644349,0.079665,54.33569684993608,0.081423,57.74148552830408,0.08315,61.08721763725833,0.084967,64.60730752838158,0.086671,67.90848153744818,0.088457,71.36851485915766,0.005333,89.66833275214073,0.004874,90.55755744120268,0.004522,91.2394901003526,0.003383,93.44608469913597,0.003749,92.73702971831531,0.003682,92.8668294005967,0.003102,93.99046844124143,0.003249,93.7056840636987
0.4,0.05058,0.075964,50.18584420719653,0.077703,53.62396204033214,0.079484,57.145116646896,0.081247,60.63068406484776,0.082978,64.05298536971135,0.0848,67.65519968366944,0.086507,71.03005140371688,0.088297,74.568999604586793,0.004749,90.61091340450771,0.00435,91.39976275207592,0.004228,91.6409648082246,0.003187,93.69909054962436,0.003554,92.97350731514432,0.003242,93.59035191775405,0.002804,94.45630684064848,0.002976,94.11625148279953
0.42,0.047875,0.075588,57.88616187989556,0.077337,61.53942558746736,0.079128,65.2804177545692,0.080899,68.97963446475195,0.082638,72.61201044386422,0.084468,76.43446475195822,0.086183,80.01671018276761,0.08798,83.77023498694517,0.004203,91.22088772845953,0.004001,91.64281984334204,0.003962,91.7242819843342,0.003113,93.49765013054831,0.00337,92.96083550913838,0.002929,93.88198433420365,0.002476,94.82819843342037,0.002675,94.41253263707573
0.44,0.043834,0.075085,71.29397271524388,0.076846,75.31140210795273,0.07865,79.42692886800201,0.080433,83.4945476114432,0.082183,87.4868823287859,0.084024,91.68681845143041,0.085748,95.61983848154402,0.087555,99.74220924396586,0.003771,91.39708901765754,0.003819,91.28758497969612,0.003535,91.93548387096774,0.002966,93.23356298763518,0.003111,92.90276953962677,0.002735,93.7605511703244,0.002119,95.16585299082902,0.00242,94.47917141944609
0.46,0.039366,0.074547,89.3689986282579,0.076323,93.88050602042372,0.078139,98.49362393944013,0.079935,103.05593659503127,0.081697,107.5318803027994,0.083549,112.23644769598131,0.085284,116.64380429812529,0.087101,121.25946248031296,0.003474,91.17512574302698,0.003627,90.78646547782351,0.00302,92.32840522278107,0.002618,93.34959101762942,0.002835,92.79835390946502,0.002559,93.49946654473403,0.00183,95.3513183965859,0.002222,94.35553523345018
0.48,0.035782,0.074105,107.10133586719579,0.075892,112.09546699457829,0.07772,117.20418087306466,0.079525,122.248616622883,0.081297,127.20082723156891,0.083158,132.40176625118772,0.084902,137.27572522497346,0.086727,142.37605499972054,0.003371,90.5790620982617,0.00343,90.41417472472192,0.002652,92.58845229444972,0.002286,93.61131295064557,0.002532,92.92381644402214,0.002384,93.33743222849478,0.001701,95.24621317981108,0.002034,94.31557766474764
0.5,0.033353,0.073799,121.26645279285222,0.075593,126.64527928522169,0.077429,132.15003148142594,0.079241,137.5828261325818,0.08102,142.916679159296,0.082888,148.51737474889813,0.084637,153.76128084430187,0.086469,159.25404011633137,0.003551,89.35328156387732,0.003301,90.10283932479838,0.002512,92.46844361826523,0.002214,93.36191646928313,0.002226,93.32593769675893,0.002225,93.32893592780259,0.001666,95.00494708122208,0.00189,94.33334332743681
