q_inverse_angstroms,debye,propo{e=0.380}_ArginaseI,propo{e=0.380}_ArginaseI_relDiffDebye,propo{e=0.390}_ArginaseI,propo{e=0.390}_ArginaseI_relDiffDebye,propo{e=0.400}_ArginaseI,propo{e=0.400}_ArginaseI_relDiffDebye,propo{e=0.410}_ArginaseI,propo{e=0.410}_ArginaseI_relDiffDebye,propo{e=0.420}_ArginaseI,propo{e=0.420}_ArginaseI_relDiffDebye,propo{e=0.430}_ArginaseI,propo{e=0.430}_ArginaseI_relDiffDebye,propo{e=0.440}_ArginaseI,propo{e=0.440}_ArginaseI_relDiffDebye,propo{e=0.450}_ArginaseI,propo{e=0.450}_ArginaseI_relDiffDebye,strat{s=0.15}_ArginaseI,strat{s=0.15}_ArginaseI_relDiffDebye,strat{s=0.20}_ArginaseI,strat{s=0.20}_ArginaseI_relDiffDebye,strat{s=0.25}_ArginaseI,strat{s=0.25}_ArginaseI_relDiffDebye,strat{s=0.30}_ArginaseI,strat{s=0.30}_ArginaseI_relDiffDebye,strat{s=0.35}_ArginaseI,strat{s=0.35}_ArginaseI_relDiffDebye,strat{s=0.40}_ArginaseI,strat{s=0.40}_ArginaseI_relDiffDebye,strat{s=0.45}_ArginaseI,strat{s=0.45}_ArginaseI_relDiffDebye,strat{s=0.50}_ArginaseI,strat{s=0.50}_ArginaseI_relDiffDebye
0.2,0.230269,0.147137,36.10212403753871,0.148915,35.32998362784396,0.150681,34.5630545145026,0.1525,33.77310884226709,0.154457,32.923233261967525,0.156357,32.09811133934659,0.158278,31.26386964810721,0.160325,30.374909345157185,0.023959,89.59521255575001,0.026039,88.69192118782814,0.0178,92.26991040913019,0.020937,90.9075906874134,0.01592,93.0863468378288,0.02119,90.797719189296,0.022983,90.0190646591595,0.02162,90.610981069966
0.22,0.284683,0.154892,45.591412202344365,0.156467,45.03816525749694,0.158048,44.482810705240574,0.15969,43.906028810993284,0.16147,43.280771946340316,0.16321,42.66956579774697,0.164979,42.048172880010405,0.166874,41.38252020668604,0.026865,90.5631878264596,0.028764,89.89613008152928,0.017847,93.73092176210031,0.019342,93.2057762493721,0.019872,93.01960426158217,0.022084,92.24259966348536,0.023565,91.72237190137803,0.02087,92.66903889589473
0.24,0.377672,0.17163,54.55580503717511,0.172768,54.25448537355165,0.173948,53.942044949056324,0.175207,53.60868690292106,0.176605,53.23852443390032,0.177998,52.869685864983374,0.179439,52.488137855070015,0.181006,52.07322756254105,0.032703,91.34089898112649,0.035311,90.65035268698766,0.023654,93.73689338897245,0.023315,93.82665381600967,0.02752,92.7132538287191,0.027485,92.72252112944565,0.028268,92.51519837319155,0.025637,93.21183460780783
0.26,0.377801,0.17217,54.42838954899537,0.173294,54.130878425414444,0.174461,53.82198564852925,0.175708,53.49191770270592,0.177093,53.12532259046429,0.178475,52.759521547057844,0.179906,52.38075071267677,0.181463,51.96862898721813,0.03311,91.23612695572535,0.035596,90.57810858097251,0.02513,93.34835005730531,0.023358,93.8173800492852,0.029059,92.30838457283068,0.027824,92.63527624331327,0.027958,92.59980783534189,0.025937,93.13474554064177
0.28,0.296502,0.157684,46.81857120693959,0.159186,46.311997895461076,0.1607,45.80137739374439,0.162277,45.269509143277276,0.163994,44.69042367336476,0.165676,44.123142508313606,0.16739,43.54506883596063,0.16923,42.92449966610681,0.028098,90.52350405730822,0.029473,90.05976350918374,0.021478,92.75620400536927,0.019033,93.58081901639785,0.024387,91.7750976384645,0.022976,92.2509797573035,0.022623,92.37003460347654,0.021173,92.85907009058961
0.3,0.19551,0.139096,28.854790036315276,0.141084,27.837962252570204,0.143043,26.835967469694637,0.145045,25.811978926909102,0.147186,24.71689427650759,0.149252,23.660170835251392,0.151331,22.596798117743337,0.153535,21.469490051659754,0.021144,89.18520791775357,0.020964,89.27727481970231,0.01581,91.91345711216819,0.013539,93.07503452508823,0.017403,91.09866502992175,0.016541,91.53956319369854,0.015715,91.96204797708558,0.01463,92.51700680272108
0.32,0.122116,0.125187,2.5148219725506817,0.127537,4.439221723607069,0.12983,6.316944544531427,0.13215,8.216777490255158,0.134609,10.230436634020116,0.136962,12.157293065609746,0.139313,14.0825117101772,0.14179,16.110910937141732,0.015399,87.3898588227587,0.013833,88.67224606112222,0.011106,90.90536866585869,0.009618,92.12388221035737,0.011633,90.47381178551541,0.011543,90.54751220151331,0.010156,91.68331750139212,0.009331,92.35890464803957
0.34,0.088665,0.11852,33.67168555799922,0.121045,36.51948344893702,0.123497,39.28494896520612,0.125969,42.07297129645295,0.12858,45.01776349179497,0.131072,47.828342638019514,0.133553,50.62651553600633,0.136161,53.56792420910169,0.012049,86.41064681666948,0.00966,89.10505836575875,0.008496,90.41786499746235,0.007977,91.00321434613433,0.008437,90.48440760164664,0.008889,89.97462358315006,0.006972,92.13669429876501,0.006388,92.79535329611458
0.36,0.083238,0.117127,40.713376102260966,0.119688,43.7900958696749,0.122174,46.776712559167684,0.124678,49.784953987361526,0.127321,52.96018645330255,0.129841,55.98764987145295,0.13235,59.00189817150818,0.134985,62.16751964247097,0.010596,87.2702371513011,0.008054,90.32413080564164,0.007523,90.96206059732333,0.007779,90.65450875801918,0.007343,91.17830798433407,0.007923,90.48151084841058,0.005757,93.08368773877316,0.005355,93.56664023643047
0.38,0.087979,0.117795,33.88990554564157,0.120339,36.78150467725253,0.122808,39.58785619295514,0.125297,42.416940406233294,0.127925,45.40401686766161,0.130432,48.25356050875776,0.132927,51.08946453130859,0.135549,54.06972118346424,0.009986,88.64956410052399,0.007802,91.1319746757749,0.007212,91.80258925425386,0.007855,91.07173302719967,0.007219,91.7946328101024,0.007588,91.37521453983337,0.005602,93.63257140908627,0.005256,94.02584707714341
