q_inverse_angstroms,debye,propo{e=0.380}_GPx,propo{e=0.380}_GPx_relDiffDebye,propo{e=0.390}_GPx,propo{e=0.390}_GPx_relDiffDebye,propo{e=0.400}_GPx,propo{e=0.400}_GPx_relDiffDebye,propo{e=0.410}_GPx,propo{e=0.410}_GPx_relDiffDebye,propo{e=0.420}_GPx,propo{e=0.420}_GPx_relDiffDebye,propo{e=0.430}_GPx,propo{e=0.430}_GPx_relDiffDebye,propo{e=0.440}_GPx,propo{e=0.440}_GPx_relDiffDebye,propo{e=0.450}_GPx,propo{e=0.450}_GPx_relDiffDebye,strat{s=0.15}_GPx,strat{s=0.15}_GPx_relDiffDebye,strat{s=0.20}_GPx,strat{s=0.20}_GPx_relDiffDebye,strat{s=0.25}_GPx,strat{s=0.25}_GPx_relDiffDebye,strat{s=0.30}_GPx,strat{s=0.30}_GPx_relDiffDebye,strat{s=0.35}_GPx,strat{s=0.35}_GPx_relDiffDebye,strat{s=0.40}_GPx,strat{s=0.40}_GPx_relDiffDebye,strat{s=0.45}_GPx,strat{s=0.45}_GPx_relDiffDebye,strat{s=0.50}_GPx,strat{s=0.50}_GPx_relDiffDebye
0.2,1.576085,1.027062,34.834606001579864,1.013707,35.68195877760401,1.002086,36.41929210670744,0.990798,37.13549713372058,0.980502,37.788761392945176,0.971161,38.38143247350237,0.962734,38.91611175793184,0.954607,39.431756535973626,1.918013,21.694769000402896,2.382645,51.174904906778515,2.088482,32.5107465650647,1.914869,21.495287373460187,2.073357,31.551090201353365,1.860478,18.04426791702225,2.151564,36.513195671553255,2.27553,44.37863440106339
0.22,0.746652,0.607549,18.630232022414724,0.605265,18.936130888285298,0.603548,19.166090762497124,0.602166,19.351183683965225,0.601193,19.481498743725325,0.600591,19.56212532746179,0.600321,19.5982867520612,0.600351,19.594268815994603,1.011807,35.51252792465565,1.281775,71.66966672559641,1.052605,40.97665311282901,1.039647,39.24117259446167,1.040411,39.343496032957795,0.935645,25.312059701172696,1.084899,45.3018273573231,1.129026,51.211809517686966
0.24,0.564602,0.511073,9.480837829125658,0.511335,9.434433459321797,0.511897,9.33489431493335,0.512792,9.17637557075604,0.513963,8.968972833960931,0.515371,8.71959362524398,0.516977,8.435145465301225,0.518883,8.097562530773901,0.692545,22.660741548914086,0.850689,50.67056085525732,0.701609,24.266120205029377,0.780294,38.20248599898689,0.679103,20.27994941569459,0.680247,20.482570022777104,0.680863,20.591673426590756,0.682356,20.856107488106648
0.26,0.568917,0.50929,10.48079069530353,0.509599,10.426476972915202,0.510203,10.320310344039648,0.51114,10.155611451231017,0.51235,9.942926648351172,0.513796,9.688759520281513,0.515436,9.400492514725347,0.517377,9.059317967295762,0.614058,7.934549327933597,0.664338,16.772393864131317,0.613863,7.900273677882722,0.738605,29.82649490171676,0.566723,0.3856450062135653,0.623715,9.631984981992103,0.555299,2.3936707815024016,0.53829,5.383386328761482
0.28,0.5708,0.508268,10.955150665732292,0.508604,10.896285914505963,0.509232,10.786264891380512,0.510194,10.617729502452686,0.511427,10.401716888577438,0.512893,10.144884372810079,0.514554,9.853889278206031,0.516514,9.510511562718982,0.651325,14.107393132445702,0.562701,1.4188857743517813,0.596969,4.584618079887877,0.725028,27.019621583742122,0.526884,7.693763139453392,0.587794,2.9772249474421977,0.505418,11.454449894884362,0.4867,14.733707077785557
0.3,0.535673,0.490682,8.398967280411734,0.491482,8.249622437569187,0.492525,8.054914098713201,0.493902,7.79785428797045,0.495526,7.49468425700006,0.497359,7.152497885837061,0.499361,6.778762416623567,0.501664,6.348835950290561,0.728357,35.97045212284362,0.543175,1.400481263756062,0.596759,11.403598837350415,0.690135,28.835128893933447,0.524628,2.0618922364950207,0.573256,7.016034035689691,0.47225,11.839872459504203,0.460869,13.96448952999311
0.32,0.461718,0.455005,1.453917759324961,0.456747,1.076631190466909,0.458632,0.6683733361055955,0.460851,0.187776954764598,0.463268,0.3357027449655408,0.465844,0.8936190488566534,0.46854,1.477525242680596,0.471537,2.126622743752673,0.749236,62.27134311419525,0.578605,25.315668871475665,0.574117,24.343646987988333,0.61677,33.581536782191726,0.5259,13.900692630566713,0.570501,23.56048497134615,0.439653,4.778891011396567,0.432958,6.228910287231602
0.34,0.363669,0.407446,12.037594625882313,0.410443,12.861695662814258,0.413451,13.68882142827681,0.416793,14.607788950941652,0.420266,15.56277824065289,0.423834,16.54389018585581,0.427454,17.53930084774891,0.431376,18.61775405657341,0.680869,87.22217181008001,0.593749,63.26632184761416,0.504795,38.806167146498595,0.504762,38.79709296090677,0.489224,34.52452642375346,0.532126,46.32151764379146,0.39938,9.81964368697909,0.388217,6.7500941790474185
0.36,0.277944,0.36531,31.43295052240739,0.369418,32.91094608985983,0.373421,34.35116426330483,0.377758,35.91155052816393,0.382168,37.49820107647583,0.386613,39.09744408945685,0.391053,40.69488817891372,0.395794,42.40062746452521,0.588386,111.69228333765071,0.549694,97.77149353826668,0.415533,49.502417753216456,0.3888,39.88429323892581,0.414744,49.21854762110352,0.445832,60.40353452494026,0.357363,28.573741473102483,0.336939,21.225498661600884
0.38,0.232189,0.342385,47.45961264314846,0.347098,49.48942456360982,0.351643,51.446881635219576,0.356521,53.54775635366015,0.36144,55.66628910068951,0.366363,57.78654458221535,0.371249,59.89086476964886,0.376435,62.124390044317344,0.546489,135.36386305983487,0.478482,106.07436183453997,0.356375,53.48487654453914,0.313991,35.230781819982866,0.341652,47.14392154667103,0.353712,52.33796605351675,0.325997,40.40156941112627,0.299783,29.11162888853478
0.4,0.220387,0.336202,52.550740288674014,0.341078,54.76321198618793,0.345769,56.89174043841061,0.350793,59.17136673215754,0.35585,61.46596668587531,0.360901,63.757844155962026,0.365907,66.02930299881571,0.371214,68.43733977049462,0.555702,152.14826645854794,0.431682,95.87452980438955,0.344055,56.11401761446909,0.293021,32.95747934315544,0.301738,36.91279431182421,0.297995,35.21441827331014,0.307258,39.41747925240598,0.281179,27.584204149972553
0.42,0.21863,0.335205,53.32067877235511,0.340108,55.563280428120585,0.344822,57.71943466129993,0.34987,60.02835841375842,0.354949,62.35146137309611,0.360021,64.67136257604172,0.365046,66.96976627178339,0.370372,69.40584549238439,0.566363,159.05090792663404,0.424158,94.00722682157068,0.353103,61.507112473128124,0.30087,37.61606366921284,0.293267,34.13849883364589,0.279116,27.665919590175175,0.292682,33.870923478022235,0.268415,22.771348854228616
0.44,0.213138,0.332509,56.00643714400999,0.337483,58.340136437425514,0.342261,60.58187653069842,0.347372,62.97985342829529,0.352511,65.39096735448396,0.35764,67.79738948474699,0.362717,70.17941427619665,0.368095,72.70266212500822,0.550575,158.3185541761676,0.432924,103.1191059313684,0.353299,65.76068087342473,0.306329,43.72331541067291,0.294306,38.08236916927063,0.27147,27.36818399346902,0.276003,29.494975086563635,0.250663,17.605964210980694
0.46,0.204567,0.328313,60.4916726549248,0.333397,62.97692198643965,0.338274,65.36098197656514,0.343485,67.90831365762806,0.348717,70.46591092404934,0.353933,73.01568679210234,0.359092,75.53759892846843,0.364552,78.2066511216374,0.520307,154.34552004966585,0.430794,110.58821804103303,0.337745,65.10238699301453,0.297742,45.54742456016855,0.287199,40.393611872882715,0.259521,26.86357037058763,0.258504,26.366422736805063,0.228721,11.807378511685663
0.48,0.195013,0.32366,65.96842261797933,0.328867,68.63850102300873,0.333854,71.19576643608376,0.339174,73.92378969607154,0.34451,76.66001753729238,0.349823,79.38445129299073,0.355072,82.07606672375688,0.360623,84.9225436252968,0.491374,151.96986867542165,0.409132,109.79729556491107,0.317145,62.627619697148404,0.281393,44.29448293190711,0.26934,38.11386933178815,0.24716,26.740268597478117,0.243861,25.048586504489446,0.208451,6.8908226631045135
0.5,0.182212,0.317506,74.25087260992689,0.322875,77.19744034421443,0.328007,80.01393980637937,0.333473,83.01374223432046,0.338945,86.01683752991019,0.344386,89.00291967598183,0.349756,91.95003622154412,0.355426,95.06179614954009,0.46131,153.1721291682216,0.375964,106.33328211094768,0.302107,65.79972778960772,0.266843,46.44644699580707,0.248674,36.47509494435053,0.241195,32.37053542027966,0.233237,28.00309529558974,0.192944,5.8898426009263884
