q_inverse_angstroms,debye,propo{e=0.380}_NeonMOF,propo{e=0.380}_NeonMOF_relDiffDebye,propo{e=0.390}_NeonMOF,propo{e=0.390}_NeonMOF_relDiffDebye,propo{e=0.400}_NeonMOF,propo{e=0.400}_NeonMOF_relDiffDebye,propo{e=0.410}_NeonMOF,propo{e=0.410}_NeonMOF_relDiffDebye,propo{e=0.420}_NeonMOF,propo{e=0.420}_NeonMOF_relDiffDebye,propo{e=0.430}_NeonMOF,propo{e=0.430}_NeonMOF_relDiffDebye,propo{e=0.440}_NeonMOF,propo{e=0.440}_NeonMOF_relDiffDebye,propo{e=0.450}_NeonMOF,propo{e=0.450}_NeonMOF_relDiffDebye,strat{s=0.15}_NeonMOF,strat{s=0.15}_NeonMOF_relDiffDebye,strat{s=0.20}_NeonMOF,strat{s=0.20}_NeonMOF_relDiffDebye,strat{s=0.25}_NeonMOF,strat{s=0.25}_NeonMOF_relDiffDebye,strat{s=0.30}_NeonMOF,strat{s=0.30}_NeonMOF_relDiffDebye,strat{s=0.35}_NeonMOF,strat{s=0.35}_NeonMOF_relDiffDebye,strat{s=0.40}_NeonMOF,strat{s=0.40}_NeonMOF_relDiffDebye,strat{s=0.45}_NeonMOF,strat{s=0.45}_NeonMOF_relDiffDebye,strat{s=0.50}_NeonMOF,strat{s=0.50}_NeonMOF_relDiffDebye
0.26,0.497531,0.732366,47.20007396524035,0.74186,49.10829676944752,0.751278,51.001244143581005,0.760957,52.94665056046759,0.770849,54.93486838006074,0.780901,56.955244999809054,0.791055,58.996122854656285,0.801248,61.04483941704134,0.578257,16.225320633287176,0.377808,24.06342519360603,0.310728,37.546002158659455,0.339653,31.732294068108324,0.383335,22.952539640746007,0.328028,34.06883189188212,0.363915,26.855814009579305,0.370938,25.44424367526848
0.28,0.218487,0.60722,177.92042547153838,0.620025,183.78118606599023,0.632479,189.48129637003578,0.645056,195.23770292969377,0.657707,201.0279787813463,0.670381,206.82878157510518,0.683018,212.61264972286682,0.695557,218.35166394339254,0.401571,83.7962899394472,0.23646,8.226118716445379,0.190614,12.757280753545968,0.18121,17.061426995656483,0.221681,1.4618718733837723,0.177728,18.655114491937734,0.194142,11.142539373051934,0.214181,1.9708266395712226
0.3,0.111514,0.559176,401.4401779148806,0.573253,414.06370500564947,0.586872,426.27652133364415,0.600561,438.55211004896245,0.614272,450.8474272288682,0.627952,463.1149452086733,0.641543,475.3026525817385,0.654982,487.35405419947267,0.330295,196.1915095862403,0.213449,91.41004716896532,0.152797,37.020463798267464,0.137341,23.160320677224373,0.152908,37.120002869594835,0.128279,15.03398676399376,0.118206,6.001040228132794,0.154929,38.932331366465206
0.32,0.12063,0.564263,367.76340877062086,0.578206,379.32189339302,0.591701,390.5089944458261,0.605273,401.7599270496559,0.618871,413.03241316422105,0.632445,424.2850037304153,0.645935,435.4679598773108,0.659278,446.5290557904336,0.351931,191.74417640719554,0.254584,111.04534527066232,0.162347,34.58260797479896,0.184873,53.256238083395516,0.16111,33.55715825250767,0.15015,24.471524496393933,0.119648,0.8140595208488741,0.163508,35.545055127248595
0.34,0.135896,0.572011,320.9182021545888,0.585749,331.0274033084123,0.599056,340.8194501677754,0.612448,350.6740448578325,0.625876,360.5551303938306,0.639287,370.4237063636899,0.652623,380.237093071172,0.665822,389.9496673927121,0.375905,176.61226231824338,0.276483,103.45190439748042,0.172344,26.820509801613007,0.21711,59.76187672926356,0.171763,26.392976982398313,0.174585,28.469564961441108,0.135183,0.5246659209984043,0.158695,16.776799905810336
0.36,0.143594,0.574336,299.97214368288365,0.588012,309.49621850495146,0.601263,318.7243199576584,0.614601,328.0130089000933,0.627978,337.32885775171667,0.64134,346.63426048442136,0.65463,355.8895218463167,0.667785,365.0507681379445,0.410695,186.01125395211497,0.278636,94.04431940053205,0.196677,36.967422037132465,0.207563,44.54851874033734,0.169999,18.388651336406824,0.19416,35.21456328258841,0.15802,10.04638076799866,0.150816,5.029458055350506
0.38,0.172896,0.585759,238.7926846196558,0.599133,246.52797057190452,0.612107,254.0319035720896,0.62518,261.59309642791044,0.638305,269.18436516749955,0.651428,276.77447714232835,0.664491,284.3298861743476,0.677432,291.81473255598746,0.455019,163.17497223764576,0.29428,70.20636683324078,0.234284,35.50573755321118,0.216761,25.37074310568204,0.187384,8.379603923746068,0.2191,26.72357949287433,0.190554,10.213076068850643,0.170965,1.1168563760873522
0.4,0.182032,0.59022,224.2396941197152,0.603475,231.5213808561132,0.616341,238.58936890217106,0.629311,245.7144897600422,0.642338,252.8709237936187,0.655367,260.02845653511474,0.668342,267.1563241627846,0.681199,274.21936802320477,0.416634,128.87953766370748,0.304366,67.20466731124199,0.234642,28.90151182209721,0.229739,26.20802935747561,0.198423,9.00446075415311,0.217726,19.608640239078845,0.189847,4.293201195394211,0.17256,5.203480706688938
0.42,0.205749,0.600949,192.07869783085215,0.61392,198.382981205255,0.626526,204.50986396045673,0.639248,210.6931260905278,0.652038,216.90943819897063,0.664843,223.13304074381892,0.677605,229.33574403763814,0.690261,235.48692824752493,0.3524,71.27665262042586,0.334472,62.563123028544496,0.241445,17.349294528770496,0.247451,20.268385265542005,0.22315,8.457392259500654,0.226334,10.004908893846395,0.206478,0.35431520930843285,0.178247,13.366772134980001
0.44,0.398535,0.681545,71.01258358738882,0.692384,73.73229452871142,0.703034,76.4045817807721,0.71389,79.12855834493836,0.724903,81.89192919066079,0.736019,84.68114469243605,0.747182,87.48215338677909,0.758327,90.27864553928765,0.448251,12.474688546802676,0.492179,23.497057974832828,0.379754,4.712509566286522,0.382089,4.126613722759598,0.378129,5.120252926342726,0.366732,7.979976664533848,0.372248,6.595907511259977,0.320077,19.686602180486023
