q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{s=0.15}_RhccCarborane,strat{s=0.15}_RhccCarborane_relDiffDebye,strat{s=0.20}_RhccCarborane,strat{s=0.20}_RhccCarborane_relDiffDebye,strat{s=0.25}_RhccCarborane,strat{s=0.25}_RhccCarborane_relDiffDebye,strat{s=0.30}_RhccCarborane,strat{s=0.30}_RhccCarborane_relDiffDebye,strat{s=0.35}_RhccCarborane,strat{s=0.35}_RhccCarborane_relDiffDebye,strat{s=0.40}_RhccCarborane,strat{s=0.40}_RhccCarborane_relDiffDebye,strat{s=0.45}_RhccCarborane,strat{s=0.45}_RhccCarborane_relDiffDebye,strat{s=0.50}_RhccCarborane,strat{s=0.50}_RhccCarborane_relDiffDebye
0.2,2.492155,0.687971,72.39453404784211,0.676842,72.84109535723098,0.665878,73.28103589062478,0.65622,73.668571978869693,0.646716,74.04992867618587,0.637923,74.40275584785056,0.629822,74.72781588625107,0.622395,75.02583105785956,0.188234,92.44693849299101,0.193238,92.24614841372227,0.21251,91.47284177749779,0.19785,92.06108769318121,0.211184,91.52604874094911,0.204041,91.81266815266305,0.217951,91.25451667332088,0.203996,91.81447381884352
0.22,1.528376,0.474193,68.97406135662952,0.468444,69.35021225143551,0.46286,69.71556737347355,0.458016,70.03250509037044,0.453326,70.3393667526839,0.449062,70.61835569257826,0.445209,70.87045334394155,0.441746,71.09703371421692,0.119911,92.15435207043292,0.12433,91.86522164702926,0.144918,90.51817092129163,0.130269,91.47663925630866,0.139253,90.88882578632482,0.135433,91.13876428313452,0.146857,90.39130423403665,0.135191,91.15459808319419
0.24,0.864355,0.324908,62.410352227961894,0.322915,62.6409287850478,0.321089,62.852184576938875,0.319606,63.02375759959739,0.318277,63.17751386872293,0.317177,63.3047763939585,0.316289,63.40751195978503,0.315594,63.48791873709298,0.073843,91.4568666809355,0.076253,91.17804605746481,0.09504,89.00451781964586,0.08227,90.4819200444262,0.089198,89.68039752185155,0.086953,89.94012876653689,0.094808,89.0313586431501,0.086555000000000007,89.98617466203122
0.26,0.438228,0.226909,48.2212455616711,0.227383,48.11308268755077,0.228022,47.96726818003414,0.228746,47.80205737652546,0.229623,47.60193324023111,0.230601,47.37876174046387,0.23166,47.137106711574795,0.232782,46.88107560447986,0.044395,89.86942869921593,0.044045,89.94929580035964,0.06025,86.25144901740647,0.049453,88.71523499183073,0.05615,87.18703505937549,0.054209,87.62995518314666,0.059088,86.51660779320355,0.053115,87.8795969221501
0.28,0.20569,0.17092,16.904078953765385,0.172802,15.989109825465505,0.174851,14.99295055666294,0.176835,14.028392240750653,0.178973,12.988963974913714,0.181137,11.936895327920666,0.183309,10.880937332879581,0.185469,9.830813359910552,0.02633,87.19918323690992,0.024446,88.11512470222179,0.038206,81.42544605960427,0.028905,85.94729933394916,0.035793,82.59857066459236,0.033645,83.64286061548933,0.037096,81.9650931012689,0.031788,84.54567553113908
0.3,0.10192,0.143263,40.56416797488227,0.145842,43.09458398744113,0.148587,45.78787284144427,0.151194,48.34576138147567,0.153955,51.05474882260598,0.156705,53.752943485086355,0.159426,56.42268445839876,0.162099,59.04532967032967,0.015593,84.70074568288854,0.013388,86.86420722135007,0.024435,76.02531397174255,0.016847,83.47036891679748,0.023067,77.36754317111459,0.020892,79.50156985871271,0.023424,77.01726844583987,0.018753,81.60027472527473
0.32,0.066976,0.131313,96.05978260869568,0.134193,100.35983038700434,0.137238,104.90623506927857,0.140114,109.20031055900621,0.143144,113.72431915910177,0.146148,118.20950788342095,0.149106,122.62601528905877,0.152001,126.94845914954614,0.010882,83.75238891543239,0.007681,88.53171285236503,0.015765,76.46171763019589,0.010082,84.94684663162924,0.014366,78.55052556139512,0.01291,80.7244386048734,0.0137,79.54491161012899,0.01079,83.88975155279503
0.34,0.070951,0.128861,81.61970937689391,0.131802,85.76482361066088,0.134909,90.14390212963876,0.13784,94.27492212935687,0.140925,98.62299333342729,0.143981,102.93019125875604,0.146988,107.16832743724542,0.149928,111.3120322476075,0.011568,83.69579005228961,0.00622,91.23338642161491,0.011762,83.4223619117419,0.007136,89.9423545827402,0.008976,87.3490155177517,0.008871,87.49700497526462,0.007478,89.4603317782695,0.006724,90.52303702555285
0.36,0.099971,0.132865,32.90354202718789,0.135706,35.745366156185284,0.138712,38.752238149063224,0.141553,41.59406227806065,0.144548,44.58993108001321,0.147519,47.56179291994679,0.150446,50.48964199617888,0.153312,53.356473377279414,0.014724,85.27172880135238,0.007946,92.05169499154755,0.011632,88.36462574146502,0.006902,93.09599783937341,0.007056,92.94195316641826,0.008042,91.95566714347162,0.005451,94.54741875143792,0.006009,93.98925688449651
0.38,0.137653,0.13938,1.2546039679483967,0.142056,3.1986226235534208,0.144898,5.263234364670586,0.147593,7.221055843316168,0.150441,9.290026370656648,0.153273,11.347373468068254,0.156072,13.380747241251548,0.158817,15.374891938424891,0.016416,88.07436089297,0.010293,92.52250223387794,0.012485,90.9300923336215,0.00763,94.45707685266576,0.007336,94.67065737760892,0.00848,93.83958213769407,0.006079,95.58382309139648,0.00705,94.87842618758762
