q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{a=0.15}_RhccCarborane,strat{a=0.15}_RhccCarborane_relDiffDebye,strat{a=0.20}_RhccCarborane,strat{a=0.20}_RhccCarborane_relDiffDebye,strat{a=0.25}_RhccCarborane,strat{a=0.25}_RhccCarborane_relDiffDebye,strat{a=0.30}_RhccCarborane,strat{a=0.30}_RhccCarborane_relDiffDebye,strat{a=0.35}_RhccCarborane,strat{a=0.35}_RhccCarborane_relDiffDebye,strat{a=0.40}_RhccCarborane,strat{a=0.40}_RhccCarborane_relDiffDebye,strat{a=0.45}_RhccCarborane,strat{a=0.45}_RhccCarborane_relDiffDebye,strat{a=0.50}_RhccCarborane,strat{a=0.50}_RhccCarborane_relDiffDebye
0.26,0.438228,0.226909,48.2212455616711,0.227383,48.11308268755077,0.228022,47.96726818003414,0.228746,47.80205737652546,0.229623,47.60193324023111,0.230601,47.37876174046387,0.23166,47.137106711574795,0.232782,46.88107560447986,29.686527,6674.219584325968,0.732744,67.20611188696294,29.148802,6551.515193004555,61.987079,14044.938023129513,2.987208,581.6561242093156,45.868447,10366.799702438,61.060777,13833.563578776344,59.379184,13449.837983880536
0.28,0.20569,0.17092,16.904078953765385,0.172802,15.989109825465505,0.174851,14.99295055666294,0.176835,14.028392240750653,0.178973,12.988963974913714,0.181137,11.936895327920666,0.183309,10.880937332879581,0.185469,9.830813359910552,29.97587,14473.323934075548,0.546885,165.8782634060965,29.480721,14232.598084496083,65.751115,31866.121347659093,2.23817,988.1277650833779,49.89255,24156.186494238904,68.76041,33329.145801934945,62.872633,30466.694054159172
0.3,0.10192,0.143263,40.56416797488227,0.145842,43.09458398744113,0.148587,45.78787284144427,0.151194,48.34576138147567,0.153955,51.05474882260598,0.156705,53.752943485086355,0.159426,56.42268445839876,0.162099,59.04532967032967,29.869662,29206.968210361072,0.441634,333.3143642072214,29.639249,28980.895800627946,66.751418,65393.93445839873,1.805381,1671.37068288854,53.70709,52595.339481946634,75.912467,74382.40482731555,64.089429,62782.09281789639
0.32,0.066976,0.131313,96.05978260869568,0.134193,100.35983038700434,0.137238,104.90623506927857,0.140114,109.20031055900621,0.143144,113.72431915910177,0.146148,118.20950788342095,0.149106,122.62601528905877,0.152001,126.94845914954614,29.489309,43929.6658504539,0.389643,481.76510989011,29.559439,44034.37500000001,65.194653,97240.32041328239,1.601506,2291.163999044434,57.042687,85068.84704968946,81.969246,122285.9979694219,63.016154,93987.664237936
0.34,0.070951,0.128861,81.61970937689391,0.131802,85.76482361066088,0.134909,90.14390212963876,0.13784,94.27492212935687,0.140925,98.62299333342729,0.143981,102.93019125875604,0.146988,107.16832743724542,0.149928,111.3120322476075,29.096007,40908.59325449958,0.368846,419.8601851982354,29.367263,41290.90780961509,62.060418,87369.40564615015,1.544206,2076.440078363941,60.055228,84543.24392890868,87.134304,122709.12742597004,60.518618,85196.35664049837
0.36,0.099971,0.132865,32.90354202718789,0.135706,35.745366156185284,0.138712,38.752238149063224,0.141553,41.59406227806065,0.144548,44.58993108001321,0.147519,47.56179291994679,0.150446,50.48964199617888,0.153312,53.356473377279414,28.891949,28800.33009572776,0.36792,268.0267277510478,29.198141,29106.610917165977,58.484189,58401.154334757084,1.570877,1471.3326864790788,62.707532,62625.72245951326,91.527469,91454.01966570305,57.643964,57560.68559882366
0.38,0.137653,0.13938,1.2546039679483967,0.142056,3.1986226235534208,0.144898,5.263234364670586,0.147593,7.221055843316168,0.150441,9.290026370656648,0.153273,11.347373468068254,0.156072,13.380747241251548,0.158817,15.374891938424891,28.914739,20905.527667395556,0.384701,179.47156981685833,29.10282,21042.161812673898,55.382706,40133.56265391964,1.643772,1094.141791315845,64.667507,46878.639768112575,95.083315,68974.64058175267,55.26875,40050.77768010868
0.4,0.169735,0.144916,14.622205202227006,0.147454,13.126933160514916,0.150156,11.535039915161862,0.152726,10.020914955666184,0.15545,8.416060329336903,0.158165,6.816508086134267,0.160853,5.232862992311546,0.163496,3.6757298141220107,29.073341,17028.665861489968,0.418349,146.47185318290278,29.081955,17033.740831295843,53.379814,31348.91389518956,1.746154,928.7530562347188,65.636856,38570.19530444516,97.846014,57546.33929360474,54.068113,31754.42778448758
0.42,0.192445,0.148688,22.73740549247838,0.15113,21.468471511340912,0.153738,20.113279118709237,0.156223,18.82200109122087,0.158862,17.45070020005716,0.161497,16.081477824833073,0.16411,14.723687287276885,0.166683,13.386681909116893,29.255418,15101.963158304969,0.46052,139.29954012834833,29.152984,15048.735482865235,52.829443,27351.70983917483,1.865646,869.4437371716594,65.630957,34003.74756423913,100.03387,51880.49832419652,54.487064,28213.057756761667
0.44,0.20623,0.151147,26.70949910294331,0.153527,25.555447800998888,0.156073,24.32090384522136,0.158503,23.142607768025986,0.161086,21.890122678562765,0.163669,20.637637589099544,0.166233,19.394365514231684,0.168761,18.16854967754449,29.401537,14156.673131940068,0.494062,139.56844300053336,29.359653,14136.363768607865,53.781121,25978.223827765116,1.977284,858.776123745333,64.913263,31376.149444794646,101.737544,49232.07777723901,56.568525,27329.823498036178
0.46,0.208133,0.151815,27.058659607078166,0.154179,25.922847410069522,0.156708,24.707758981036175,0.159123,23.54744322140171,0.161691,22.313616773889777,0.16426,21.079309864365584,0.166811,19.853651271062265,0.169326,18.645289310200692,29.502984,14075.06306063911,0.503019,141.68152095054603,29.727139,14182.761022999715,55.922882,26768.820417713676,2.047467,883.7301148784671,63.722444,30516.2136710661,102.657122,49222.84741006952,59.804638,28633.8567166187
0.48,0.196208,0.150007,23.546950175324145,0.152416,22.319171491478432,0.15499,21.007298377232328,0.157446,19.75556552230286,0.160055,18.42585419554758,0.162662,17.097162195221394,0.165249,15.778663459186163,0.167797,14.480041588518302,29.560105,14965.69813667129,0.485187,147.28196607681642,30.218898,15301.460694772893,58.619743,29776.326653347467,2.056386,948.0642991111473,62.116964,31558.731550191635,102.237762,52006.82642909566,63.240178,32131.192408056755
0.5,0.175527,0.146431,16.57636716858374,0.14893,15.15265457735846,0.151595,13.63436964113782,0.154131,12.189577671811175,0.156821,10.657049912549068,0.159503,9.129079856660221,0.162162,7.614213197969537,0.164776,6.1249836207534925,29.560227,16740.84328906664,0.453727,158.49413480547153,30.734005,17409.559782825436,61.093389,34705.69314122614,2.012269,1046.4156511533838,60.079403,34128.012214645045,100.096796,56926.4380978425,65.8442,37412.291556284785
