q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{a=0.15}_Selenow,strat{a=0.15}_Selenow_relDiffDebye,strat{a=0.20}_Selenow,strat{a=0.20}_Selenow_relDiffDebye,strat{a=0.25}_Selenow,strat{a=0.25}_Selenow_relDiffDebye,strat{a=0.30}_Selenow,strat{a=0.30}_Selenow_relDiffDebye,strat{a=0.35}_Selenow,strat{a=0.35}_Selenow_relDiffDebye,strat{a=0.40}_Selenow,strat{a=0.40}_Selenow_relDiffDebye,strat{a=0.45}_Selenow,strat{a=0.45}_Selenow_relDiffDebye,strat{a=0.50}_Selenow,strat{a=0.50}_Selenow_relDiffDebye
0.2,1.387581,0.974371,29.77916244168809,0.963865,30.536307429980663,0.953729,31.26678730827245,0.945116,31.88750782837182,0.936838,32.484085613740746,0.928918,33.054863103487286,0.922366,33.527051754095794,0.916124,33.97689936659553,34.393828,2378.6897485624268,32.575432,2247.641831359755,68.099724,4807.801706711176,79.256589,5611.853145870404,191.835963,13725.2082581125,365.866568,26267.222381972653,44.433746,3102.2452022620664,76.04532,5380.423845526856
0.22,1.488168,1.024456,31.159922804414553,1.012696,31.950156165164138,1.001306,32.71552674160444,0.991587,33.36861160836679,0.982202,33.99925277253643,0.973176,34.605770316254606,0.965666,35.11041764101902,0.958465,35.594301181049445,34.223135,2199.682226737841,36.923177,2381.116177743373,67.072764,4407.069363136421,72.751119,4788.636162046221,175.381186,11685.039457910667,314.303672,21020.174066368854,48.240701,3141.6166051144764,86.214642,5693.340671214541
0.24,1.384872,0.966417,30.21614994021109,0.956111,30.96033424027636,0.946174,31.67787347855976,0.937737,32.287099457567194,0.929634,32.872207684175876,0.92189,33.43139293739783,0.915491,33.89345730146901,0.909401,34.33320913412937,35.401944,2456.3332928963832,42.151228,2943.6912581090523,70.543946,4993.896475630961,70.613463,4998.916217527684,169.905326,12168.666418268258,286.805603,20609.899759688982,52.585692,3697.1517945340793,96.007098,6832.561132003535
0.26,1.0515,0.788476,25.01417023300049,0.782624,25.570708511650032,0.777143,26.09196386115074,0.772637,26.520494531621498,0.768465,26.917261055634818,0.764652,27.279885877318122,0.761659,27.564526866381367,0.758977,27.819591060389925,37.405918,3457.386400380409,46.695356,4340.832715168806,74.981431,7030.901664289109,70.604737,6614.668283404659,170.658642,16130.018259629096,275.352629,26086.650404184496,55.488498,5177.080171184023,102.720465,9668.945791726106
0.28,0.690317,0.595792,13.692984527398277,0.594765,13.84175675812706,0.594107,13.937075285702063,0.593858,13.973145670757054,0.593943,13.960832487103747,0.594387,13.896514210138236,0.595083,13.795690965165269,0.596089,13.649960815103784,39.787389,5663.640327559657,49.555929,7078.720645732324,78.25298,11235.803695983152,71.145516,10206.209466085871,174.069714,25115.910081889917,273.446415,39511.71679098154,56.162149,8035.704176487035,106.431726,15317.804573840715
0.3,0.451258,0.467049,3.499328543759889,0.469245,3.985968115800724,0.47181,4.554379091340213,0.474405,5.129438148464964,0.477334,5.778512513905568,0.480622,6.507142255649762,0.483783,7.20762845201637,0.487254,7.97681149143063,42.115827,9232.98179755262,50.314858,11049.909364487721,79.531289,17524.34992842232,71.364584,15714.585890998054,177.718251,39282.84772790732,276.461155,61164.54378648135,54.72095,12026.311334092692,108.011782,23835.704630167224
0.32,0.351503,0.412523,17.359738039220137,0.416084,18.372816163731176,0.420015,19.491156547739283,0.423815,20.57222840203355,0.427948,21.748036289875188,0.432441,23.026261511281557,0.436646,24.22255286583613,0.441161,25.50703692429368,43.990895,12415.083797293337,49.096219,13867.51066135993,79.013213,22378.673866225894,71.038478,20109.920825711302,180.329777,51202.485896279686,281.651024,80027.63020514761,51.847359,14650.18961431339,107.914345,30600.831856342622
0.34,0.328205,0.4003,21.96645389314604,0.404167,23.144680915890973,0.408404,24.435642357672783,0.412474,25.675720967078497,0.416877,27.017260553617394,0.42164,28.468487683002998,0.426079,29.820996023826556,0.430828,31.2679575265459,45.114178,13645.731478801361,46.465037,14057.321491141209,77.558791,23531.203363751312,70.437646,21361.4786490151,181.749971,55276.96592068981,287.896201,87618.40800719062,48.477077,14670.365168111393,105.986475,32192.766715924496
0.36,0.317748,0.396809,24.881667233153333,0.400763,26.12604957387616,0.405088,27.487191107418468,0.409234,28.791998690786414,0.413715,30.20223573397788,0.418554,31.725140677518038,0.42306,33.14324559084558,0.427876,34.65891209386055,45.367779,14177.911741379961,43.25559,13513.174591185467,76.307447,23915.083336480486,70.099757,21961.43138587812,182.761226,57417.663683170314,295.229626,92813.13430769039,45.521118,14226.169794931835,101.971887,31992.062577891913
0.38,0.294551,0.387382,31.516104172112808,0.391573,32.938947754378695,0.396133,34.487066755841944,0.400488,35.96558830219554,0.405177,37.55750277541071,0.410225,39.271297670013,0.414911,40.862193643885085,0.419907,42.5583345498742,44.847274,15125.639702462391,40.34678,13597.722974968681,76.310862,25807.520938649,70.576158,23860.590186419333,184.664681,62593.6187621159,304.216244,103181.3482215304,43.645229,14717.545688183032,96.141362,32539.97134621848
0.4,0.263723,0.373378,41.57961194131722,0.377919,43.301494370987754,0.38283,45.16367552318153,0.387494,46.932197798447625,0.392492,48.8273681097212,0.397849,50.85866610041598,0.402804,52.73753142501793,0.408069,54.73394432795018,43.82493,16517.788361273007,38.435055,14474.024639489162,78.229883,29563.655805523224,72.216995,27283.654440454568,188.699373,71452.1107374025,315.318475,119464.26819048772,43.138419,16257.473182088785,89.589085,33870.90318250589
0.42,0.236911,0.360315,52.088759069861666,0.365184,54.143961234387596,0.370422,56.354918091604,0.375374,58.44515450949933,0.380661,60.67679423918687,0.386307,63.05996766718304,0.391512,65.25699524293933,0.397026,67.58445154509498,42.655965,17905.058861766658,37.869452,15884.674413598355,82.151196,34575.973677879025,75.052611,31579.664937465965,195.493189,82417.56524602066,328.414754,138523.68315527771,43.895023,18428.064547446087,84.026508,35367.541819501836
0.44,0.218114,0.350538,60.71320502122744,0.355651,63.0573920060152,0.361134,65.57121505267888,0.366303,67.94107668466948,0.371806,70.46406924819132,0.377667,73.15119616347413,0.383059,75.6232979084332,0.388761,78.2375271646937,41.665934,19002.824211192314,38.597342,17595.948907452068,87.56625,40047.0102790284,78.793421,36024.88010856708,204.756156,93775.7512126686,342.604563,156975.9158054962,45.505096,20762.987245202054,81.199127,37127.838194705524
0.46,0.204974,0.343434,67.5500307356055,0.348725,70.13133373013164,0.354386,72.89314742357567,0.359712,75.49152575448593,0.365371,78.25236371442233,0.37139,81.18883370573829,0.376918,83.88576112092265,0.382756,86.733927229795,41.061685,19932.630967830064,40.230726,19527.23369793242,93.516129,45523.41028618265,82.926875,40357.26531169807,215.32845,104951.59190921776,356.340275,173746.57322392112,47.413921,23031.675724726065,82.218933,40011.8839462566
0.48,0.195531,0.33846,73.09787194869354,0.343875,75.86725378584468,0.349661,78.8263753573602,0.355096,81.60598575161995,0.360866,84.55692447744859,0.366994,87.690954375521,0.372617,90.56671320660149,0.378551,93.6015261007206,40.893938,20814.299011409952,42.201042,21482.788406953372,98.856963,50458.20458137072,86.861076,44323.17381898522,225.542766,115248.8531230342,367.81514,188010.90824472843,49.093616,25007.842746163005,87.110821,44450.90036873948
0.5,0.190444,0.33608,76.47182373821175,0.341555,79.34668458969566,0.3474,82.41582827497847,0.352888,85.29751528008232,0.35871,88.3545819243452,0.364891,91.60015542626705,0.37056,94.57688349331038,0.376538,97.71586398101279,41.076208,21468.654302577135,43.944,22974.499590430783,102.563734,53755.061855453576,90.061741,47190.40610363151,233.735914,122632.09657432105,375.456252,197047.85028669843,50.175948,26246.825313477977,94.752781,49653.61838650732
