q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.15}_TeicoplaninUbiquitin,strat{a=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.20}_TeicoplaninUbiquitin,strat{a=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.25}_TeicoplaninUbiquitin,strat{a=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.30}_TeicoplaninUbiquitin,strat{a=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.35}_TeicoplaninUbiquitin,strat{a=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.40}_TeicoplaninUbiquitin,strat{a=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.45}_TeicoplaninUbiquitin,strat{a=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{a=0.50}_TeicoplaninUbiquitin,strat{a=0.50}_TeicoplaninUbiquitin_relDiffDebye
0.2,16.593902,16.132347,2.781473579872899,15.752313,5.0716763302567465,15.37296,7.357775163430512,15.036374,9.386146790549924,14.700413,11.410751973827498,14.365125,13.431301450376163,14.07234,15.195714666749263,13.780148,16.956554281205225,43.336445,161.15885823599535,171.121682,931.2323285987828,43.094309,159.69967160225485,683.333437,4017.9792251394524,183.330932,1004.8090557603631,182.728862,1001.1807952101922,461.325648,2680.0914335880734,200.438082,1107.902047390662
0.22,11.691267,11.454958,2.0212437197781927,11.192512,4.266047469448771,10.930747,6.505026358563187,10.698684,8.489952372142383,10.467246,10.469532515167094,10.23648,12.443364778171603,10.035152,14.165402261363116,9.834418,15.882359029179646,41.499779,254.96391451841788,171.407767,1366.1179750663464,42.733777,265.5187842344205,684.903935,5758.252446035148,181.701463,1454.164001215608,180.642847,1445.109242650946,423.521978,3522.5498741924207,198.313289,1596.2514755671905
0.24,8.023579,7.953997,0.867218980457469,7.779563,3.041236336054026,7.605812,5.206741280917152,7.451982,7.123965502178015,7.298778,9.033387718872081,7.146246,10.93443462075964,7.013373,12.590466174758175,6.881093,14.239107011970592,39.812536,396.194229532731,170.546822,2025.5704218778178,42.092881,424.61477602451475,682.238115,8402.915157936377,178.452712,2124.103632555995,176.927804,2105.098298402745,373.328889,4552.8972793811845,192.053447,2293.613211759989
0.26,5.303166,5.355921,0.994783116349749,5.246803,1.062817946864197,5.138366,3.107577624385124,5.042594,4.913517698672827,4.947447,6.707672360246685,4.852973,8.48913648941028,4.7709,10.036759173670971,4.689421,11.57318100168842,38.386684,623.8446618491672,168.914965,3085.1721217099366,41.002206,673.1646718205691,677.127329,12668.360051335372,174.462166,3189.7738068165318,172.839392,3159.1737086864714,324.053919,6010.574683123252,183.666461,3363.3360713204147
0.28,3.416406,3.550581,3.9273728005395254,3.486848,2.0618743790989815,3.423796,0.21630918573495092,3.368367,1.406126789380411,3.313564,3.0102394153388055,3.259432,4.594711518478775,3.212659,5.963781822183894,3.16648,7.315465433557952,37.36401,993.6642190652984,167.206503,4794.222261639864,39.64736,1060.4990741732686,671.995254,19569.654426318182,170.958758,4904.052738462583,169.800285,4870.143624616044,289.26381,8366.903816466778,176.060263,5053.376472234272
0.3,2.276693,2.454317,7.801842409143448,2.418144,6.213002807141763,2.382652,4.65407501143107,2.351721,3.2954816481624927,2.321414,1.964296459821329,2.29178,0.662671690913105,2.266443,0.45021441186842714,2.241699,1.5370539637974796,36.806298,1516.6561763048421,165.968901,7189.911331918708,38.349524,1584.4398432287535,668.405874,29258.62999534852,168.706979,7310.176910106018,168.472253,7299.866956150873,275.97492,12021.745004706388,171.302855,7424.196499044886
0.32,1.739241,1.930235,10.981456853880507,1.907237,9.65915591916244,1.88492,8.376009995164551,1.8657,7.27093025060931,1.847105,6.201785721472755,1.829182,5.171278735954364,1.814092,4.303658894885758,1.799596,3.470191882551063,36.64512,2006.9604499893917,165.381669,9408.841442905266,37.368193,2048.5345044188816,666.548689,38224.11316200572,167.715287,9543.015947761121,168.550835,9591.056903557357,282.27804,16129.955480580322,169.757701,9660.447287063726
0.34,1.598627,1.785348,11.68008547334681,1.765993,10.469359018707923,1.747319,9.301231619383387,1.731337,8.301498723592175,1.715979,7.340799323419403,1.701294,6.422198549129976,1.689037,5.6554781071506905,1.677373,4.925851996744705,36.705698,2196.07644559988,165.297601,10239.97305187514,36.797045,2201.790536504137,665.642754,41538.40307964272,167.447749,10374.472719402336,169.169133,10482.151621360079,299.662544,18644.994548446884,170.275576,10551.36370147633
0.36,1.640707,1.81841,10.830879614702697,1.798224,9.600556345526662,1.778718,8.411678623910309,1.761997,7.392544799284706,1.745901,6.411504308813214,1.730477,5.471421771224243,1.717574,4.684992506279306,1.705263,3.93464524744516,36.781887,2141.831539695997,165.430982,9982.908282831731,36.56728,2128.7513858354964,664.749597,40416.04564373773,167.270334,10095.015563412602,169.512184,10231.654829290057,318.048949,19284.871826596704,171.10007,10328.435424484689
0.38,1.701566,1.874533,10.16516550048603,1.852935,8.895864162777118,1.832019,7.666643550705654,1.814044,6.610263721771596,1.796693,5.5905559937140366,1.780015,4.61040006676203,1.766015,3.7876285727382886,1.752607,2.9996485590332735,36.718967,2057.9513812570303,165.54098,9628.74281691101,36.524205,2046.505336848527,663.414504,38888.46732950705,166.818509,9703.822420053057,169.239076,9846.077671979812,330.607972,19329.629647042784,170.88535100000001,9942.82825350295
0.4,1.697664,1.873353,10.348867620447862,1.851785,9.078415988087157,1.830899,7.848137205006409,1.81295,6.790860853502225,1.795626,5.77039979642614,1.778974,4.7895225439191735,1.764996,3.9661558470934146,1.751612,3.1777784060921292,36.464356,2047.91360363417,165.513713,9649.497721575059,36.520948,2051.2471254618104,661.814025,38883.80509924225,166.105161,9684.336653189324,168.522627,9826.736209285229,336.069262,19695.982126027295,169.298334,9872.428819837141
0.42,1.617898,1.802051,11.382237940834342,1.782275,10.159911193412686,1.763181,8.979737906839619,1.746826,7.968858358190685,1.731095,6.996547371960407,1.716037,6.065833569236131,1.703453,5.288034227126805,1.691463,4.546949189627521,36.06784,2129.302465297565,165.338672,10119.350787256057,36.481158,2154.84906959524,660.457009,40721.91887251235,165.382628,10122.067645797202,167.780287,10270.263576566631,337.85114,20782.103816186183,166.984935,10221.103988014078
