q_inverse_angstroms,debye,propo{e=0.380}_RuBisCo,propo{e=0.380}_RuBisCo_relDiffDebye,propo{e=0.390}_RuBisCo,propo{e=0.390}_RuBisCo_relDiffDebye,propo{e=0.400}_RuBisCo,propo{e=0.400}_RuBisCo_relDiffDebye,propo{e=0.410}_RuBisCo,propo{e=0.410}_RuBisCo_relDiffDebye,propo{e=0.420}_RuBisCo,propo{e=0.420}_RuBisCo_relDiffDebye,propo{e=0.430}_RuBisCo,propo{e=0.430}_RuBisCo_relDiffDebye,propo{e=0.440}_RuBisCo,propo{e=0.440}_RuBisCo_relDiffDebye,propo{e=0.450}_RuBisCo,propo{e=0.450}_RuBisCo_relDiffDebye,strat{s=0.15}_RuBisCo,strat{s=0.15}_RuBisCo_relDiffDebye,strat{s=0.20}_RuBisCo,strat{s=0.20}_RuBisCo_relDiffDebye,strat{s=0.25}_RuBisCo,strat{s=0.25}_RuBisCo_relDiffDebye,strat{s=0.30}_RuBisCo,strat{s=0.30}_RuBisCo_relDiffDebye,strat{s=0.35}_RuBisCo,strat{s=0.35}_RuBisCo_relDiffDebye,strat{s=0.40}_RuBisCo,strat{s=0.40}_RuBisCo_relDiffDebye,strat{s=0.45}_RuBisCo,strat{s=0.45}_RuBisCo_relDiffDebye,strat{s=0.50}_RuBisCo,strat{s=0.50}_RuBisCo_relDiffDebye
0.2,0.070258,0.079728,13.478892083463794,0.081343,15.777562697486402,0.082955,18.071963335136214,0.084609,20.426143642005183,0.086245,22.754704090637368,0.087913,25.128810953912726,0.089576,27.49580118990008,0.091262,29.895527911412216,0.1018,44.894531583591906,0.085276,21.37550172222381,0.091642,30.436391585299894,0.089425,27.28087904580262,0.081545,16.06507443992144,0.080161,14.095192006604224,0.077334,10.071450937971475,0.078374,11.551709413874574
0.22,0.052672,0.077223,46.61110267314703,0.078901,49.79685601458081,0.080574,52.973116646415576,0.082286,56.223420413122724,0.083977,59.43385479951397,0.085698,62.701245443499396,0.087412,65.9553462940462,0.089145,69.24551944106926,0.080719,53.248405224787376,0.06522,23.822904009720546,0.073192,38.95808019441069,0.069818,32.55239975698665,0.060762,15.35920413122722,0.061578,16.90841433778859,0.062319,18.31523390036453,0.061074,15.951549210206576
0.24,0.032301,0.074386,130.2900838983313,0.076137,135.7109687006594,0.077878,141.1008947091421,0.079657,146.60846413423732,0.08141,152.03554069533448,0.083191,157.54930187919877,0.084962,163.03210426921763,0.08675,168.56753660877368,0.060384,86.94158075601372,0.051243,58.642147301941094,0.056306,74.31658462586297,0.05007,55.01068078387665,0.048981,51.63926813411347,0.043325,34.128974335159896,0.044465,37.65827683353454,0.041701,29.10126621466827
0.26,0.022836,0.073046,219.87213172184275,0.074832,227.6931161324225,0.076605,235.45717288491863,0.078415,243.38325451042215,0.080198,251.19110176913654,0.082007,259.11280434401823,0.083805,266.98633736205994,0.085619,274.92993519005086,0.047743,109.06901383779999,0.041981,83.83692415484323,0.042634,86.69644421089508,0.03779,65.48432299877386,0.038929,70.47206165703275,0.033895,48.427920826764776,0.031034,35.89945699772289,0.033778,47.91557190401123
0.28,0.015271,0.071963,371.239604479078,0.073777,383.1183288586209,0.075576,394.8988278436252,0.077412,406.9216161351581,0.079218,418.7479536376138,0.08105,430.7445484906031,0.082869,442.6560146683255,0.084704,454.67225460022263,0.036051,136.07491323423483,0.029002,89.91552616069674,0.028598,87.26998886778861,0.027183,78.00405998297425,0.023586,54.44961037260166,0.021113,38.25551699299326,0.018567,21.58339335996333,0.021909,43.46801126317858
0.3,0.013416,0.071727,434.63774597495524,0.073546,448.1961836612999,0.075352,461.65772212283844,0.077193,475.38014311270126,0.079004,488.87895050685756,0.080841,502.5715563506261,0.082665,516.1672629695886,0.084505,529.8822301729278,0.0344,156.41025641025638,0.026928,100.71556350626116,0.027219,102.88461538461537,0.026002,93.8133571854502,0.021068,57.03637447823493,0.018896,40.84675014907572,0.017503,30.46362552176506,0.017389,29.61389385807991
0.32,0.015584,0.072042,362.2818275154004,0.073853,373.90272073921966,0.075651,385.4401950718685,0.077484,397.20225872689934,0.079289,408.7846509240246,0.081119,420.5274640657084,0.082937,432.193275154004,0.08477,443.95533880903486,0.03376,116.63244353182749,0.030094,93.1083162217659,0.027391,75.76360369609854,0.027602,77.1175564681725,0.023384,50.05133470225871,0.023185,48.774383983572896,0.021602,38.6165297741273,0.020859,33.84881930184804
0.34,0.014787,0.071955,386.6098600121729,0.073769,398.8773923040509,0.075568,411.04348414147563,0.077404,423.45979576655174,0.079211,435.6799891796849,0.081042,448.0624873199433,0.082862,460.37059579360255,0.084697,472.780144721715,0.03592,142.91607493068236,0.031916,115.8382362886319,0.025678,73.65253263001284,0.02813,90.23466558463514,0.024001,62.311489822141084,0.02502,69.20267802799756,0.02364,59.87015621829986,0.022475,51.99161425576519
0.36,0.008278,0.071059,758.4078279777724,0.072895,780.5870983329306,0.074717,802.5972457115245,0.076573,825.0181203189176,0.078399,847.0765885479583,0.08025,869.4370620922929,0.082088,891.6404928726744,0.08394,914.0130466296206,0.03674,343.82701135539986,0.029281,253.72070548441653,0.023126,179.3669968591447,0.023069,178.6784247402754,0.020655,149.5167914955303,0.020144,143.34380285093013,0.019641,137.26745590722393,0.016939,104.62672143029714
0.38,0.006787,0.070818999999999993,943.4507146014438,0.072662,970.6055694710477,0.074489,997.524679534404,0.076351,1024.9594813614265,0.078182,1051.9375276263445,0.080038,1079.283925151024,0.081881,1106.4387800206277,0.083738,1133.7999115956977,0.032742,382.42227788419035,0.025316,273.0072196846914,0.020889,207.77957860615888,0.017358,155.75364667747164,0.016172,138.27906291439515,0.014801,118.07867982908502,0.015234,124.45852364815089,0.01229,81.08147929865922
0.4,0.008041,0.070992,782.8752642706132,0.072831,805.7455540355679,0.074654,828.4168635741825,0.076512,851.5234423579157,0.078339,874.2444969531153,0.080192,897.2888944161174,0.08203,920.1467479169258,0.083884,943.2035816440741,0.031817,295.68461634125106,0.024267,201.79082203706008,0.021701,169.8793682377814,0.01775,120.74368859594577,0.015665,94.81407785101355,0.014693,82.7260291008581,0.015258,89.75251834348964,0.013264,64.9546076358662
0.42,0.006788,0.070842,943.635827931644,0.072684,970.7719505008839,0.07451,997.6723629935182,0.076372,1025.103123158515,0.078203,1052.0771950500882,0.080058,1079.4048320565705,0.0819,1106.5409546258102,0.083757,1133.898055391868,0.034127,402.75486152033,0.024623,262.7430760164997,0.02377,250.17678255745435,0.02011,196.25810253388335,0.017782,161.9622863877431,0.016869,148.51208014142605,0.017126,152.29817324690632,0.015785,132.54272245138483
0.44,0.007157,0.070912,890.8062037166411,0.072752,916.515299706581,0.074577,942.0148106748637,0.076437,968.0033533603465,0.078266,993.558753667738,0.08012,1019.4634623445577,0.081961,1045.1865306692748,0.083816,1071.105211680872,0.035727,399.1896045829258,0.026269,267.0392622607238,0.02477,246.09473242978902,0.021816,204.82045549811372,0.020969,192.9858879418751,0.01949,172.32080480648315,0.01921,168.4085510688836,0.018652,160.61198826323877
0.46,0.00747,0.070961,849.946452476573,0.0728,874.5649263721554,0.074624,898.982597054886,0.076483,923.8688085676037,0.078311,948.3400267737617,0.080164,973.1459170013386,0.082004,997.7777777777776,0.083858,1022.5970548862115,0.035148,370.5220883534136,0.026811,258.91566265060237,0.023552,215.28781793842035,0.022134,196.30522088353413,0.02227,198.12583668005354,0.01961,162.51673360107094,0.018709,150.45515394912982,0.019548,161.68674698795178
