q_inverse_angstroms,debye,propo{e=0.380}_PsGQuadraplex,propo{e=0.380}_PsGQuadraplex_relDiffDebye,propo{e=0.390}_PsGQuadraplex,propo{e=0.390}_PsGQuadraplex_relDiffDebye,propo{e=0.400}_PsGQuadraplex,propo{e=0.400}_PsGQuadraplex_relDiffDebye,propo{e=0.410}_PsGQuadraplex,propo{e=0.410}_PsGQuadraplex_relDiffDebye,propo{e=0.420}_PsGQuadraplex,propo{e=0.420}_PsGQuadraplex_relDiffDebye,propo{e=0.430}_PsGQuadraplex,propo{e=0.430}_PsGQuadraplex_relDiffDebye,propo{e=0.440}_PsGQuadraplex,propo{e=0.440}_PsGQuadraplex_relDiffDebye,propo{e=0.450}_PsGQuadraplex,propo{e=0.450}_PsGQuadraplex_relDiffDebye,strat{s=0.15}_PsGQuadraplex,strat{s=0.15}_PsGQuadraplex_relDiffDebye,strat{s=0.20}_PsGQuadraplex,strat{s=0.20}_PsGQuadraplex_relDiffDebye,strat{s=0.25}_PsGQuadraplex,strat{s=0.25}_PsGQuadraplex_relDiffDebye,strat{s=0.30}_PsGQuadraplex,strat{s=0.30}_PsGQuadraplex_relDiffDebye,strat{s=0.35}_PsGQuadraplex,strat{s=0.35}_PsGQuadraplex_relDiffDebye,strat{s=0.40}_PsGQuadraplex,strat{s=0.40}_PsGQuadraplex_relDiffDebye,strat{s=0.45}_PsGQuadraplex,strat{s=0.45}_PsGQuadraplex_relDiffDebye,strat{s=0.50}_PsGQuadraplex,strat{s=0.50}_PsGQuadraplex_relDiffDebye
0.2,34.64143,50.33658,45.30745410914041,49.123182,41.80471764589395,47.910764,38.30481016516928,46.850764,35.244890294655846,45.640403,31.75092079051009,44.733434,29.132758087642465,43.676237,26.080929684484737,42.770925,23.467550271452417,47.106304,35.98256192079831,43.285421,24.952754548527587,44.94706,29.74943586335784,51.531873,48.75792656365513,43.392834,25.262825466500665,37.857409,9.283620797409336,43.423422,25.351124361782993,42.194763,21.80433371255171
0.22,23.374626,34.334397,46.88747105515188,33.518569,43.39724194945408,32.703721,39.911205424206585,31.991595,36.86462833672719,31.178803,33.387387674138616,30.570011,30.782888248137112,29.860688,27.74830279637416,29.253553,25.150892253848255,37.568338,60.72273413059101,33.077074,41.50846306589035,34.899683,49.30584557802125,40.843515,74.7344107238336,33.620649,43.83395481921294,28.508008,21.96134389487131,33.533539,43.46128575490362,32.600377,39.469084981295545
0.24,15.357434,22.835301,48.69216432901487,22.305165,45.24018140009587,21.776009,41.79457974554863,21.313863,38.78531400493078,20.786763,35.35310000355529,20.39224,32.78416172910137,19.932897,29.79314773548759,19.540031,27.234999023925475,29.701267,93.39993256685982,24.708111,60.8869749985577,26.705232,73.89123729914776,31.688913,106.34249836268222,25.675444,67.18576814329789,21.114865000000002,37.48953764020736,25.515242,66.14261210564214,24.858304,61.864957388063665
0.26,9.971589,15.008058,50.508188815242995,14.672387,47.141914894406504,14.337697,43.78547892417147,14.045708,40.85726958862825,13.713074,37.52145219783929,13.4644,35.02762699104425,13.175215,32.127537546924565,12.928198,29.650329551288166,23.363684,134.3025168807098,18.079643,81.311554256799,20.236894,102.94552854113823,24.070792,141.39374376541193,19.413664,94.68977311439531,15.463013,55.07070136966134,19.203682,92.58397031807068,18.801538,88.55107245194323
0.28,6.553,9.95306,51.885548603692975,9.74298,48.679688692202035,9.533879,45.488768502975745,9.351782,42.70993438119945,9.144738,39.55040439493362,8.990256,37.19298031435984,8.810962,34.45692049443003,8.658138,32.12479780253318,18.351052,180.04047001373416,13.001172,98.40030520372349,15.278828,133.1577598046696,17.904759,173.22995574546005,14.611164,122.96908286281094,11.269712,71.97790325041966,14.359473,119.12823134442239,14.185808,116.47807111246757
0.3,4.490705,6.837326,52.25506908158073,6.704655,49.30072226966588,6.572964,46.36819831184635,6.4586,43.82151577536265,6.328966,40.93479754292478,6.232542,38.787606845695706,6.120981,36.30334212556824,6.026214,34.19304986633502,14.437504,221.49749315530633,9.233687,105.61775934958986,11.572393,157.6965754820234,13.048564,190.56827380110695,11.009355,145.15872229416092,8.237103,83.42560911928081,10.717123,138.6512362758186,10.738207,139.12073939392587
0.32,3.285573,4.974988,51.41918928600886,4.888587,48.789480556359585,4.803165,46.18956876015234,4.729286,43.940980766520795,4.645921,41.40367601024237,4.584199,39.525099579281914,4.513124,37.361854385825566,4.453059,35.53371055824965,11.406246,247.1615453377539,6.526265,98.63399778364385,8.854458,169.49509263680946,9.328768,183.93123513006714,8.351771,154.19526517901141,6.089708,85.34690904752384,8.021331,144.13796314980678,8.194891,149.42045116635668
0.34,2.571461,3.856974,49.9915417733343,3.798349,47.711709413442385,3.740704,45.46998768404419,3.691131,43.54217310703913,3.635542,41.380405924880826,3.594652,39.79025931172978,3.547882,37.97144891561644,3.508649,36.44574037871855,9.067593,252.6241696840823,4.64303,80.56000071554654,6.88455,167.7291236382741,6.562364,155.19982609108203,6.40857,149.21902373786727,4.595302,78.70393523370566,6.049079,135.23899448601395,6.325421,145.98549229406942
0.36,2.108211,3.142606,49.065060375835245,3.101729,47.12611783165919,3.061833,45.23370763173137,3.027789,43.61887875549459,2.989948,41.823944567218376,2.96237,40.51582123421233,2.931129,39.03394868919668,2.905208,37.804422802081966,7.266347,244.66886853355763,3.379691,60.310851238324815,5.460408,159.00671232623301,4.57237,116.88388875686545,4.989336,136.6620798392571,3.571412,69.40486507280345,4.618803,119.08637228436814,4.944387,134.5299877479057
0.38,1.758206,2.629062,49.53094233553974,2.600944,47.93169856091949,2.573806,46.38819341988367,2.550926,45.08686695415668,2.525845,43.66035606749152,2.507836,42.636073361141996,2.487759,41.4941707626979,2.471407,40.56413184803147,5.881656,234.52598842228954,2.570755,46.21466426573452,4.423553,151.59469368208278,3.197647,81.86987190351984,3.946472,124.46015995850317,2.881847,63.90838161171104,3.590053,104.18841705693191,3.912983,122.55543434614601
0.4,1.45711,2.213036,51.87844431786206,2.195255,50.65815209558647,2.178453,49.50504766283948,2.164617,48.555496839634614,2.149871,47.5434936277975,2.139614,46.83956599021351,2.128582,46.082450878794354,2.119981,45.49217286272143,4.822644,230.97322782768632,2.089572,43.40523364742539,3.657671,151.0222975616117,2.297916,57.70367371028955,3.172274,117.70998757815127,2.428181,66.6436301995045,2.857758,96.125069486861,3.133991,115.08266362868969
0.42,1.186201,1.854577,56.34593125448384,1.845701,55.59766009301964,1.837805,54.932005621307,1.831762,54.42256413542054,1.825922,53.930236106696924,1.822344,53.628600886359045,1.819104,53.35545999371101,1.817184,53.19359872399364,4.022429,239.10180483746007,1.843694,55.428464484518216,3.08276,159.88512908014744,1.755264,47.973572775608844,2.592633,118.56607775579351,2.140209,80.42549281276949,2.344686,97.66346512943419,2.543492,114.4233565812202
0.44,0.950183,1.548168,62.93366646214466,1.546904,62.80063945576801,1.546621,62.77085571937195,1.547239,62.83589582217321,1.549012,63.02249145690884,1.551143,63.24676404439986,1.554565,63.60690519615695,1.558353,64.0055652437478,3.432108,261.20494683655676,1.767827,86.05121329259732,2.647525,178.6331685580567,1.473358,55.06044625088009,2.159601,127.28263923896763,1.967864,107.10368423766792,1.99452,109.90903857467458,2.10175,121.19423311088495
0.46,0.76147,1.302243,71.01698031439192,1.30709,71.6535122854479,1.312916,72.41861137011307,1.31888,73.2018332961246,1.326763,74.23706777680013,1.333477,75.11878340578093,1.342244,76.27010913102289,1.350616,77.36956150603439,3.015392,295.996165311831,1.81615,138.5057848634877,2.321673,204.89356113832454,1.375357,80.61867177958422,1.844121,142.17907468449184,1.875422,146.28967654667943,1.766514,131.987340276045,1.784783,134.38651555543882
0.48,0.630329,1.12615,78.66066768306709,1.135372,80.12371317201017,1.145573,81.74207437703166,1.155365,83.29554883243512,1.167623,85.24024755326187,1.177619,86.82608605981954,1.190214,88.82424892397464,1.201866,90.67280737519614,2.744011,335.3299626068291,1.955224,210.19102722546484,2.088955,231.4070905828543,1.401226,122.30073501298529,1.629496,158.5151563707207,1.837702,191.54647810905098,1.631661,158.85862779596053,1.577294,150.23344951604636
0.5,0.559707,1.022902,82.75669234081404,1.034689,84.86261561852899,1.047455,87.14345184176723,1.059492,89.29404134663318,1.074315,91.94239128686974,1.086234,94.0718983325204,1.101074,96.7232855762033,1.11465,99.14884037541071,2.593915,363.4415864014565,2.158236,285.6010376857892,1.941232,246.83003785909418,1.504902,168.87317828792564,1.505746,169.02397147078742,1.837407,228.28015372328738,1.569731,180.4558456478122,1.467172,162.132151286298
