q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.15}_TeicoplaninUbiquitin,strat{s=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.20}_TeicoplaninUbiquitin,strat{s=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.25}_TeicoplaninUbiquitin,strat{s=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.30}_TeicoplaninUbiquitin,strat{s=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.35}_TeicoplaninUbiquitin,strat{s=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.40}_TeicoplaninUbiquitin,strat{s=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.45}_TeicoplaninUbiquitin,strat{s=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.50}_TeicoplaninUbiquitin,strat{s=0.50}_TeicoplaninUbiquitin_relDiffDebye
0.2,16.593902,16.132347,2.781473579872899,15.752313,5.0716763302567465,15.37296,7.357775163430512,15.036374,9.386146790549924,14.700413,11.410751973827498,14.365125,13.431301450376163,14.07234,15.195714666749263,13.780148,16.956554281205225,15.430521,7.0108947250622515,16.668708,0.4508041568523113,16.091787,3.0259007194329572,16.5362,0.34773014809897657,16.637321,0.2616563602701769,15.179454,8.52390233472513,15.4638,6.810345149682089,15.669479,5.570859704968723
0.22,11.691267,11.454958,2.0212437197781927,11.192512,4.266047469448771,10.930747,6.505026358563187,10.698684,8.489952372142383,10.467246,10.469532515167094,10.23648,12.443364778171603,10.035152,14.165402261363116,9.834418,15.882359029179646,11.344434,2.9665989152416086,12.492142,6.850198528525604,11.950186,2.214635932957485,12.2067,4.408700956021275,12.530946,7.182104386120002,11.254021,3.739936826350814,11.607691,0.71485836393950275,11.684148,0.0608916039638769
0.24,8.023579,7.953997,0.867218980457469,7.779563,3.041236336054026,7.605812,5.206741280917152,7.451982,7.123965502178015,7.298778,9.033387718872081,7.146246,10.93443462075964,7.013373,12.590466174758175,6.881093,14.239107011970592,8.128279,1.304903958694734,9.392582,17.062248654870864,8.778459,9.408270299326523,8.837838,10.148326575958183,9.116645,13.623172402240948,8.28313,3.2348531746244427,8.618399,7.4133999303802005,8.544107,6.4874789666805865
0.26,5.303166,5.355921,0.994783116349749,5.246803,1.062817946864197,5.138366,3.107577624385124,5.042594,4.913517698672827,4.947447,6.707672360246685,4.852973,8.48913648941028,4.7709,10.036759173670971,4.689421,11.57318100168842,5.656578,6.66417004483736,7.05519,33.03732147928237,6.349881,19.737549230025987,6.241856,17.700558496566018,6.320966,19.192308896232934,6.0129,13.38321297127037,6.28124,18.44320920748097,6.057804,14.229952447273947
0.28,3.416406,3.550581,3.9273728005395254,3.486848,2.0618743790989815,3.423796,0.21630918573495092,3.368367,1.406126789380411,3.313564,3.0102394153388055,3.259432,4.594711518478775,3.212659,5.963781822183894,3.16648,7.315465433557952,3.923508,14.843142179237484,5.327413,55.936179716345194,4.57501,33.912948285420406,4.353793,27.43781037733805,4.206708,23.132555088593104,4.343727,27.143173264535907,4.547992,33.122117219089304,4.184902,22.494282002783052
0.3,2.276693,2.454317,7.801842409143448,2.418144,6.213002807141763,2.382652,4.65407501143107,2.351721,3.2954816481624927,2.321414,1.964296459821329,2.29178,0.662671690913105,2.266443,0.45021441186842714,2.241699,1.5370539637974796,2.901401,27.43927266434254,4.12793,81.31254411552196,3.393947,49.073546587089254,3.119851,37.03433005679731,2.804648,23.189556079805225,3.2170010000000002,41.301484214165036,3.398461,49.27181662174041,2.907708,27.716297278552716
0.32,1.739241,1.930235,10.981456853880507,1.907237,9.65915591916244,1.88492,8.376009995164551,1.8657,7.27093025060931,1.847105,6.201785721472755,1.829182,5.171278735954364,1.814092,4.303658894885758,1.799596,3.470191882551063,2.472371,42.152295167834694,3.374884,94.04349368488899,2.713895,56.039042317884636,2.43647,40.08811889784106,2.030954,16.772431192686916,2.544784,46.31577797441527,2.753818,58.334468886140556,2.156088,23.96717878660864
0.34,1.598627,1.785348,11.68008547334681,1.765993,10.469359018707923,1.747319,9.301231619383387,1.731337,8.301498723592175,1.715979,7.340799323419403,1.701294,6.422198549129976,1.689037,5.6554781071506905,1.677373,4.925851996744705,2.440872,52.68552326465149,2.958126,85.04166387781515,2.402758,50.30135234798361,2.148984,34.42685504498548,1.702714,6.511024773133448,2.198795,37.54271634346223,2.465425,54.22140374208618,1.799326,12.55446079667114
0.36,1.640707,1.81841,10.830879614702697,1.798224,9.600556345526662,1.778718,8.411678623910309,1.761997,7.392544799284706,1.745901,6.411504308813214,1.730477,5.471421771224243,1.717574,4.684992506279306,1.705263,3.93464524744516,2.592608,58.017732599422075,2.750213,67.62365248639765,2.317025,41.22113210951134,2.086763,27.18681641511861,1.610853,1.8195814365392373,2.039317,24.295014283476586,2.358003,43.718713944659235,1.681409,2.4807598187854394
0.38,1.701566,1.874533,10.16516550048603,1.852935,8.895864162777118,1.832019,7.666643550705654,1.814044,6.610263721771596,1.796693,5.5905559937140366,1.780015,4.61040006676203,1.766015,3.7876285727382886,1.752607,2.9996485590332735,2.754542,61.882759763653006,2.634575,54.83237206197115,2.333846,37.15871144580933,2.103572,23.625648373322004,1.593074,6.3760089235445365,1.951747,14.702985367596671,2.285835,34.337134145839784,1.664791,2.161244406623076
0.4,1.697664,1.873353,10.348867620447862,1.851785,9.078415988087157,1.830899,7.848137205006409,1.81295,6.790860853502225,1.795626,5.77039979642614,1.778974,4.7895225439191735,1.764996,3.9661558470934146,1.751612,3.1777784060921292,2.826398,66.48747926562618,2.529227,48.9827786888336,2.36821,39.49815746814445,2.102134,23.825091419739117,1.567456,7.6698333710322,1.867018,9.975707796124556,2.167533,27.67738492422529,1.657709,2.353528142200103
0.42,1.617898,1.802051,11.382237940834342,1.782275,10.159911193412686,1.763181,8.979737906839619,1.746826,7.968858358190685,1.731095,6.996547371960407,1.716037,6.065833569236131,1.703453,5.288034227126805,1.691463,4.546949189627521,2.778759,71.75118579786859,2.394603,48.00704370732889,2.372952,46.66882584687045,2.03773,25.949225476513337,1.520605,6.013543499033936,1.759819,8.771937415090441,1.986961,22.811264987038733,1.618246,0.021509390579629552
0.44,1.491318,1.68583,13.042959315182948,1.668976,11.91281805758397,1.652804,10.828408159762038,1.639045,9.905801445432843,1.625912,9.025171023215712,1.613451,8.189601412978321,1.60314,7.498199579164208,1.593422,6.846561229731014,2.630565,76.39195664506161,2.225882,49.25602721887619,2.329733,56.21973314879859,1.906717,27.85448844579091,1.470709,1.3819319554917113,1.632688,9.479534210678072,1.769177,18.631774041485457,1.541824,3.3866687051319815
0.46,1.352736,1.55629,15.047577650036667,1.542693,14.04242956497056,1.529777,13.087623897050127,1.518914,12.284584723109324,1.508675,11.52767428382183,1.499108,10.820440943391777,1.49133,10.245458093818756,1.484145,9.714312327017254,2.422816,79.1048659901119,2.037372,50.61120573415656,2.239596,65.56046412603791,1.729088,27.821540936295037,1.433144,5.9441014359047175,1.49834,10.763667116126138,1.550039,14.585477136706645,1.4431,6.6800913112388605
0.48,1.22244,1.432585,17.19061876247505,1.422098,16.33274434737084,1.412292,15.530578187886535,1.404193,14.86805078367855,1.396719,14.256650633159914,1.389916,13.700140702202148,1.384557,13.261755178168261,1.379791,12.871879192434804,2.199106,79.89480056280881,1.847488,51.13118026242597,2.116249,73.11679918850822,1.532177,25.33760348156146,1.406,15.015869899545168,1.368467,11.945535159189829,1.355112,10.853048002355955,1.34038,9.647917280193706
0.5,1.103647,1.318703,19.485940703866355,1.311079,18.795140112735325,1.304136,18.166044034007243,1.298581,17.662712805815623,1.293652,17.216102612520125,1.289395,16.830381453490112,1.286262,16.54650445296367,1.283722,16.316358400829248,1.994952,80.75997125892609,1.669651,51.28487641428826,1.980343,79.43626902442537,1.339419,21.362990158991042,1.375893,24.667851224168597,1.250359,13.2933809451754,1.193555,8.146445376103035,1.245934,12.892437527579023
