q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{s=0.15}_Selenow,strat{s=0.15}_Selenow_relDiffDebye,strat{s=0.20}_Selenow,strat{s=0.20}_Selenow_relDiffDebye,strat{s=0.25}_Selenow,strat{s=0.25}_Selenow_relDiffDebye,strat{s=0.30}_Selenow,strat{s=0.30}_Selenow_relDiffDebye,strat{s=0.35}_Selenow,strat{s=0.35}_Selenow_relDiffDebye,strat{s=0.40}_Selenow,strat{s=0.40}_Selenow_relDiffDebye,strat{s=0.45}_Selenow,strat{s=0.45}_Selenow_relDiffDebye,strat{s=0.50}_Selenow,strat{s=0.50}_Selenow_relDiffDebye
0.2,1.387581,0.974371,29.77916244168809,0.963865,30.536307429980663,0.953729,31.26678730827245,0.945116,31.88750782837182,0.936838,32.484085613740746,0.928918,33.054863103487286,0.922366,33.527051754095794,0.916124,33.97689936659553,1.592663,14.779821862651621,1.860113,34.05437232132755,1.424077,2.6301887961855983,1.913716,37.917426081792705,2.025475,45.97165859146242,1.758813,26.75389761030167,1.436624,3.5344242966716863,1.811858,30.57673750217105
0.22,1.488168,1.024456,31.159922804414553,1.012696,31.950156165164138,1.001306,32.71552674160444,0.991587,33.36861160836679,0.982202,33.99925277253643,0.973176,34.605770316254606,0.965666,35.11041764101902,0.958465,35.594301181049445,1.732831,16.440549722880757,1.909064,28.282828282828294,1.508792,1.3858650367431617,1.800365,20.97861262975686,2.074267,39.38392708350133,1.761875,18.39221109444634,1.54722,3.968100375764034,1.91796,28.88061025368105
0.24,1.384872,0.966417,30.21614994021109,0.956111,30.96033424027636,0.946174,31.67787347855976,0.937737,32.287099457567194,0.929634,32.872207684175876,0.92189,33.43139293739783,0.915491,33.89345730146901,0.909401,34.33320913412937,1.748259,26.239753565672487,1.772175,27.9667001715682,1.473438,6.395248080689039,1.560619,12.690486918646624,1.900162,37.20849291486865,1.6475,18.96406310474902,1.511982,9.17846559104378,1.842708,33.059806249241795
0.26,1.0515,0.788476,25.01417023300049,0.782624,25.570708511650032,0.777143,26.09196386115074,0.772637,26.520494531621498,0.768465,26.917261055634818,0.764652,27.279885877318122,0.761659,27.564526866381367,0.758977,27.819591060389925,1.563698,48.71117451260103,1.427745,35.78174037089871,1.223667,16.37346647646219,1.183375,12.54160722776985,1.479501,40.703851640513534,1.298298,23.471041369472164,1.242111,18.127532097004266,1.505521,43.178411792677124
0.28,0.690317,0.595792,13.692984527398277,0.594765,13.84175675812706,0.594107,13.937075285702063,0.593858,13.973145670757054,0.593943,13.960832487103747,0.594387,13.896514210138236,0.595083,13.795690965165269,0.596089,13.649960815103784,1.309676,89.72095428621924,1.04813,51.83314332400912,0.900998,30.51945700308699,0.818099,18.510626277492815,1.007522,45.95062847937977,0.866935,25.585057299762294,0.889143,28.80213003591105,1.080704,56.55184502192474
0.3,0.451258,0.467049,3.499328543759889,0.469245,3.985968115800724,0.47181,4.554379091340213,0.474405,5.129438148464964,0.477334,5.778512513905568,0.480622,6.507142255649762,0.483783,7.20762845201637,0.487254,7.97681149143063,1.101595,144.11644779704739,0.768664,70.3380327883384,0.64557,43.06006763314999,0.564897,25.18271144223482,0.648552,43.72088694272457,0.52354,16.017887771518737,0.604797,34.024659950626926,0.740805,64.16440262554903
0.32,0.351503,0.412523,17.359738039220137,0.416084,18.372816163731176,0.420015,19.491156547739283,0.423815,20.57222840203355,0.427948,21.748036289875188,0.432441,23.026261511281557,0.436646,24.22255286583613,0.441161,25.50703692429368,0.967279,175.1837110920817,0.615909,75.22154860698203,0.50281,43.045720804658835,0.426257,21.26695931471424,0.446275,26.961932046099168,0.336636,4.229551383629732,0.44352,26.178154951735834,0.546418,55.45187381046532
0.34,0.328205,0.4003,21.96645389314604,0.404167,23.144680915890973,0.408404,24.435642357672783,0.412474,25.675720967078497,0.416877,27.017260553617394,0.42164,28.468487683002998,0.426079,29.820996023826556,0.430828,31.2679575265459,0.876703,167.12054965646468,0.545257,66.13305708322541,0.442818,34.921162078578924,0.35574,8.389573589677175,0.35549,8.313401684922518,0.275961,15.918099968007803,0.378327,15.271552840450328,0.461215,40.52650020566413
0.36,0.317748,0.396809,24.881667233153333,0.400763,26.12604957387616,0.405088,27.487191107418468,0.409234,28.791998690786414,0.413715,30.20223573397788,0.418554,31.725140677518038,0.42306,33.14324559084558,0.427876,34.65891209386055,0.795535,150.36664274834146,0.504185,58.674484182433886,0.417739,31.468648111081755,0.315481,0.7134584639399661,0.312174,1.754220325540985,0.272136,14.354771705880129,0.357507,12.512745949620468,0.418444,31.690522048919274
0.38,0.294551,0.387382,31.516104172112808,0.391573,32.938947754378695,0.396133,34.487066755841944,0.400488,35.96558830219554,0.405177,37.55750277541071,0.410225,39.271297670013,0.414911,40.862193643885085,0.419907,42.5583345498742,0.712189,141.78800954673383,0.466532,58.38751184005486,0.399632,35.67497648964016,0.294962,0.13953441000030375,0.278982,5.285672090741501,0.270939,8.016268829506611,0.345478,17.28970534814005,0.373739,26.88430865962091
0.4,0.263723,0.373378,41.57961194131722,0.377919,43.301494370987754,0.38283,45.16367552318153,0.387494,46.932197798447625,0.392492,48.8273681097212,0.397849,50.85866610041598,0.402804,52.73753142501793,0.408069,54.73394432795018,0.633303,140.13946451390285,0.430742,63.33122253273322,0.38392,45.57698797602029,0.296207,12.31746946606857,0.250068,5.177781232581145,0.25376,3.777827493241014,0.331143,25.56470235815611,0.319033,20.972763088543672
0.42,0.236911,0.360315,52.088759069861666,0.365184,54.143961234387596,0.370422,56.354918091604,0.375374,58.44515450949933,0.380661,60.67679423918687,0.386307,63.05996766718304,0.391512,65.25699524293933,0.397026,67.58445154509498,0.568224,139.8470311636015,0.403231,70.20357855903693,0.374645,58.137444019062,0.314812,32.88196833410013,0.233122,1.5993347712854256,0.228838,3.4076087644727333,0.316708,33.682268868900124,0.267845,13.057224020834823
0.44,0.218114,0.350538,60.71320502122744,0.355651,63.0573920060152,0.361134,65.57121505267888,0.366303,67.94107668466948,0.371806,70.46406924819132,0.377667,73.15119616347413,0.383059,75.6232979084332,0.388761,78.2375271646937,0.520723,138.73891634649772,0.387277,77.55714901381845,0.372506,70.7850023382268,0.336823,54.42520883574643,0.232558,6.6222250749607925,0.212141,2.738476209688514,0.305661,40.13818461905243,0.234617,7.566226835508032
0.46,0.204974,0.343434,67.5500307356055,0.348725,70.13133373013164,0.354386,72.89314742357567,0.359712,75.49152575448593,0.365371,78.25236371442233,0.37139,81.18883370573829,0.376918,83.88576112092265,0.382756,86.733927229795,0.490569,139.33230556070527,0.38237,86.54561066281578,0.373881,82.4041097895343,0.349184,70.3552645701406,0.24482400000000001,19.44149014021292,0.213182,4.0044103154546535,0.298515,45.635544020217196,0.223432,9.005044542234627
0.48,0.195531,0.33846,73.09787194869354,0.343875,75.86725378584468,0.349661,78.8263753573602,0.355096,81.60598575161995,0.360866,84.55692447744859,0.366994,87.690954375521,0.372617,90.56671320660149,0.378551,93.6015261007206,0.477261,144.08456971017384,0.387413,98.13379975553748,0.375767,92.17771095120467,0.349298,78.64072704583927,0.262541,34.27078059233575,0.230721,17.997146232566703,0.294062,50.39149802333133,0.228204,16.709882320450454
0.5,0.190444,0.33608,76.47182373821175,0.341555,79.34668458969566,0.3474,82.41582827497847,0.352888,85.29751528008232,0.35871,88.3545819243452,0.364891,91.60015542626705,0.37056,94.57688349331038,0.376538,97.71586398101279,0.479727,151.89924597256936,0.401107,110.61676923400054,0.378493,98.74241246770706,0.344039,80.65100501984834,0.279406,46.7129444876184,0.25575,34.291445254247954,0.290884,52.73991304530464,0.238559,25.26464472495851
