q_inverse_angstroms,debye,propo{e=0.380}_Plastocyanin,propo{e=0.380}_Plastocyanin_relDiffDebye,propo{e=0.390}_Plastocyanin,propo{e=0.390}_Plastocyanin_relDiffDebye,propo{e=0.400}_Plastocyanin,propo{e=0.400}_Plastocyanin_relDiffDebye,propo{e=0.410}_Plastocyanin,propo{e=0.410}_Plastocyanin_relDiffDebye,propo{e=0.420}_Plastocyanin,propo{e=0.420}_Plastocyanin_relDiffDebye,propo{e=0.430}_Plastocyanin,propo{e=0.430}_Plastocyanin_relDiffDebye,propo{e=0.440}_Plastocyanin,propo{e=0.440}_Plastocyanin_relDiffDebye,propo{e=0.450}_Plastocyanin,propo{e=0.450}_Plastocyanin_relDiffDebye,strat{s=0.15}_Plastocyanin,strat{s=0.15}_Plastocyanin_relDiffDebye,strat{s=0.20}_Plastocyanin,strat{s=0.20}_Plastocyanin_relDiffDebye,strat{s=0.25}_Plastocyanin,strat{s=0.25}_Plastocyanin_relDiffDebye,strat{s=0.30}_Plastocyanin,strat{s=0.30}_Plastocyanin_relDiffDebye,strat{s=0.35}_Plastocyanin,strat{s=0.35}_Plastocyanin_relDiffDebye,strat{s=0.40}_Plastocyanin,strat{s=0.40}_Plastocyanin_relDiffDebye,strat{s=0.45}_Plastocyanin,strat{s=0.45}_Plastocyanin_relDiffDebye,strat{s=0.50}_Plastocyanin,strat{s=0.50}_Plastocyanin_relDiffDebye
0.2,13.307628,12.963545,2.585607292298819,12.656332,4.894155442277155,12.377602,6.988668453912296,12.099442,9.07889820785492,11.821896,11.164514066669122,11.572669,13.03732716303762,11.351616,14.698427097601463,11.103511,16.56280893935418,19.539496,46.82929219241777,17.922183,34.6760143881389,19.440709,46.086958547383496,17.966645,35.010123517128676,18.777934,41.10654430676902,18.335667,37.78313460520539,19.403473,45.807149102755226,19.487331,46.43729896868174
0.22,7.275654,7.306439,0.4231234745357577,7.143606,1.814929626944879,6.996132,3.8418814308651843,6.849228,5.860998887522691,6.702937,7.871690984755459,6.57184,9.673549621793455,6.455791,11.268581491093457,6.325816,13.055018834045718,13.287966,82.63603519353725,11.798768,62.16779962323662,12.545859,72.43616862484114,11.61346,59.62083958363055,12.105831,66.388217471584,12.094539,66.2330149289672,12.641965,73.75709455122522,12.699381,74.54624697656045
0.24,3.93541,4.120354,4.699484932954883,4.038836,2.628087035404184,3.965285,0.7591331017606829,3.892304,1.0953369534559263,3.819936,2.934230486785363,3.75537,4.574872757857503,3.698459,6.020999082687697,3.635015,7.633130982540573,9.002414,128.75415776246948,7.720503,96.18039797632267,7.768184,97.39198711188922,7.40429,88.14532666227915,7.550534,91.86143248098672,7.8647,99.84448888425857,7.949755,102.00576305899511,8.007782,103.48024729316643
0.26,2.3521,2.565233,9.061391947621274,2.523405,7.28306619616512,2.485936,5.69006419795077,2.449036,4.1212533480719324,2.41275,2.5785468304918955,2.380658,1.214149058288332,2.352612,0.021767781982061474,2.321641,1.294970451936568,6.191139,163.21750775902385,5.156089,119.2121508439267,4.664867,98.3277496705072,4.812139,104.58904808469028,4.635009,97.05833085328005,5.135009,118.31593044513413,4.867318,106.93499426044811,4.952249,110.54585264231962
0.28,1.748013,1.936227,10.76731122709041,1.910453,9.292837067001212,1.887577,7.984151147617324,1.865272,6.708130889186751,1.84358,5.467179019835662,1.824622,4.382633309935334,1.808252,3.4461414188567208,1.790416,2.4257828746124868,4.407469,152.1416602736936,3.612551,106.66614035479141,2.78789,59.48908846787753,3.32049,89.95796942013588,2.88694,65.1555222987472,3.434477,96.47891634673196,2.945547,68.5083005675587,3.074058,75.86013376330725
0.3,1.576208,1.732363,9.90700465928355,1.711792,8.601910407763437,1.693646,7.450666409509401,1.676071,6.33564859460173,1.659109,5.259521585983569,1.644408,4.326840112472468,1.631822,3.528341437170732,1.618243,2.6668434622841684,3.303199,109.56618669617208,2.6992950000000002,71.25246160405226,1.745878,10.764442256351952,2.49782,58.470201902287,1.904772,20.845218397571884,2.39114,51.70205962664826,1.807346,14.664181377077126,1.980264,25.6346878077005
0.32,1.519609,1.65831,9.12741369654957,1.639629,7.898084309845495,1.623202,6.817082552156512,1.607344,5.773524636929639,1.592101,4.770437658634557,1.578946,3.904754446703065,1.567735,3.1669988793169894,1.555702,2.375150449885459,2.640196,73.74179805463116,2.149716,41.465074239491884,1.233723,18.813128903553487,2.033177,33.79606201332052,1.388009,8.660122439390655,1.749239,15.11112397991852,1.173024,22.807511669120142,1.373683,9.602864947496363
0.34,1.441259,1.581656,9.741274815976857,1.564932,8.580900448843678,1.550283,7.564497428983966,1.536204,6.587643164760798,1.522739,5.653390542574234,1.511185,4.851730327442877,1.501396,4.1725324872212335,1.490964,3.4487208752902765,2.271601,57.61226816276602,1.808912,25.50915553692986,1.035173,28.175782423561635,1.736828,20.50769500832258,1.136967,21.112929737125665,1.354659,6.0086355054851355,0.855907,40.61393545504313,1.053711,26.88954587620962
0.36,1.315863,1.47242,11.897667158359196,1.458484,10.838590339571816,1.446369,9.917901787648107,1.434825,9.040606810891408,1.423895,8.209973226696086,1.414622,7.50526460581383,1.40686,6.915385568254445,1.398709,6.295944182639072,2.108842,60.263036501520304,1.601876,21.735773404982133,1.008177,23.382829367494935,1.516716,15.263975049074254,1.032858,21.50717817888336,1.123735,14.600912101031799,0.740039,43.760178681215294,0.898311,31.73217880584833
0.38,1.167319,1.347049,15.396819549754603,1.336312,14.47701956363256,1.327106,13.688374814425183,1.318471,12.948645571604672,1.310449,12.26142982338161,1.303794,11.691320024774711,1.29836,11.225808883432888,1.292827,10.75181676988038,2.089748,79.02115874066988,1.49704,28.246006447252203,1.0636,8.885231886056845,1.343957,15.131939084346275,1.01037,13.445253611052335,1.010183,13.46127322522806,0.752763,35.51351430071815,0.838637,28.15699907223304
0.4,1.026169,1.229739,19.83786296409264,1.221996,19.083308889666316,1.215512,18.45144415783363,1.209598,17.875125832099766,1.204298,17.358641705216193,1.200093,16.94886514794346,1.196836,16.631471034498205,1.193753,16.331033192388382,2.157764,110.2737463322318,1.476488,43.88351236492233,1.145606,11.639115974074423,1.219225,18.81327539615793,1.03271,0.6374193724425419,0.980469,4.453457471430151,0.842091,17.93837077518421,0.835576,18.573256451909977
0.42,0.909671,1.133919,24.651549846043228,1.128621,24.069141480821095,1.124361,23.600840303802137,1.12067,23.195089213572825,1.117594,22.856944983406084,1.115389,22.61454965586459,1.113911,22.452073332006854,1.112828,22.333019300384414,2.255386,147.93425315306305,1.518606,66.94013549953773,1.218126,33.908413041638134,1.147906,26.189138710588782,1.074744,18.14645074977656,1.001732,10.120252267028414,0.963884,5.9596271619079815,0.863448,5.081287630363067
0.44,0.819248,1.059497,29.32555221373747,1.056099,28.91078159482842,1.053565,28.6014735464719,1.051601,28.361741499521514,1.050251,28.196956233033234,1.049601,28.117615178798122,1.049504,28.105775052243036,1.049976,28.163388863933758,2.328921,184.27545749272502,1.593393,94.49458527820637,1.258055,53.56216920883542,1.127021,37.56774505400075,1.115369,36.14546510946625,1.040807,27.044191746577358,1.078909,31.69504228267874,0.901952,10.095111614553835
0.46,0.746861,0.998402,33.67976102648284,0.996563,33.43353046952512,0.995447,33.284105074438216,0.994901,33.21099910157312,0.994968,33.219969981027255,0.995594,33.30378745174804,0.996631,33.442635242702465,0.998378,33.67654757712613,2.338272,213.07994392530873,1.666794,123.17325446100413,1.253205,67.7962833780315,1.142758,53.00812333218631,1.136867,52.2193554088378,1.069494,43.19853359594355,1.156285,54.819303725860635,0.934439,25.11551680968748
0.48,0.682821,0.941614,37.900562519313254,0.941225,37.84359297678307,0.941426,37.873029681278105,0.942198,37.986090058741595,0.943583,38.18892506235162,0.945394,38.45414830533917,0.947485,38.76037790284716,0.950418,39.18991946644874,2.265196,231.74082226527887,1.708865,150.2654429198868,1.202092,76.04789542207986,1.174842,72.05709841964438,1.127493,65.12277741897219,1.070565,56.78559973990255,1.178566,72.60248293476621,0.94928,39.023257925576395
0.5,0.620718,0.883651,42.35949336091429,0.884741,42.53509645281754,0.886287,42.784162856562894,0.888403,43.12505840011085,0.891133,43.564871648639155,0.894155,44.05172719334707,0.897322,44.56194278239071,0.901465,45.22939563537709,2.115664,240.84141268659843,1.701084,174.05101833682932,1.11313,79.32942173418525,1.203335,93.86178586733429,1.083861,74.61407595719795,1.040532,67.63361139841281,1.144445,84.37438579193771,0.941406,51.66404067547582
