q_inverse_angstroms,debye,propo{e=0.380}_VATPaseLiRotor,propo{e=0.380}_VATPaseLiRotor_relDiffDebye,propo{e=0.390}_VATPaseLiRotor,propo{e=0.390}_VATPaseLiRotor_relDiffDebye,propo{e=0.400}_VATPaseLiRotor,propo{e=0.400}_VATPaseLiRotor_relDiffDebye,propo{e=0.410}_VATPaseLiRotor,propo{e=0.410}_VATPaseLiRotor_relDiffDebye,propo{e=0.420}_VATPaseLiRotor,propo{e=0.420}_VATPaseLiRotor_relDiffDebye,propo{e=0.430}_VATPaseLiRotor,propo{e=0.430}_VATPaseLiRotor_relDiffDebye,propo{e=0.440}_VATPaseLiRotor,propo{e=0.440}_VATPaseLiRotor_relDiffDebye,propo{e=0.450}_VATPaseLiRotor,propo{e=0.450}_VATPaseLiRotor_relDiffDebye,strat{s=0.15}_VATPaseLiRotor,strat{s=0.15}_VATPaseLiRotor_relDiffDebye,strat{s=0.20}_VATPaseLiRotor,strat{s=0.20}_VATPaseLiRotor_relDiffDebye,strat{s=0.25}_VATPaseLiRotor,strat{s=0.25}_VATPaseLiRotor_relDiffDebye,strat{s=0.30}_VATPaseLiRotor,strat{s=0.30}_VATPaseLiRotor_relDiffDebye,strat{s=0.35}_VATPaseLiRotor,strat{s=0.35}_VATPaseLiRotor_relDiffDebye,strat{s=0.40}_VATPaseLiRotor,strat{s=0.40}_VATPaseLiRotor_relDiffDebye,strat{s=0.45}_VATPaseLiRotor,strat{s=0.45}_VATPaseLiRotor_relDiffDebye,strat{s=0.50}_VATPaseLiRotor,strat{s=0.50}_VATPaseLiRotor_relDiffDebye
0.2,0.351863,0.197948,43.742877199364514,0.199289,43.36176295887888,0.200683,42.96558603774764,0.202194,42.53615753858745,0.203769,42.08854014204392,0.205447,41.61164998877404,0.207162,41.1242443792044,0.20896,40.61325004334073,0.354788,0.8312894507237224,0.385595,9.586685727115395,0.387446,10.112742743624658,0.369079,4.892813396122926,0.374265,6.366682487218046,0.370401,5.2685278076978825,0.379613,7.8865922248147715,0.367655,4.488110429343247
0.22,0.413373,0.210897,48.981428395178206,0.211901,48.738548478008966,0.212985,48.47631557939198,0.214195,48.18360173499479,0.215486,47.87129299688175,0.216889,47.53189008474187,0.218347,47.17918199785665,0.219897,46.80421798230653,0.39933,3.3971739808840855,0.371115,10.222728625236776,0.384863,6.896918763441246,0.366989,11.220858643404378,0.355228,14.06598882849146,0.365902,11.483817278825658,0.357583,13.496285437123376,0.356266,13.81488389420692
0.24,0.287646,0.18227,36.63391807986206,0.184018,36.02622668140702,0.185788,35.41088699304006,0.187664,34.758696453279384,0.189583,34.091556983236345,0.191593,33.39278140492132,0.193619,32.68844343394311,0.195718,31.95872704643903,0.286107,0.5350326442919465,0.219251,23.777490387490182,0.246932,14.154203430605675,0.229814,20.105268281151144,0.213124,25.907539127955893,0.220445,23.362396834998577,0.213989,25.60682227460142,0.208867,27.38748322590963
0.26,0.14158,0.150435,6.254414465319962,0.153012,8.07458680604605,0.155544,9.86297499646841,0.158161,11.711399915242254,0.160777,13.559118519564903,0.163463,15.456279135471101,0.166121,17.333662946743875,0.168829,19.246362480576348,0.190049,34.234355134906046,0.127361,10.04308518152282,0.159519,12.670574939963258,0.144008,1.7149314874982238,0.131626,7.030654047181819,0.123416,12.829495691481856,0.126856,10.399773979375627,0.118343,16.412628902387347
0.28,0.074227,0.136435,83.80777884058361,0.139376,87.76994894041252,0.142243,91.63242485887885,0.145186,95.59728939604189,0.148109,99.53520955986365,0.151092,103.55396284370917,0.154027,107.50804963153568,0.157004,111.51871960337883,0.157601,112.32300914761473,0.123031,65.74965982728656,0.143782,93.70579438748702,0.12361,66.52969943551538,0.116369,56.77448906732051,0.103398,39.29971573686125,0.105889,42.655637436512315,0.09853,32.741455265604166
0.3,0.054651,0.132358,142.18770013357488,0.135405,147.76307844321238,0.13837,153.1884137527218,0.141408,158.74732392819894,0.144419,164.25682970119485,0.147489,169.87429324257565,0.150506,175.39477777167846,0.153561,180.9847944227919,0.13305,143.45391667124113,0.122373,123.91722017895374,0.125296,129.2657041957146,0.099282,81.66547730142175,0.094274,72.5018755375016,0.088566,62.05741889443927,0.082772,51.45560008051088,0.075416,37.99564509341092
0.32,0.044875,0.130017,189.73147632311978,0.133125,196.6573816155989,0.136146,203.3894150417827,0.139238,210.27966573816158,0.142301,217.10529247910867,0.145421,224.05793871866297,0.148484,230.88356545961005,0.151584,237.791643454039,0.108949,142.78328690807803,0.10286,129.21448467966573,0.100556,124.08022284122563,0.074184,65.31253481894151,0.069444,54.749860724234,0.070469,57.0339832869081,0.06284,40.033426183844,0.052355,16.668523676880227
0.34,0.032526,0.127244,291.207034372502,0.130423,300.98075385845175,0.133511,310.4746971653446,0.136668,320.1807784541598,0.139792,329.785402447273,0.14297,339.5560474697166,0.146088,349.14222468179304,0.149241,358.8360081165837,0.103259,217.4660271782574,0.085617,163.2263420033204,0.092516,184.43706573202977,0.068952,111.9904076738609,0.064782,99.16989485334811,0.06612,103.28352702453422,0.063277,94.54282727664022,0.049753,52.96378281989793
0.36,0.023344,0.125263,436.59612748457846,0.128494,450.43694311172027,0.131629,463.86651816312536,0.134832,477.5873886223441,0.137999,491.15404386566144,0.141219,504.94773817683347,0.144377,518.4758396161754,0.147568,532.145305003427,0.112556,382.16244002741604,0.079871,242.14787525702533,0.093038,298.55209047292664,0.072438,210.30671692940368,0.071105,204.59647018505825,0.067744,190.19876627827276,0.065167,179.1595270733379,0.052667,125.61257710760793
0.38,0.022749,0.125067,449.76922062508254,0.128303,463.9940217152403,0.131443,477.79682623412026,0.13465,491.89414919337116,0.137822,505.8376192360105,0.141046,520.0096707547585,0.144208,533.909182821223,0.147403,547.9537562090642,0.120381,429.170512989582,0.079983,251.5890808387182,0.087181,283.2300320893226,0.070977,212.0005274957141,0.073657,223.78126511055433,0.06414,181.94645918501914,0.053951,137.15767726053895,0.048297,112.30383753132007
0.4,0.023897,0.125255,424.14529020379126,0.128486,437.6658157927772,0.131622,450.78880194166624,0.134825,464.19215801146584,0.137992,477.44486755659705,0.141213,490.92354688873075,0.14437,504.1344101770096,0.147562,517.4917353642716,0.115101,381.6546009959409,0.077995,226.37988031970536,0.07526,214.9349290705946,0.065257,173.07611834121434,0.068245,185.57977988868893,0.05649,136.3895049587814,0.039781,66.4685943842323,0.042662,78.52450098338701
0.42,0.022676,0.125027,451.36267419297934,0.128264,465.63767860292813,0.131405,479.489327923796,0.134613,493.6364438172517,0.137786,507.62921150114647,0.141011,521.8512965249603,0.144173,535.7955547715645,0.147369,549.8897512788851,0.101033,345.55036161580523,0.073068,222.22614217675073,0.064656,185.12965249603104,0.060488,166.74898571176573,0.057963,155.6138648791674,0.050813,124.08273064032454,0.035687,57.377844417004766,0.04094,80.54330569765388
0.44,0.023374,0.125211,435.684949088731,0.128444,449.5165568580474,0.13158,462.93317361170534,0.134784,476.6407119021134,0.137952,490.1942329083597,0.141174,503.97877984084874,0.144332,517.4895182681612,0.147524,531.1457174638487,0.093413,299.644904594849,0.070268,200.62462565243436,0.059181,153.1915803884658,0.058519,150.3593736630444,0.050264,115.04235475314455,0.049591,112.1630871908959,0.04013,71.68648926157269,0.040385,72.77744502438607
0.46,0.023904,0.125267,424.04200133868795,0.128498,437.5585676037483,0.131633,450.6735274431056,0.134836,464.0729585006693,0.138003,477.3217871485943,0.141223,490.7923360107094,0.144381,504.00351405622484,0.147572,517.3527443105755,0.096268,302.72757697456495,0.07016,193.5073627844712,0.056621,136.86830655957158,0.056428,136.06091030789824,0.048222,101.73192771084337,0.048455,102.70665997322621,0.042154,76.34705488621148,0.03761,57.33768406961176
0.48,0.019822,0.12432,527.1819190798103,0.127576,543.6081121985671,0.130733,559.5348602562808,0.133958,575.8046614872364,0.137146,591.8878014327514,0.140386,608.2332761578045,0.143563,624.260922207648,0.146772,640.4500050448996,0.09908,399.848653011805,0.070017,253.22873574815858,0.05455,175.19927353445667,0.052879,166.7692462919988,0.047638,140.32892745434367,0.043661,120.26536171930178,0.03853,94.37998183836143,0.033965,71.35001513469884
0.5,0.018183,0.124022,582.0766650167739,0.127285,600.0219985700929,0.13045,617.4283671561349,0.133682,635.2032117912335,0.136876,652.7690700104492,0.140123,670.6264092833965,0.143305,688.1262717923333,0.14652,705.8076225045372,0.097594,436.73211241269314,0.072156,296.832205906616,0.05551,205.28515646482978,0.052893,190.8925919815212,0.046734,157.0202936809107,0.040626,123.42847714898531,0.03813,109.70136941098825,0.034156,87.84579002364843
