q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.15}_BacteriorhodopsinArEnv,strat{a=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.20}_BacteriorhodopsinArEnv,strat{a=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.25}_BacteriorhodopsinArEnv,strat{a=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.30}_BacteriorhodopsinArEnv,strat{a=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.35}_BacteriorhodopsinArEnv,strat{a=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.40}_BacteriorhodopsinArEnv,strat{a=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.45}_BacteriorhodopsinArEnv,strat{a=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{a=0.50}_BacteriorhodopsinArEnv,strat{a=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0.2,3.279961,2.009371,38.73796060379987,1.974261,39.80840016085557,1.943941,40.73280139611416,1.914027,41.644824435412495,1.884548,42.54358512189627,1.857594,43.36536318572081,1.833098,44.112201334101236,1.808999,44.846935680027904,1.113763,66.04340722343954,2.963435,9.650297671222312,5.367375,63.64142744380191,11.86468,261.7323498663551,13.484264,311.11049796018915,19.016211,479.7694240876644,8.556371,160.8680712971892,19.481862,493.96626972088995
0.22,2.027486,1.362311,32.807871423033255,1.344173,33.70247686050607,1.328704,34.46544143831326,1.31364,35.208430539101144,1.299011,35.929964497905296,1.285847,36.579241484281525,1.274081,37.159566083316975,1.26271,37.72040842698791,1.301036,35.83008711280867,0.81785,59.66186696233661,4.997498,146.48742334102428,4.623154,128.02396662664995,6.468886,219.05946576203235,10.076419,396.9908053619112,8.285027,308.63547269870173,16.458915,711.7893292481428
0.24,1.297135,0.973148,24.97712265878262,0.965217,25.588547067190383,0.95868,26.092503864285522,0.952548,26.565238005296287,0.946851,27.004436700883094,0.94198,27.379956596653386,0.937869,27.69688582915425,0.934155,27.98320914939463,1.970049,51.87694418853859,3.228847,148.92143069148548,1.336868,3.063135294321718,7.929183,511.2843304667595,8.639693,566.0596622556635,8.90076,586.1860947395606,11.280942,769.6814132684724,19.41172,1396.5073026323398
0.26,0.879642,0.742869,15.548711862325812,0.740979,15.763571998608523,0.739727,15.905902628569352,0.738879,16.002305483367106,0.738467,16.0491427194245,0.738504,16.044936462788268,0.738924,15.997189765836556,0.739739,15.904538437227872,1.766162,100.7819090038902,1.893556,115.26439165023952,4.274552,385.94223559129733,2.232707,153.81996312136073,9.378639,966.1881765536433,5.592894,535.814797383481,24.063579,2635.6105097300947,13.510104,1435.863908271774
0.28,0.681558,0.629529,7.633833070699778,0.630611,7.4750791568729245,0.63196,7.277150293885485,0.633714,7.019798755204985,0.635904,6.698476138494446,0.638356,6.338712185903468,0.641005,5.950043870074146,0.64405,5.503273382456077,6.304238,824.9745436191783,1.867938,174.06882466349163,2.120025,211.05569885468296,4.162726,510.76621505433144,6.698336,882.7976489161598,4.151064,509.0551354396838,6.847928,904.7461844773298,9.633953,1313.5191722494635
0.3,0.608019,0.586976,3.4609115833551125,0.589174,3.0994097223935437,0.5915,2.716855887727185,0.594231,2.2676922925105996,0.597397,1.7469848804067014,0.600756,1.1945350392010807,0.604242,0.6211976928352618,0.608124,0.017269197179696973,3.370933,454.41244434795624,1.379432,126.8731733712269,4.672557,668.4886492033967,3.708121,509.8692639539225,10.221005,1581.0338163774486,4.673861,668.703116185514,5.021768,725.9228741207102,6.700068,1001.950432470038
0.32,0.56771,0.567467,0.04280354406298871,0.570177,0.4345528526888722,0.572951,0.923182610840031,0.576129,1.4829754628243212,0.579743,2.119568089341382,0.583518,2.784520265628566,0.587388,3.466206337742857,0.591654,4.2176463335153445,3.842927,576.9172640961053,5.877369,935.2766377199625,2.076471,265.7626252840359,6.471479,1039.9268992971765,22.287075,3825.785172006834,9.880009,1640.3267513343078,11.530644,1931.079952792799,4.966607,774.8493068644201
0.34,0.510772,0.542528,6.217255448615039,0.545892,6.875866335664453,0.549238,7.530953145434753,0.552989,8.265331693984782,0.557175,9.084875443446386,0.561481,9.927913041435318,0.565842,10.781718653332593,0.570598,11.712858183299014,1.479425,189.64489047950946,1.385498,171.2556678909572,5.31278,940.147071491781,9.703661,1799.8028474544417,5.376436,952.6097750072438,4.826904,845.0212619329171,6.55202,1182.7680452334896,9.112335,1684.031818502189
0.36,0.437082,0.50911,16.479287639390304,0.513351,17.449586118851833,0.517464,18.39059947561327,0.521981,19.424044000896856,0.526935,20.557469765398714,0.531953,21.705538091250606,0.536971,22.853606417102498,0.542385,24.092275591307803,3.524289,706.3221546529026,5.862241,1241.2222420506905,8.411608,1824.4919717581595,5.977744,1267.6481758571617,3.379795,673.2633693448827,5.464468,1150.215748989892,3.586033,720.4485657153577,15.628922,3475.741394063356
0.38,0.370309,0.477628,28.98093214045567,0.482694,30.34897882579144,0.48753,31.65491521945187,0.49277,33.06994969066374,0.498446,34.60272367131233,0.504135,36.13900823366431,0.509773,37.66152051394917,0.515806,39.290700469067716,1.642516,343.55281670172747,3.192724,762.1783429514271,5.119696,1282.5470080392324,2.160622,483.46462008754855,5.360073,1347.4595540481057,7.744004,1991.2275964127257,20.992702,5568.968888144766,12.616031,3306.8928921522293
0.4,0.326879,0.456285,39.58834920566939,0.461911,41.30947537162071,0.467236,42.93851853438123,0.472966,44.69146075459116,0.479132,46.57778566380833,0.485276,48.45738025385541,0.491333,50.31035949082078,0.497786,52.28448447284777,0.878802,168.84627033244718,1.851614,466.45241817308556,3.949521,1108.2516772261297,14.456482,4322.578997121259,10.41194,3085.258153628713,2.651271,711.0863652911322,5.288852,1517.9846365168767,8.93638,2633.849528418773
0.42,0.303928,0.444304,46.18725487615488,0.450244,48.14166513121529,0.455845,49.98453581111317,0.46185,51.96033271037878,0.46829,54.079255613171554,0.47469,56.185017504145726,0.480983,58.25557368850518,0.487672,60.45642388986866,1.193399,292.65845858229585,3.894306,1181.3251822800137,9.067287,2883.366784238373,5.59623,1741.301229238504,3.087843,915.978455423653,5.953641,1858.8984891158436,7.439712,2347.853438972388,12.807781,4114.083927772367
0.44,0.287263,0.435226,51.507851689914816,0.441404,53.6584941325545,0.447213,55.68068285856517,0.453426,57.843509258066646,0.460075,60.15811294876124,0.466668,62.45322230847692,0.47314,64.70620998875596,0.480007,67.09670232504709,4.684323,1530.6739816822912,5.180276,1703.321694753588,1.682816,485.8102157256591,9.74158,3291.1711567448647,7.63958,2559.437518928647,5.798,1918.3594824255124,14.668481,5006.2897066451305,17.363477,5944.452992553862
