q_inverse_angstroms,debye,propo{e=0.380}_AntiterminatorHairpin,propo{e=0.380}_AntiterminatorHairpin_relDiffDebye,propo{e=0.390}_AntiterminatorHairpin,propo{e=0.390}_AntiterminatorHairpin_relDiffDebye,propo{e=0.400}_AntiterminatorHairpin,propo{e=0.400}_AntiterminatorHairpin_relDiffDebye,propo{e=0.410}_AntiterminatorHairpin,propo{e=0.410}_AntiterminatorHairpin_relDiffDebye,propo{e=0.420}_AntiterminatorHairpin,propo{e=0.420}_AntiterminatorHairpin_relDiffDebye,propo{e=0.430}_AntiterminatorHairpin,propo{e=0.430}_AntiterminatorHairpin_relDiffDebye,propo{e=0.440}_AntiterminatorHairpin,propo{e=0.440}_AntiterminatorHairpin_relDiffDebye,propo{e=0.450}_AntiterminatorHairpin,propo{e=0.450}_AntiterminatorHairpin_relDiffDebye,strat{a=0.15}_AntiterminatorHairpin,strat{a=0.15}_AntiterminatorHairpin_relDiffDebye,strat{a=0.20}_AntiterminatorHairpin,strat{a=0.20}_AntiterminatorHairpin_relDiffDebye,strat{a=0.25}_AntiterminatorHairpin,strat{a=0.25}_AntiterminatorHairpin_relDiffDebye,strat{a=0.30}_AntiterminatorHairpin,strat{a=0.30}_AntiterminatorHairpin_relDiffDebye,strat{a=0.35}_AntiterminatorHairpin,strat{a=0.35}_AntiterminatorHairpin_relDiffDebye,strat{a=0.40}_AntiterminatorHairpin,strat{a=0.40}_AntiterminatorHairpin_relDiffDebye,strat{a=0.45}_AntiterminatorHairpin,strat{a=0.45}_AntiterminatorHairpin_relDiffDebye,strat{a=0.50}_AntiterminatorHairpin,strat{a=0.50}_AntiterminatorHairpin_relDiffDebye
0.2,10.865414,6.683963,38.484046719250635,6.525905,39.93873588249836,6.382696,41.256762052508996,6.23998,42.57025088965777,6.11199,43.748208765906206,5.998608,44.79172169601637,5.871522,45.961359594765554,5.759003,46.99692989148871,8.322485,23.403885024537484,8.585201,20.985974395453315,16.619298,52.95595731557031,14.270273,31.336670650561498,25.632321,135.90744908569522,46.24678,325.6329303236858,36.745774,238.19027972611076,58.819284,441.3441586303109
0.22,8.43004,5.27989,37.36815009181451,5.159139,38.80053949921946,5.049845,40.09702207818705,4.941044,41.38765652357522,4.843577,42.54384320833591,4.757327,43.566970026239495,4.660764,44.71243315571456,4.575376,45.72533463660908,4.539059,46.156139235401014,5.399396,35.950529297607126,11.882035,40.948738084279555,15.454244,83.32349549942822,24.654039,192.45459096279495,26.450671,213.76685045385315,34.777442,312.5418384728898,32.137588,281.2269929917296
0.24,6.607146,4.22626,36.03501421037162,4.133504,37.438888137177535,4.04966,38.70787780382028,3.966309,39.969405852390736,3.891747,41.0979112615341,3.825857,42.09516484121888,3.752199,43.209988094708365,3.687171,44.19419519411256,2.498837,62.179782314481926,5.959623,9.800343446323124,11.099002,67.98481522884465,8.628168,30.588426530910628,15.523736,134.95373040038768,23.473841,255.27958667781823,25.35453,283.74405530012507,19.613362,196.85074311964647
0.26,5.206786,3.411359,34.48244271994278,3.340255,35.848045224059526,3.276094,37.08030251291296,3.212426,38.30309138881452,3.155579,39.39487814555851,3.105437,40.35789064501596,3.049494,41.432315443730545,3.000213,42.378791830507346,1.544553,70.33576951309311,5.210019,0.06209204680199684,8.968292,72.24237754345963,12.176853,133.86505610178716,16.694057,220.62114709534825,18.673021,258.6285474379012,24.058715,362.06460184843394,32.545052,525.0506934604186
0.28,4.100459,2.76037,32.68143883404272,2.706563,33.99365778318963,2.658127,35.17489139630466,2.610183,36.34412635268392,2.567488,37.38535124970156,2.529925,38.301419426459326,2.488135,39.320573623587016,2.451433,40.215644151057226,3.678986,10.278678557693171,6.795262,65.71954505580962,5.715029,39.375347979335984,12.123757,195.6682898182862,12.973642,216.39487189117125,14.247194,247.45363872678644,18.225568,344.4762891178768,27.09281,560.7262747902125
0.3,3.24239,2.24773,30.67675387599888,2.207544,31.916148273341577,2.17149,33.02810581083707,2.135929,34.124858514860954,2.1043790000000002,35.09790617414931,2.076722,35.95088807947223,2.046076,36.89605507048813,2.01928,37.722482489768346,3.436283,5.979940722738477,3.631324,11.995287426867229,7.343033,126.46976458723348,8.610696,165.56632607428472,8.033839,147.77522136448732,14.987781,362.24485641764255,13.477196,315.65622889288454,19.297277,495.15594977778744
0.32,2.609256,1.861777,28.64720824633535,1.831846,29.79431684740784,1.805115,30.818785124955156,1.778876,31.82439745276048,1.755716,32.71200679427392,1.735517,33.48613551142547,1.713261,34.33909896154306,1.693924,35.08019144154502,2.502282,4.099789365244334,4.152054,59.12788932937205,6.375496,144.34152877295293,8.028566,207.69560365100244,7.200425,175.95701609960852,12.465831,377.7542333906677,12.840879,392.1279859086268,14.023036,437.4342724516107
0.34,2.157975,1.579856,26.789884034801148,1.557415,27.829794135705928,1.537493,28.75297443204856,1.518065,29.653262896928833,1.501033,30.44252134524264,1.486282,31.12607884706727,1.470155,31.873399830859945,1.456265,32.517058816714744,1.77593,17.70386589279301,5.550019,157.18643635815985,10.614893,391.8913796499033,8.138235,277.1236923504674,7.379027,241.94219117459656,11.282368,422.82199747448414,12.855211,495.7071328444491,28.867769,1237.7249041346631
0.36,1.838042,1.374815,25.2021988616147,1.357822,26.12671527636473,1.342853,26.941114512073167,1.328378,27.728637321671645,1.315803,28.41278926161643,1.305014,28.999772584086763,1.293344,29.63468734664387,1.283417,30.174772937723944,3.441323,87.2276585627532,3.776486,105.46244318682598,5.075519,176.1372699862136,8.738103,375.4027927544638,10.643469,479.06560350633987,10.146471,452.02606904521224,12.519988,581.1589724282687,15.417489,738.7996030558605
0.38,1.615472,1.228237,23.970393792031057,1.215139,24.781178503867604,1.20371,25.488649756851245,1.192775,26.165541711648366,1.183387,26.746672180019214,1.17543,27.23922172591045,1.166947,27.764331415214876,1.159852,28.20352194281299,1.977482,22.408930640704387,4.526727,180.21079907296445,4.510198,179.18763061198212,5.752759,256.103912664534,16.964912000000002,950.152029871146,7.373444,356.42660473223924,12.677952,684.7831469688115,14.83266,818.1626174888825
