q_inverse_angstroms,debye,propo{e=0.380}_Plastocyanin,propo{e=0.380}_Plastocyanin_relDiffDebye,propo{e=0.390}_Plastocyanin,propo{e=0.390}_Plastocyanin_relDiffDebye,propo{e=0.400}_Plastocyanin,propo{e=0.400}_Plastocyanin_relDiffDebye,propo{e=0.410}_Plastocyanin,propo{e=0.410}_Plastocyanin_relDiffDebye,propo{e=0.420}_Plastocyanin,propo{e=0.420}_Plastocyanin_relDiffDebye,propo{e=0.430}_Plastocyanin,propo{e=0.430}_Plastocyanin_relDiffDebye,propo{e=0.440}_Plastocyanin,propo{e=0.440}_Plastocyanin_relDiffDebye,propo{e=0.450}_Plastocyanin,propo{e=0.450}_Plastocyanin_relDiffDebye,strat{a=0.15}_Plastocyanin,strat{a=0.15}_Plastocyanin_relDiffDebye,strat{a=0.20}_Plastocyanin,strat{a=0.20}_Plastocyanin_relDiffDebye,strat{a=0.25}_Plastocyanin,strat{a=0.25}_Plastocyanin_relDiffDebye,strat{a=0.30}_Plastocyanin,strat{a=0.30}_Plastocyanin_relDiffDebye,strat{a=0.35}_Plastocyanin,strat{a=0.35}_Plastocyanin_relDiffDebye,strat{a=0.40}_Plastocyanin,strat{a=0.40}_Plastocyanin_relDiffDebye,strat{a=0.45}_Plastocyanin,strat{a=0.45}_Plastocyanin_relDiffDebye,strat{a=0.50}_Plastocyanin,strat{a=0.50}_Plastocyanin_relDiffDebye
0.32,1.519609,1.65831,9.12741369654957,1.639629,7.898084309845495,1.623202,6.817082552156512,1.607344,5.773524636929639,1.592101,4.770437658634557,1.578946,3.904754446703065,1.567735,3.1669988793169894,1.555702,2.375150449885459,30.177158,1885.8501759334142,68.085639,4380.470897447962,0.467813,69.21490988800409,226.994221,14837.67284873938,799.798845,52531.883925404494,797.926267,52408.65630566811,32.504265,2038.9887135440758,3734.679488,245665.81791763543
0.34,1.441259,1.581656,9.741274815976857,1.564932,8.580900448843678,1.550283,7.564497428983966,1.536204,6.587643164760798,1.522739,5.653390542574234,1.511185,4.851730327442877,1.501396,4.1725324872212335,1.490964,3.4487208752902765,0.13512,90.62486340067956,1091.187456,75610.71237022632,28.057445,1846.7316422655472,30.004521,1981.827138633653,32.351083,2144.6404844653184,351.902505,24316.32662831594,796.016076,55130.60574123041,1.23614,14.231931942836093
0.36,1.315863,1.47242,11.897667158359196,1.458484,10.838590339571816,1.446369,9.917901787648107,1.434825,9.040606810891408,1.423895,8.209973226696086,1.414622,7.50526460581383,1.40686,6.915385568254445,1.398709,6.295944182639072,28.994528,2103.460998599398,0.203379,84.5440596779452,0.361985,72.49067722095688,28.84095,2091.7897227902904,31.127361,2265.5472492197136,116.882284,8782.557226702173,4348.443425,330363.2340144833,1070.582068,81259.69078847874
0.38,1.167319,1.347049,15.396819549754603,1.336312,14.47701956363256,1.327106,13.688374814425183,1.318471,12.948645571604672,1.310449,12.26142982338161,1.303794,11.691320024774711,1.29836,11.225808883432888,1.292827,10.75181676988038,28.97231,2381.9530908003726,791.096032,67670.33801385912,58.302659,4894.578088765796,0.40659,65.1689041298908,0.773841,33.70783821731678,96.848841,8196.690193511798,795.904013,68082.22036992459,145.470837,12361.96086930822
0.4,1.026169,1.229739,19.83786296409264,1.221996,19.083308889666316,1.215512,18.45144415783363,1.209598,17.875125832099766,1.204298,17.358641705216193,1.200093,16.94886514794346,1.196836,16.631471034498205,1.193753,16.331033192388382,28.337977,2661.5311902815224,28.338977,2661.6286401167836,178.123883,17258.143054409164,0.298458,70.9153170676565,29.89073,2812.8467143326293,28.338122,2661.545320507635,0.901396,12.159108295027439,28.527693,2680.0189832279084
0.42,0.909671,1.133919,24.651549846043228,1.128621,24.069141480821095,1.124361,23.600840303802137,1.12067,23.195089213572825,1.117594,22.856944983406084,1.115389,22.61454965586459,1.113911,22.452073332006854,1.112828,22.333019300384414,0.151263,83.37168053065339,0.232069,74.48868876769733,51.566877,5568.739247486179,28.919124,3079.0750721964314,29.766829,3172.2631588783197,30.903659,3297.234714528659,52.284923,5647.673939259358,55.607401,6012.913459921224
0.44,0.819248,1.059497,29.32555221373747,1.056099,28.91078159482842,1.053565,28.6014735464719,1.051601,28.361741499521514,1.050251,28.196956233033234,1.049601,28.117615178798122,1.049504,28.105775052243036,1.049976,28.163388863933758,51.601558,6198.649249067437,206.929494,25158.468009686938,1039.284074,126758.29858602035,0.390542,52.32920922602191,991.681799,120947.81445911371,0.671293,18.059854891314956,27.734686,3285.383424799328,27.725851,3284.3049967775323
0.46,0.746861,0.998402,33.67976102648284,0.996563,33.43353046952512,0.995447,33.284105074438216,0.994901,33.21099910157312,0.994968,33.219969981027255,0.995594,33.30378745174804,0.996631,33.442635242702465,0.998378,33.67654757712613,0.149752,79.9491471639301,27.588274,3593.89672241555,26.907226,3502.708670020258,550.333344,73586.18042714776,744.816655,99626.27503645257,49.899187,6581.1879318909405,28.386804,3700.8148771993724,748.966107,100181.86061395628
0.48,0.682821,0.941614,37.900562519313254,0.941225,37.84359297678307,0.941426,37.873029681278105,0.942198,37.986090058741595,0.943583,38.18892506235162,0.945394,38.45414830533917,0.947485,38.76037790284716,0.950418,39.18991946644874,158.255642,23076.739145398282,778.165537,113863.32816360364,0.278887,59.15664573878073,114.956825,16735.57257319268,93.920649,13654.79796315579,1281.868203,187631.22135962424,3606.068729,528013.3311658547,775.097828,113414.058296391
0.5,0.620718,0.883651,42.35949336091429,0.884741,42.53509645281754,0.886287,42.784162856562894,0.888403,43.12505840011085,0.891133,43.564871648639155,0.894155,44.05172719334707,0.897322,44.56194278239071,0.901465,45.22939563537709,0.134888,78.2690368250961,0.211334,65.95329924377897,0.275628,55.59529448155202,0.368693,40.6021736118495,114.758093,18387.95958873434,776.931585,125066.59497549613,29.09528,4587.358832835523,774.049574,124602.29218421248
