q_inverse_angstroms,debye,propo{e=0.380}_AntiterminatorHairpin,propo{e=0.380}_AntiterminatorHairpin_relDiffDebye,propo{e=0.390}_AntiterminatorHairpin,propo{e=0.390}_AntiterminatorHairpin_relDiffDebye,propo{e=0.400}_AntiterminatorHairpin,propo{e=0.400}_AntiterminatorHairpin_relDiffDebye,propo{e=0.410}_AntiterminatorHairpin,propo{e=0.410}_AntiterminatorHairpin_relDiffDebye,propo{e=0.420}_AntiterminatorHairpin,propo{e=0.420}_AntiterminatorHairpin_relDiffDebye,propo{e=0.430}_AntiterminatorHairpin,propo{e=0.430}_AntiterminatorHairpin_relDiffDebye,propo{e=0.440}_AntiterminatorHairpin,propo{e=0.440}_AntiterminatorHairpin_relDiffDebye,propo{e=0.450}_AntiterminatorHairpin,propo{e=0.450}_AntiterminatorHairpin_relDiffDebye,strat{a=0.15}_AntiterminatorHairpin,strat{a=0.15}_AntiterminatorHairpin_relDiffDebye,strat{a=0.20}_AntiterminatorHairpin,strat{a=0.20}_AntiterminatorHairpin_relDiffDebye,strat{a=0.25}_AntiterminatorHairpin,strat{a=0.25}_AntiterminatorHairpin_relDiffDebye,strat{a=0.30}_AntiterminatorHairpin,strat{a=0.30}_AntiterminatorHairpin_relDiffDebye,strat{a=0.35}_AntiterminatorHairpin,strat{a=0.35}_AntiterminatorHairpin_relDiffDebye,strat{a=0.40}_AntiterminatorHairpin,strat{a=0.40}_AntiterminatorHairpin_relDiffDebye,strat{a=0.45}_AntiterminatorHairpin,strat{a=0.45}_AntiterminatorHairpin_relDiffDebye,strat{a=0.50}_AntiterminatorHairpin,strat{a=0.50}_AntiterminatorHairpin_relDiffDebye
0.2,10.865414,6.683963,38.484046719250635,6.525905,39.93873588249836,6.382696,41.256762052508996,6.23998,42.57025088965777,6.11199,43.748208765906206,5.998608,44.79172169601637,5.871522,45.961359594765554,5.759003,46.99692989148871,4.037173,62.84381800822315,5.831827,46.32669312002285,20.864729,92.02884492022119,26.790587,146.56756751284397,22.045938,102.90011959047305,40.512967,272.86169675633164,51.280115,371.9573041579456,72.57858,567.9780448310576
0.22,8.43004,5.27989,37.36815009181451,5.159139,38.80053949921946,5.049845,40.09702207818705,4.941044,41.38765652357522,4.843577,42.54384320833591,4.757327,43.566970026239495,4.660764,44.71243315571456,4.575376,45.72533463660908,5.539015,34.29432126063459,6.539873,22.42180345526237,16.789125,99.15830767113796,13.045565,54.75092644874757,36.54133,333.46567750568215,24.59801,191.7899559195448,32.579536,286.4695303936873,45.521502,439.99153028929874
0.24,6.607146,4.22626,36.03501421037162,4.133504,37.438888137177535,4.04966,38.70787780382028,3.966309,39.969405852390736,3.891747,41.0979112615341,3.825857,42.09516484121888,3.752199,43.209988094708365,3.687171,44.19419519411256,6.080517,7.970597289661827,7.400578,12.008694828296516,7.510733,13.675904846056072,9.726421,47.21062619170214,15.236535,130.6069065221201,23.324974,253.02646558741094,22.486866,240.34159378345805,38.314857,479.9002625339292
0.26,5.206786,3.411359,34.48244271994278,3.340255,35.848045224059526,3.276094,37.08030251291296,3.212426,38.30309138881452,3.155579,39.39487814555851,3.105437,40.35789064501596,3.049494,41.432315443730545,3.000213,42.378791830507346,6.43769,23.640380073235193,6.222915,19.515474613321928,10.605831,103.6924697884645,8.079143,55.16564345068148,13.609,161.3704500242568,20.822839,299.9173194365967,23.879626,358.62507120515414,19.114354,267.1046591889891
0.28,4.100459,2.76037,32.68143883404272,2.706563,33.99365778318963,2.658127,35.17489139630466,2.610183,36.34412635268392,2.567488,37.38535124970156,2.529925,38.301419426459326,2.488135,39.320573623587016,2.451433,40.215644151057226,2.791232,31.928791386525262,3.612484,11.900496993141502,5.466445,33.313002276086664,9.880044,140.9497083131425,9.89282,141.26128318805286,20.409112,397.72749831177435,17.384788,323.97175535714416,20.459993,398.9683593958628
0.3,3.24239,2.24773,30.67675387599888,2.207544,31.916148273341577,2.17149,33.02810581083707,2.135929,34.124858514860954,2.1043790000000002,35.09790617414931,2.076722,35.95088807947223,2.046076,36.89605507048813,2.01928,37.722482489768346,5.519593,70.23223609744666,6.026323,85.86052263916432,14.339121,342.2392432742514,6.108662,88.39997656050012,11.73471,261.91543892005586,12.143722,274.5299609238864,9.382768,189.37814390002436,14.136245,335.9822538312788
0.32,2.609256,1.861777,28.64720824633535,1.831846,29.79431684740784,1.805115,30.818785124955156,1.778876,31.82439745276048,1.755716,32.71200679427392,1.735517,33.48613551142547,1.713261,34.33909896154306,1.693924,35.08019144154502,2.112159,19.05129278231035,6.856614,162.78042476476057,4.336724,66.20538574980763,8.763467,235.86075877568166,10.125262,288.05168983035776,15.021093,475.684907881787,14.606302,459.7880008707463,18.131362,594.8862817600113
0.34,2.157975,1.579856,26.789884034801148,1.557415,27.829794135705928,1.537493,28.75297443204856,1.518065,29.653262896928833,1.501033,30.44252134524264,1.486282,31.12607884706727,1.470155,31.873399830859945,1.456265,32.517058816714744,3.951447,83.10902582282,5.775254,167.62376765254464,3.444328,59.609263313986496,3.801874,76.17785192136147,7.549175,249.82680522248864,10.772236,399.1826133296261,8.479488,292.93726757724255,21.78269,909.404186795491
0.36,1.838042,1.374815,25.2021988616147,1.357822,26.12671527636473,1.342853,26.941114512073167,1.328378,27.728637321671645,1.315803,28.41278926161643,1.305014,28.999772584086763,1.293344,29.63468734664387,1.283417,30.174772937723944,3.842848,109.0729156352249,3.797868,106.62574631047603,6.3145,243.5449244358943,6.805384,270.2518223196206,15.077603,720.307860212117,9.789286,432.59316163613244,15.016135,716.9636493616578,12.968238,605.5463368084081
0.38,1.615472,1.228237,23.970393792031057,1.215139,24.781178503867604,1.20371,25.488649756851245,1.192775,26.165541711648366,1.183387,26.746672180019214,1.17543,27.23922172591045,1.166947,27.764331415214876,1.159852,28.20352194281299,2.223622,37.64534451850606,4.677366,189.53556607604466,8.339795,416.245097408064,8.605391,432.6858651836738,7.338022,354.2339328691553,12.634316,682.0820168966097,11.076865,585.6735987996077,21.832328,1251.4519595511404
