q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{a=0.15}_RhccCarborane,strat{a=0.15}_RhccCarborane_relDiffDebye,strat{a=0.20}_RhccCarborane,strat{a=0.20}_RhccCarborane_relDiffDebye,strat{a=0.25}_RhccCarborane,strat{a=0.25}_RhccCarborane_relDiffDebye,strat{a=0.30}_RhccCarborane,strat{a=0.30}_RhccCarborane_relDiffDebye,strat{a=0.35}_RhccCarborane,strat{a=0.35}_RhccCarborane_relDiffDebye,strat{a=0.40}_RhccCarborane,strat{a=0.40}_RhccCarborane_relDiffDebye,strat{a=0.45}_RhccCarborane,strat{a=0.45}_RhccCarborane_relDiffDebye,strat{a=0.50}_RhccCarborane,strat{a=0.50}_RhccCarborane_relDiffDebye
0.2,2.492155,0.687971,72.39453404784211,0.676842,72.84109535723098,0.665878,73.28103589062478,0.65622,73.668571978869693,0.646716,74.04992867618587,0.637923,74.40275584785056,0.629822,74.72781588625107,0.622395,75.02583105785956,48.021041,1826.8882152193582,1.883618,24.418104010384585,3.00706,20.6610343257141,5.276471,111.7232274878569,7.717069,209.65445568192987,133.009213,5237.116391235698,130.78793,5147.985378116529,40.046935,1506.9199146923045
0.22,1.528376,0.474193,68.97406135662952,0.468444,69.35021225143551,0.46286,69.71556737347355,0.458016,70.03250509037044,0.453326,70.3393667526839,0.449062,70.61835569257826,0.445209,70.87045334394155,0.441746,71.09703371421692,0.674906,55.841625359204805,0.832008,45.56261024774009,2.025595,32.53250509037044,30.618365,1903.3267337356776,52.15427,3312.3978654467223,30.735385,1910.9832266405651,115.925874,7484.905415944768,7.325746,379.3156919501484
0.24,0.864355,0.324908,62.410352227961894,0.322915,62.6409287850478,0.321089,62.852184576938875,0.319606,63.02375759959739,0.318277,63.17751386872293,0.317177,63.3047763939585,0.316289,63.40751195978503,0.315594,63.48791873709298,27.832687,3120.0527561013705,114.813336,13183.122790982872,335.045598,38662.498973222806,28.765635,3227.9885000954473,28.993272,3254.3245541473125,112.723303,12941.320175159512,476.256341,54999.622377379674,5.928727,585.9134267748784
0.26,0.438228,0.226909,48.2212455616711,0.227383,48.11308268755077,0.228022,47.96726818003414,0.228746,47.80205737652546,0.229623,47.60193324023111,0.230601,47.37876174046387,0.23166,47.137106711574795,0.232782,46.88107560447986,0.354403,19.1281707239154,29.657287,6667.547258504706,1.767804,303.3982310578055,45.709287,10330.480708672198,2.548732,481.5995326633625,4.06155,826.8120704290918,5.226363,1092.6127495276432,3.90392,790.8422099911461
0.28,0.20569,0.17092,16.904078953765385,0.172802,15.989109825465505,0.174851,14.99295055666294,0.176835,14.028392240750653,0.178973,12.988963974913714,0.181137,11.936895327920666,0.183309,10.880937332879581,0.185469,9.830813359910552,0.287395,39.722397783071614,0.499599,142.88929943118282,30.163816,14564.697360105012,44.706762,21635.01968982449,26.91084,12983.202878117556,1.075794,423.01716174826186,29.383466,14185.315766444648,29.641494,14310.760853711894
0.3,0.10192,0.143263,40.56416797488227,0.145842,43.09458398744113,0.148587,45.78787284144427,0.151194,48.34576138147567,0.153955,51.05474882260598,0.156705,53.752943485086355,0.159426,56.42268445839876,0.162099,59.04532967032967,0.139459,36.83182888540032,28.860681,28216.994701726842,28.430287,27794.70859497645,0.794036,679.0777080062794,28.667629,28027.579474097336,1.184257,1061.947605965463,30.105377,29438.242739403457,31.575841,30881.005690737835
0.32,0.066976,0.131313,96.05978260869568,0.134193,100.35983038700434,0.137238,104.90623506927857,0.140114,109.20031055900621,0.143144,113.72431915910177,0.146148,118.20950788342095,0.149106,122.62601528905877,0.152001,126.94845914954614,29.092331,43336.94905637841,28.020196,41736.174151935025,28.083588,41830.822981366466,0.403606,502.6128762541807,26.873249,40023.6995341615,1.179323,1660.8143215480172,52.363472,78082.44147157192,49.623741,73991.8254300048
0.34,0.070951,0.128861,81.61970937689391,0.131802,85.76482361066088,0.134909,90.14390212963876,0.13784,94.27492212935687,0.140925,98.62299333342729,0.143981,102.93019125875604,0.146988,107.16832743724542,0.149928,111.3120322476075,27.753193,39015.99977449225,59.6413,83959.84411777143,27.557113,38739.64003326239,28.399915,39927.50489774633,29.210993,41070.657214133695,60.08934,84591.32218009612,29.224483,41089.670335865594,2.394319,3274.6092373609954
0.36,0.099971,0.132865,32.90354202718789,0.135706,35.745366156185284,0.138712,38.752238149063224,0.141553,41.59406227806065,0.144548,44.58993108001321,0.147519,47.56179291994679,0.150446,50.48964199617888,0.153312,53.356473377279414,0.168255,68.30380810435024,0.245081,145.1520941072911,0.256137,156.21130127737044,28.771722,28680.068219783738,28.22601,28134.19791739604,0.969388,869.6692040691801,29.619673,29528.2651969071,117.599282,117533.39568474857
0.38,0.137653,0.13938,1.2546039679483967,0.142056,3.1986226235534208,0.144898,5.263234364670586,0.147593,7.221055843316168,0.150441,9.290026370656648,0.153273,11.347373468068254,0.156072,13.380747241251548,0.158817,15.374891938424891,0.433691,215.06105933034516,29.21447,21123.271559646353,29.213832,21122.808075377943,97.119689,70453.99373787713,54.410535,39427.31506033287,153.964614,111749.80639724527,1.488943,981.664039287193,157.653794,114429.86422380916
