q_inverse_angstroms,debye,propo{e=0.380}_PsGQuadraplex,propo{e=0.380}_PsGQuadraplex_relDiffDebye,propo{e=0.390}_PsGQuadraplex,propo{e=0.390}_PsGQuadraplex_relDiffDebye,propo{e=0.400}_PsGQuadraplex,propo{e=0.400}_PsGQuadraplex_relDiffDebye,propo{e=0.410}_PsGQuadraplex,propo{e=0.410}_PsGQuadraplex_relDiffDebye,propo{e=0.420}_PsGQuadraplex,propo{e=0.420}_PsGQuadraplex_relDiffDebye,propo{e=0.430}_PsGQuadraplex,propo{e=0.430}_PsGQuadraplex_relDiffDebye,propo{e=0.440}_PsGQuadraplex,propo{e=0.440}_PsGQuadraplex_relDiffDebye,propo{e=0.450}_PsGQuadraplex,propo{e=0.450}_PsGQuadraplex_relDiffDebye,strat{s=0.15}_PsGQuadraplex,strat{s=0.15}_PsGQuadraplex_relDiffDebye,strat{s=0.20}_PsGQuadraplex,strat{s=0.20}_PsGQuadraplex_relDiffDebye,strat{s=0.25}_PsGQuadraplex,strat{s=0.25}_PsGQuadraplex_relDiffDebye,strat{s=0.30}_PsGQuadraplex,strat{s=0.30}_PsGQuadraplex_relDiffDebye,strat{s=0.35}_PsGQuadraplex,strat{s=0.35}_PsGQuadraplex_relDiffDebye,strat{s=0.40}_PsGQuadraplex,strat{s=0.40}_PsGQuadraplex_relDiffDebye,strat{s=0.45}_PsGQuadraplex,strat{s=0.45}_PsGQuadraplex_relDiffDebye,strat{s=0.50}_PsGQuadraplex,strat{s=0.50}_PsGQuadraplex_relDiffDebye
0.2,34.64143,50.33658,45.30745410914041,49.123182,41.80471764589395,47.910764,38.30481016516928,46.850764,35.244890294655846,45.640403,31.75092079051009,44.733434,29.132758087642465,43.676237,26.080929684484737,42.770925,23.467550271452417,215.658484,522.5449815437756,259.739841,649.7953779621685,231.545244,568.4055594702644,242.388026,599.7056010678543,232.593333,571.4310956562706,199.853025,476.9190965846387,208.064143,500.62226934627114,208.877216,502.9693808829486
0.22,23.374626,34.334397,46.88747105515188,33.518569,43.39724194945408,32.703721,39.911205424206585,31.991595,36.86462833672719,31.178803,33.387387674138616,30.570011,30.782888248137112,29.860688,27.74830279637416,29.253553,25.150892253848255,176.102307,653.3909077304595,210.863177,802.102891400273,188.122805,704.8163209114019,196.070447,738.817472416457,184.666636,690.0303346030007,158.310876,577.2766161050021,164.609509,604.2230707776886,167.096654,614.8634335368616
0.24,15.357434,22.835301,48.69216432901487,22.305165,45.24018140009587,21.776009,41.79457974554863,21.313863,38.78531400493078,20.786763,35.35310000355529,20.39224,32.78416172910137,19.932897,29.79314773548759,19.540031,27.234999023925475,143.277549,832.9523994698594,168.486116,997.0980959449346,151.391709,885.7877885068559,156.399133,918.3936522208071,144.228129,839.1421053803649,123.876372,706.621548886357,127.763655,731.9336094818966,131.661287,757.3130576371026
0.26,9.971589,15.008058,50.508188815242995,14.672387,47.141914894406504,14.337697,43.78547892417147,14.045708,40.85726958862825,13.713074,37.52145219783929,13.4644,35.02762699104425,13.175215,32.127537546924565,12.928198,29.650329551288166,116.419888,1067.5159094503394,132.651661,1230.2961142903102,120.858182,1112.0253050943033,123.221439,1135.7252088909804,111.036123,1013.5248654953589,96.083973,863.5773496079713,97.373741,876.5117776113717,102.273748,925.6514583583419
0.28,6.553,9.95306,51.885548603692975,9.74298,48.679688692202035,9.533879,45.488768502975745,9.351782,42.70993438119945,9.144738,39.55040439493362,8.990256,37.19298031435984,8.810962,34.45692049443003,8.658138,32.12479780253318,94.568666,1343.1354494124828,103.026864,1472.2091255913324,95.788023,1361.7430642453837,96.030985,1365.450709598657,84.464166,1188.9388982145583,74.169387,1031.8386540515794,72.945852,1013.1672821608424,78.365878,1095.8778879902334
0.3,4.490705,6.837326,52.25506908158073,6.704655,49.30072226966588,6.572964,46.36819831184635,6.4586,43.82151577536265,6.328966,40.93479754292478,6.232542,38.787606845695706,6.120981,36.30334212556824,6.026214,34.19304986633502,76.765321,1609.426938531923,79.03168,1659.8947158630992,75.37553,1578.47876892381,74.116096,1550.4334174700853,63.667154,1317.7540942903172,57.231703,1174.4480655041916,53.782481,1097.640036475342,59.241054,1219.1927325442218
0.32,3.285573,4.974988,51.41918928600886,4.888587,48.789480556359585,4.803165,46.18956876015234,4.729286,43.940980766520795,4.645921,41.40367601024237,4.584199,39.525099579281914,4.513124,37.361854385825566,4.453059,35.53371055824965,62.18563,1792.6875159979709,59.957303,1724.8659518446252,58.861508,1691.5142351121099,56.68828,1625.3696691566433,47.722834,1352.496535611901,44.356734,1250.045608482904,39.099668,1090.041067418073,44.181217,1244.703557035561
0.34,2.571461,3.856974,49.9915417733343,3.798349,47.711709413442385,3.740704,45.46998768404419,3.691131,43.54217310703913,3.635542,41.380405924880826,3.594652,39.79025931172978,3.547882,37.97144891561644,3.508649,36.44574037871855,50.20063,1852.2221025323734,45.062309,1652.4010280537016,45.596747,1673.1844659514572,42.979008,1571.3847886473875,35.736684,1289.742407137421,34.697619,1249.33483338849,28.114882,993.3427339555218,32.514161,1164.4236486573197
0.36,2.108211,3.142606,49.065060375835245,3.101729,47.12611783165919,3.061833,45.23370763173137,3.027789,43.61887875549459,2.989948,41.823944567218376,2.96237,40.51582123421233,2.931129,39.03394868919668,2.905208,37.804422802081966,40.376682,1815.2106691408026,33.641303,1495.7275149403927,35.059434,1562.9945484583852,32.301353,1432.168886321151,26.907657,1176.32656313813,27.518133,1205.2836267337568,20.104375,853.6225263979745,23.645935,1021.611404171594
0.38,1.758206,2.629062,49.53094233553974,2.600944,47.93169856091949,2.573806,46.38819341988367,2.550926,45.08686695415668,2.525845,43.66035606749152,2.507836,42.636073361141996,2.487759,41.4941707626979,2.471407,40.56413184803147,32.43472,1744.7622178516056,25.066172,1325.6675270133308,26.841502,1426.641474320984,24.079616,1269.5560133454214,20.559444,1069.3421589961583,22.208827,1163.1527249935446,14.434032,720.9522661167123,17.06833,870.7810120088318
0.4,1.45711,2.213036,51.87844431786206,2.195255,50.65815209558647,2.178453,49.50504766283948,2.164617,48.555496839634614,2.149871,47.5434936277975,2.139614,46.83956599021351,2.128582,46.082450878794354,2.119981,45.49217286272143,26.191339,1697.4853648660705,18.803673,1190.4772460555482,20.619977,1315.1283705416886,17.854008,1125.3026881978712,16.145789,1008.0693290142818,18.286303,1154.9706611031427,10.570376,625.4343186169884,12.35243,747.7348999046058
0.42,1.186201,1.854577,56.34593125448384,1.845701,55.59766009301964,1.837805,54.932005621307,1.831762,54.42256413542054,1.825922,53.930236106696924,1.822344,53.628600886359045,1.819104,53.35545999371101,1.817184,53.19359872399364,21.501261,1712.6153156168305,14.415063,1115.2293751227658,16.126214,1259.4841009238737,13.268811,1018.5971854685672,13.239225,1016.1030044655162,15.383411,1196.8637692937368,8.07858,581.0464668298206,9.137049,670.2783086508946
0.44,0.950183,1.548168,62.93366646214466,1.546904,62.80063945576801,1.546621,62.77085571937195,1.547239,62.83589582217321,1.549012,63.02249145690884,1.551143,63.24676404439986,1.554565,63.60690519615695,1.558353,64.0055652437478,18.214107,1816.9051645840852,11.543945,1114.9180736763342,13.120803,1280.8711585031513,10.051751,957.875272447518,11.511223,1111.4743160001808,13.234746,1292.8628485249683,6.6131,595.9817214157695,7.117376,649.0531823869718
0.46,0.76147,1.302243,71.01698031439192,1.30709,71.6535122854479,1.312916,72.41861137011307,1.31888,73.2018332961246,1.326763,74.23706777680013,1.333477,75.11878340578093,1.342244,76.27010913102289,1.350616,77.36956150603439,16.150857,2021.0102827425899,9.898073,1199.863816040028,11.376975,1394.0805284515477,7.990605,949.365700552878,10.709428,1306.4149605368566,11.659179,1431.140951055196,5.904806,675.4482776734474,6.035775,692.6477733856882
0.48,0.630329,1.12615,78.66066768306709,1.135372,80.12371317201017,1.145573,81.74207437703166,1.155365,83.29554883243512,1.167623,85.24024755326187,1.177619,86.82608605981954,1.190214,88.82424892397464,1.201866,90.67280737519614,15.099091,2295.4301642475593,9.229989,1364.312922299307,10.671929,1593.0728238745164,6.910998,996.4112392099998,10.635387,1587.2755338878585,10.54014,1572.1648535923302,5.746928,811.7346655476742,5.674504,800.2447927986813
