q_inverse_angstroms,debye,propo{e=0.380}_PHGDH,propo{e=0.380}_PHGDH_relDiffDebye,propo{e=0.390}_PHGDH,propo{e=0.390}_PHGDH_relDiffDebye,propo{e=0.400}_PHGDH,propo{e=0.400}_PHGDH_relDiffDebye,propo{e=0.410}_PHGDH,propo{e=0.410}_PHGDH_relDiffDebye,propo{e=0.420}_PHGDH,propo{e=0.420}_PHGDH_relDiffDebye,propo{e=0.430}_PHGDH,propo{e=0.430}_PHGDH_relDiffDebye,propo{e=0.440}_PHGDH,propo{e=0.440}_PHGDH_relDiffDebye,propo{e=0.450}_PHGDH,propo{e=0.450}_PHGDH_relDiffDebye,strat{s=0.15}_PHGDH,strat{s=0.15}_PHGDH_relDiffDebye,strat{s=0.20}_PHGDH,strat{s=0.20}_PHGDH_relDiffDebye,strat{s=0.25}_PHGDH,strat{s=0.25}_PHGDH_relDiffDebye,strat{s=0.30}_PHGDH,strat{s=0.30}_PHGDH_relDiffDebye,strat{s=0.35}_PHGDH,strat{s=0.35}_PHGDH_relDiffDebye,strat{s=0.40}_PHGDH,strat{s=0.40}_PHGDH_relDiffDebye,strat{s=0.45}_PHGDH,strat{s=0.45}_PHGDH_relDiffDebye,strat{s=0.50}_PHGDH,strat{s=0.50}_PHGDH_relDiffDebye
0.28,0.361221,0.341839,5.3656902561036075,0.343972,4.7751930258761295,0.34629,4.133480611592357,0.348777,3.4449824345760653,0.351274,2.7537158692324195,0.354024,1.9924090792063607,0.356879,1.202034211742953,0.359995,0.33940440893525153,0.477816,32.278023702940864,0.483731,33.91552539857871,0.359342,0.5201801667123505,0.531595,47.1661392886903,0.394594,9.238942364923409,0.419427,16.113681098275013,0.409871,13.468209212642668,0.334596,7.370833921615855
0.3,0.318214,0.323044,1.517846480670241,0.325658,2.339306253024696,0.328437,3.212617923787131,0.331363,4.132124922222159,0.334258,5.041890048835061,0.337405,6.030847165743812,0.340637,7.04651586668092,0.34413,8.144204843281564,0.410675,29.056232598188647,0.450199,41.4768049174455,0.328856,3.3442903203504515,0.474501,49.113803918118,0.343372,7.906000364534563,0.362084,13.78631989793033,0.379526,19.267536940549434,0.281493,11.53971855418052
0.32,0.259591,0.29861,15.030952536875303,0.301851,16.279454988809306,0.305228,17.580347546717714,0.308725,18.92746666872118,0.312137,20.241841974490633,0.315802,21.653678286227183,0.319523,23.087086994541405,0.323506,24.621423701129853,0.347784,33.97382806029483,0.379732,46.28088030786891,0.307283,18.37197745684556,0.382114,47.198477605155794,0.296194,14.100257713094827,0.307165,18.326521335485438,0.321047,23.674164358548644,0.23593,9.114722775442914
0.34,0.187954,0.269729,43.50798599657362,0.273709,45.625525394511406,0.277794,47.79892952530937,0.281966,50.018621577620046,0.285989,52.15903891377677,0.290265,54.43406365387274,0.294565,56.72185747576535,0.299127,59.1490471072709,0.306641,63.146833799759506,0.30841,64.08802153718463,0.274228,45.90165678836311,0.290629,54.62772806112134,0.243513,29.559892314076848,0.244301,29.979143833065525,0.245067,30.386690360407332,0.200907,6.891579854645282
0.36,0.133513,0.248009,85.75644319279772,0.252546,89.15461415742287,0.257162,92.61195539011183,0.261843,96.11798102057479,0.266325,99.47495749477578,0.271061,103.0221776156629,0.275797,106.56939773655003,0.280793,110.31135544853312,0.292759,119.27377858335892,0.260153,94.8521866784508,0.234439,75.59263891905658,0.222347,66.5358429516227,0.191928,43.75229378412589,0.187359,40.33015511598122,0.175568,31.49880535977771,0.181782,36.15303378697206
0.38,0.12297,0.243844,98.29551923233309,0.248487,102.07123688704564,0.253206,105.90875823371553,0.257984,109.79425876229976,0.262554,113.51061234447428,0.267378,117.43352037082215,0.272197,121.35236236480445,0.277278,125.4842644547451,0.300616,144.46287712450192,0.242964,97.5798975359844,0.221986,80.52045214279904,0.188795,53.52931609335611,0.169626,37.94096121005124,0.161371,31.227941774416518,0.143052,16.330812393266665,0.184858,50.32772220866878
0.4,0.135631,0.248925,83.5310511608703,0.253438,86.85846156114752,0.258033,90.24633011627135,0.262692,93.68138552395837,0.267155,96.97193119567059,0.271871,100.44901239392172,0.276588,103.92683088674417,0.281567,107.59782055724725,0.308706,127.60725792775986,0.245557,81.04784304473166,0.237122,74.82876333581555,0.178923,31.918956580722696,0.175652,29.507266038000164,0.159513,17.608068951788297,0.144769,6.737397792540059,0.194952,43.737051264091534
0.42,0.136412,0.249191,82.67527783479458,0.253697,85.97850628976923,0.258285,89.34184675834969,0.262938,92.75283699381286,0.267395,96.0201448552913,0.272106,99.47365334428056,0.276818,102.92789490660645,0.281791,106.57346860979973,0.306254,124.50664164443013,0.248941,82.49200950063043,0.246561,80.74729495938773,0.171059,25.398791895141176,0.182426,33.73163651291675,0.158468,16.168665513297945,0.150857,10.589244348004563,0.190838,39.89824942087206
0.44,0.121313,0.243001,100.30911773676357,0.247666,104.15454238210249,0.252406,108.06179057479413,0.257203,112.01602466347383,0.261792,115.79880144749532,0.266633,119.78930535062196,0.271469,123.77568768392506,0.276566,127.97721596201559,0.302891,149.67728108281884,0.243507,100.72622060290324,0.23374,92.67514610965024,0.156158,28.723220100071707,0.177281,46.13520397649056,0.151249,24.676662847345288,0.143626,18.392917494415272,0.169533,39.748419377972674
0.46,0.106458,0.236865,122.49619568280448,0.241687,127.02568148941369,0.246577,131.6190422514043,0.251518,136.2603092299311,0.256236,140.69210392830976,0.261207,145.36155103421072,0.266167,150.02066542674106,0.271387,154.92400758984763,0.304778,186.28942869488435,0.232844,118.71911927708581,0.209932,97.19701666384867,0.139761,31.28275939807248,0.167947,57.75892840368974,0.142702,34.04535121832084,0.128448,20.656033365270822,0.142625,33.97302222472713
0.48,0.099865,0.234139,134.455514945176,0.239031,139.35412807289845,0.243988,144.3178290692435,0.248992,149.32859360136186,0.253768,154.1110499173885,0.258797,159.14684824513094,0.263811,164.16762629549896,0.269086,169.44975717218247,0.305202,205.61457968257147,0.224408,124.71136033645422,0.189918,90.17473589345619,0.129289,29.46377609773193,0.160917,61.134531617683884,0.136431,36.61543083162269,0.116963,17.121113503229363,0.122443,22.608521504030442
0.5,0.098352,0.233655,137.5701561737433,0.238559,142.5563282902229,0.243527,147.6075727997397,0.248543,152.70762160403447,0.25333,157.57483325199286,0.258369,162.69826744753541,0.263392,167.80543354481864,0.268677,173.1789897510981,0.298287,203.28513909224014,0.219466,123.14340328615584,0.179141,82.14271189197984,0.126499,28.618635106556052,0.154442,57.02985196030584,0.135591,37.862981942410926,0.114407,16.324019847079878,0.114403,16.319952822515056
