q_inverse_angstroms,debye,propo{e=0.380}_NeonMOF,propo{e=0.380}_NeonMOF_relDiffDebye,propo{e=0.390}_NeonMOF,propo{e=0.390}_NeonMOF_relDiffDebye,propo{e=0.400}_NeonMOF,propo{e=0.400}_NeonMOF_relDiffDebye,propo{e=0.410}_NeonMOF,propo{e=0.410}_NeonMOF_relDiffDebye,propo{e=0.420}_NeonMOF,propo{e=0.420}_NeonMOF_relDiffDebye,propo{e=0.430}_NeonMOF,propo{e=0.430}_NeonMOF_relDiffDebye,propo{e=0.440}_NeonMOF,propo{e=0.440}_NeonMOF_relDiffDebye,propo{e=0.450}_NeonMOF,propo{e=0.450}_NeonMOF_relDiffDebye,strat{s=0.15}_NeonMOF,strat{s=0.15}_NeonMOF_relDiffDebye,strat{s=0.20}_NeonMOF,strat{s=0.20}_NeonMOF_relDiffDebye,strat{s=0.25}_NeonMOF,strat{s=0.25}_NeonMOF_relDiffDebye,strat{s=0.30}_NeonMOF,strat{s=0.30}_NeonMOF_relDiffDebye,strat{s=0.35}_NeonMOF,strat{s=0.35}_NeonMOF_relDiffDebye,strat{s=0.40}_NeonMOF,strat{s=0.40}_NeonMOF_relDiffDebye,strat{s=0.45}_NeonMOF,strat{s=0.45}_NeonMOF_relDiffDebye,strat{s=0.50}_NeonMOF,strat{s=0.50}_NeonMOF_relDiffDebye
0.2,2.372201,1.557928,34.3256326087039,1.545577,34.84628832042479,1.534971,35.29338365509499,1.525536,35.69111555049509,1.517223,36.04154959887463,1.509981,36.346835702370925,1.503751,36.6094610026722,1.49847,36.8320812612422,8.742071,268.52151230018023,8.118841,242.24928663296237,7.860119,231.3428752453945,7.523279,217.14340395270048,7.564314,218.87323207434787,7.851257,230.96929813283106,7.602611,220.48763995968298,7.153132,201.53987794457558
0.22,1.46119,1.157661,20.77272633949041,1.155902,20.8931076725135,1.155004,20.95456443036156,1.154836,20.966061908444487,1.15535,20.93088510050027,1.156493,20.852661187114613,1.158206,20.73542797309042,1.160428,20.583360137969738,5.792023,296.3908184425024,5.591302,282.6540011908102,5.101638,249.14268507175657,4.860826,232.66214523778564,4.912373,236.1898863255292,5.118479,250.29523881220098,5.012,243.00809614081672,4.594574,214.44055872268487
0.24,0.913501,0.916928,0.3751501093047471,0.921538,0.8798019925539173,0.92648,1.4207975689134398,0.931886,2.0125867404633366,0.937708,2.6499149973563223,0.943894,3.327089953924517,0.950385,4.0376529418139695,0.957118,4.77470741685012,4.111939,350.12966597737704,4.091402,347.88150204542745,3.448637,277.5186890873683,3.310033,262.345854027527,3.402663,272.4859633432257,3.417478,274.1077459137976,3.378446,269.8349536563178,3.025335,231.18026143375866
0.26,0.497531,0.732366,47.20007396524035,0.74186,49.10829676944752,0.751278,51.001244143581005,0.760957,52.94665056046759,0.770849,54.93486838006074,0.780901,56.955244999809054,0.791055,58.996122854656285,0.801248,61.04483941704134,2.924796,487.86206286643454,2.934837,489.8802285686721,2.265423,355.33303452448195,2.079329,317.92953604901004,2.205393,343.26745469126547,2.063783,314.8049066289337,2.06028,314.1008298980365,1.786081,258.9888871246214
0.28,0.218487,0.60722,177.92042547153838,0.620025,183.78118606599023,0.632479,189.48129637003578,0.645056,195.23770292969377,0.657707,201.0279787813463,0.670381,206.82878157510518,0.683018,212.61264972286682,0.695557,218.35166394339254,2.093004,857.9535624545167,2.063169,844.2982877699816,1.512912,592.4494363509042,1.205562,451.7774512900082,1.318761,503.58785648574064,1.135235,419.5892661805966,1.130978,417.6408665046433,0.948883,334.29723507577114
0.3,0.111514,0.559176,401.4401779148806,0.573253,414.06370500564947,0.586872,426.27652133364415,0.600561,438.55211004896245,0.614272,450.8474272288682,0.627952,463.1149452086733,0.641543,475.3026525817385,0.654982,487.35405419947267,1.767343,1484.8619904227273,1.7057,1429.5837293972058,1.286317,1053.5026992126545,0.917629,722.88232867622,0.94166,744.4320892443998,0.798843,616.361174381692,0.870911,680.9880373764729,0.66096,492.71481607690515
0.32,0.12063,0.564263,367.76340877062086,0.578206,379.32189339302,0.591701,390.5089944458261,0.605273,401.7599270496559,0.618871,413.03241316422105,0.632445,424.2850037304153,0.645935,435.4679598773108,0.659278,446.5290557904336,1.800071,1392.2249854928293,1.829572,1416.6807593467627,1.416275,1074.0653237171516,1.132164,838.5426510818204,0.987573,718.6794329768715,0.869653,620.9259719804361,1.098437,810.5836027522176,0.729765,504.96145237503106
0.34,0.135896,0.572011,320.9182021545888,0.585749,331.0274033084123,0.599056,340.8194501677754,0.612448,350.6740448578325,0.625876,360.5551303938306,0.639287,370.4237063636899,0.652623,380.237093071172,0.665822,389.9496673927121,1.728541,1171.9587037146055,1.789306,1216.6730440925414,1.47172,982.9752163419085,1.412466,939.3727556366634,1.041971,666.741478777889,0.945861,596.01827868369935,1.175505,765.0033849414259,0.763692,461.9679755106847
0.36,0.143594,0.574336,299.97214368288365,0.588012,309.49621850495146,0.601263,318.7243199576584,0.614601,328.0130089000933,0.627978,337.32885775171667,0.64134,346.63426048442136,0.65463,355.8895218463167,0.667785,365.0507681379445,1.65691,1053.885259829798,1.655084,1052.6136189534382,1.50265,946.4573728707327,1.524525,961.691296293717,0.990933,590.0935972255108,0.95518,565.1949245790214,1.054587,634.4227474685572,0.864738,502.21039876317957
0.38,0.172896,0.585759,238.7926846196558,0.599133,246.52797057190452,0.612107,254.0319035720896,0.62518,261.59309642791044,0.638305,269.18436516749955,0.651428,276.77447714232835,0.664491,284.3298861743476,0.677432,291.81473255598746,1.885389,990.475777345919,1.783736,931.6814732555988,1.704345,885.7631177123822,1.56036,802.4847307051639,1.064151,515.4861882287619,1.023996,492.26124375347024,1.089866,530.359291134555,1.122687,549.3423792337591
