q_inverse_angstroms,debye,propo{e=0.380}_RhccCarborane,propo{e=0.380}_RhccCarborane_relDiffDebye,propo{e=0.390}_RhccCarborane,propo{e=0.390}_RhccCarborane_relDiffDebye,propo{e=0.400}_RhccCarborane,propo{e=0.400}_RhccCarborane_relDiffDebye,propo{e=0.410}_RhccCarborane,propo{e=0.410}_RhccCarborane_relDiffDebye,propo{e=0.420}_RhccCarborane,propo{e=0.420}_RhccCarborane_relDiffDebye,propo{e=0.430}_RhccCarborane,propo{e=0.430}_RhccCarborane_relDiffDebye,propo{e=0.440}_RhccCarborane,propo{e=0.440}_RhccCarborane_relDiffDebye,propo{e=0.450}_RhccCarborane,propo{e=0.450}_RhccCarborane_relDiffDebye,strat{s=0.15}_RhccCarborane,strat{s=0.15}_RhccCarborane_relDiffDebye,strat{s=0.20}_RhccCarborane,strat{s=0.20}_RhccCarborane_relDiffDebye,strat{s=0.25}_RhccCarborane,strat{s=0.25}_RhccCarborane_relDiffDebye,strat{s=0.30}_RhccCarborane,strat{s=0.30}_RhccCarborane_relDiffDebye,strat{s=0.35}_RhccCarborane,strat{s=0.35}_RhccCarborane_relDiffDebye,strat{s=0.40}_RhccCarborane,strat{s=0.40}_RhccCarborane_relDiffDebye,strat{s=0.45}_RhccCarborane,strat{s=0.45}_RhccCarborane_relDiffDebye,strat{s=0.50}_RhccCarborane,strat{s=0.50}_RhccCarborane_relDiffDebye
0.24,0.864355,0.324908,62.410352227961894,0.322915,62.6409287850478,0.321089,62.852184576938875,0.319606,63.02375759959739,0.318277,63.17751386872293,0.317177,63.3047763939585,0.316289,63.40751195978503,0.315594,63.48791873709298,0.101372,88.27194844710796,0.093158,89.22225243100347,0.088324,89.78151338281147,0.083862,90.29773646244888,0.085616,90.0948105813005,0.093169,89.2209798057511,0.090213,89.56296891902055,0.089496,89.64592094683319
0.26,0.438228,0.226909,48.2212455616711,0.227383,48.11308268755077,0.228022,47.96726818003414,0.228746,47.80205737652546,0.229623,47.60193324023111,0.230601,47.37876174046387,0.23166,47.137106711574795,0.232782,46.88107560447986,0.064639,85.2499155690645,0.05759,86.85843898609856,0.055309,87.37894429383792,0.050906,88.38367242622562,0.052246,88.07789552470403,0.0574,86.90179541243371,0.056466,87.1149264766286,0.055237,87.39537409750177
0.28,0.20569,0.17092,16.904078953765385,0.172802,15.989109825465505,0.174851,14.99295055666294,0.176835,14.028392240750653,0.178973,12.988963974913714,0.181137,11.936895327920666,0.183309,10.880937332879581,0.185469,9.830813359910552,0.041144,79.99708298896398,0.034338,83.30594584082843,0.034542,83.20676746560358,0.030055,85.38820555204434,0.031571,84.651174096942,0.034583,83.1868345568574,0.036479,82.26505906947348,0.033792,83.57139384510671
0.3,0.10192,0.143263,40.56416797488227,0.145842,43.09458398744113,0.148587,45.78787284144427,0.151194,48.34576138147567,0.153955,51.05474882260598,0.156705,53.752943485086355,0.159426,56.42268445839876,0.162099,59.04532967032967,0.027163,73.348704866562,0.020138,80.24136577708005,0.021032,79.36420722135009,0.017143,83.17994505494505,0.019098,81.26177394034536,0.020234,80.14717425431711,0.024251,76.20584772370485,0.020364,80.01962323390894
0.32,0.066976,0.131313,96.05978260869568,0.134193,100.35983038700434,0.137238,104.90623506927857,0.140114,109.20031055900621,0.143144,113.72431915910177,0.146148,118.20950788342095,0.149106,122.62601528905877,0.152001,126.94845914954614,0.018962,71.68836598184424,0.011974,82.12195413282369,0.012326,81.59639273769707,0.009591,85.67994505494505,0.011417,82.95359531772576,0.011274,83.16710463449594,0.015215,77.28290731008121,0.011466,82.88043478260869
0.34,0.070951,0.128861,81.61970937689391,0.131802,85.76482361066088,0.134909,90.14390212963876,0.13784,94.27492212935687,0.140925,98.62299333342729,0.143981,102.93019125875604,0.146988,107.16832743724542,0.149928,111.3120322476075,0.014759,79.19831996730137,0.008129,88.54279714168933,0.008594,87.88741525841779,0.006441,90.9219038491353,0.007449,89.50120505701118,0.006933,90.22846753393188,0.009001,87.31377993262956,0.006431,90.93599808318416
0.36,0.099971,0.132865,32.90354202718789,0.135706,35.745366156185284,0.138712,38.752238149063224,0.141553,41.59406227806065,0.144548,44.58993108001321,0.147519,47.56179291994679,0.150446,50.48964199617888,0.153312,53.356473377279414,0.013514,86.48207980314291,0.007294,92.70388412639666,0.009178,90.81933760790629,0.006404,93.59414230126738,0.006543,93.45510197957408,0.006238,93.76019045523203,0.006367,93.63115303437998,0.005017,94.98154464794791
0.38,0.137653,0.13938,1.2546039679483967,0.142056,3.1986226235534208,0.144898,5.263234364670586,0.147593,7.221055843316168,0.150441,9.290026370656648,0.153273,11.347373468068254,0.156072,13.380747241251548,0.158817,15.374891938424891,0.013755,90.00748258301672,0.007648,94.44400049399579,0.011113,91.92680145002288,0.007353,94.65830748330947,0.007047,94.8806055806993,0.006816,95.0484188502975,0.006049,95.60561702251313,0.005481,96.01824878498834
0.4,0.169735,0.144916,14.622205202227006,0.147454,13.126933160514916,0.150156,11.535039915161862,0.152726,10.020914955666184,0.15545,8.416060329336903,0.158165,6.816508086134267,0.160853,5.232862992311546,0.163496,3.6757298141220107,0.014406,91.51265207529384,0.007703,95.46174919727811,0.011678,93.11986331634607,0.007937,95.32388723598551,0.00747,95.59902200488997,0.006852,95.96311897958583,0.00605,96.4356202315374,0.005923,96.51044274899107
0.42,0.192445,0.148688,22.73740549247838,0.15113,21.468471511340912,0.153738,20.113279118709237,0.156223,18.82200109122087,0.158862,17.45070020005716,0.161497,16.081477824833073,0.16411,14.723687287276885,0.166683,13.386681909116893,0.015443,91.9753695861155,0.007383,96.16357920444803,0.01079,94.39320325287744,0.008368,95.6517446543168,0.007663,96.01808308867469,0.006517,96.61357790537556,0.006105,96.82766504715633,0.006034,96.86455870508456
