q_inverse_angstroms,debye,propo{e=0.380}_ArginaseI,propo{e=0.380}_ArginaseI_relDiffDebye,propo{e=0.390}_ArginaseI,propo{e=0.390}_ArginaseI_relDiffDebye,propo{e=0.400}_ArginaseI,propo{e=0.400}_ArginaseI_relDiffDebye,propo{e=0.410}_ArginaseI,propo{e=0.410}_ArginaseI_relDiffDebye,propo{e=0.420}_ArginaseI,propo{e=0.420}_ArginaseI_relDiffDebye,propo{e=0.430}_ArginaseI,propo{e=0.430}_ArginaseI_relDiffDebye,propo{e=0.440}_ArginaseI,propo{e=0.440}_ArginaseI_relDiffDebye,propo{e=0.450}_ArginaseI,propo{e=0.450}_ArginaseI_relDiffDebye,strat{s=0.15}_ArginaseI,strat{s=0.15}_ArginaseI_relDiffDebye,strat{s=0.20}_ArginaseI,strat{s=0.20}_ArginaseI_relDiffDebye,strat{s=0.25}_ArginaseI,strat{s=0.25}_ArginaseI_relDiffDebye,strat{s=0.30}_ArginaseI,strat{s=0.30}_ArginaseI_relDiffDebye,strat{s=0.35}_ArginaseI,strat{s=0.35}_ArginaseI_relDiffDebye,strat{s=0.40}_ArginaseI,strat{s=0.40}_ArginaseI_relDiffDebye,strat{s=0.45}_ArginaseI,strat{s=0.45}_ArginaseI_relDiffDebye,strat{s=0.50}_ArginaseI,strat{s=0.50}_ArginaseI_relDiffDebye
0.2,0.230269,0.147137,36.10212403753871,0.148915,35.32998362784396,0.150681,34.5630545145026,0.1525,33.77310884226709,0.154457,32.923233261967525,0.156357,32.09811133934659,0.158278,31.26386964810721,0.160325,30.374909345157185,0.028696,87.53805332024719,0.022385,90.27876092743705,0.021674,90.58753023637571,0.019372,91.5872305868354,0.019846,91.38138438087627,0.02063,91.0409130191211,0.020713,91.00486821934346,0.019376,91.58549348805093
0.22,0.284683,0.154892,45.591412202344365,0.156467,45.03816525749694,0.158048,44.482810705240574,0.15969,43.906028810993284,0.16147,43.280771946340316,0.16321,42.66956579774697,0.164979,42.048172880010405,0.166874,41.38252020668604,0.029322,89.7001225924976,0.026825,90.57723854251923,0.024089,91.53830752099704,0.014979,94.73835810357485,0.019763,93.05789246284465,0.020661,92.74245388730624,0.022128,92.22714387581978,0.021546,92.4315817944872
0.24,0.377672,0.17163,54.55580503717511,0.172768,54.25448537355165,0.173948,53.942044949056324,0.175207,53.60868690292106,0.176605,53.23852443390032,0.177998,52.869685864983374,0.179439,52.488137855070015,0.181006,52.07322756254105,0.034084,90.97523777245864,0.034633,90.829873541062085,0.029986,92.060306297528,0.018954,94.98135948653858,0.026046,93.1035395793175,0.024725,93.45331398673981,0.027195,92.79930733546568,0.02839,92.48289521065898
0.26,0.377801,0.17217,54.42838954899537,0.173294,54.130878425414444,0.174461,53.82198564852925,0.175708,53.49191770270592,0.177093,53.12532259046429,0.178475,52.759521547057844,0.179906,52.38075071267677,0.181463,51.96862898721813,0.033714,91.07625443024237,0.035982,90.47593839084597,0.030559,91.91135015524046,0.020597,94.54818806726293,0.027737,92.6583042395335,0.024226,93.58762946630634,0.026917,92.87534972114949,0.029799,92.11251426015282
0.28,0.296502,0.157684,46.81857120693959,0.159186,46.311997895461076,0.1607,45.80137739374439,0.162277,45.269509143277276,0.163994,44.69042367336476,0.165676,44.123142508313606,0.16739,43.54506883596063,0.16923,42.92449966610681,0.028128,90.51338608171278,0.030562,89.69248099506918,0.025999,91.23142508313603,0.018209,93.85872607941937,0.023726,91.99803036741741,0.019293,93.49312989457069,0.021579,92.72214015419794,0.02518,91.50764581689162
0.3,0.19551,0.139096,28.854790036315276,0.141084,27.837962252570204,0.143043,26.835967469694637,0.145045,25.811978926909102,0.147186,24.71689427650759,0.149252,23.660170835251392,0.151331,22.596798117743337,0.153535,21.469490051659754,0.020888,89.31614751163623,0.022223,88.63331798884968,0.019809,89.86803744054012,0.014116,92.77990895606362,0.017263,91.17027262032632,0.01329,93.20239373945067,0.014958,92.34924044805892,0.018084,90.75034525088232
0.32,0.122116,0.125187,2.5148219725506817,0.127537,4.439221723607069,0.12983,6.316944544531427,0.13215,8.216777490255158,0.134609,10.230436634020116,0.136962,12.157293065609746,0.139313,14.0825117101772,0.14179,16.110910937141732,0.015094,87.63962134364047,0.014737,87.93196632709882,0.014736,87.93278522060992,0.010756,91.19198139473943,0.011636,90.47135510498214,0.00891,92.70365881620754,0.010086,91.74064004716827,0.01196,90.2060336073897
0.34,0.088665,0.11852,33.67168555799922,0.121045,36.51948344893702,0.123497,39.28494896520612,0.125969,42.07297129645295,0.12858,45.01776349179497,0.131072,47.828342638019514,0.133553,50.62651553600633,0.136161,53.56792420910169,0.011814,86.67568939265774,0.009875,88.86257260474821,0.011545,86.97907855410816,0.008979,89.87311791575029,0.008264,90.67952405120397,0.006827,92.30023120735352,0.007725,91.28743021485367,0.00826,90.68403541419951
0.36,0.083238,0.117127,40.713376102260966,0.119688,43.7900958696749,0.122174,46.776712559167684,0.124678,49.784953987361526,0.127321,52.96018645330255,0.129841,55.98764987145295,0.13235,59.00189817150818,0.134985,62.16751964247097,0.010484,87.40479108099667,0.007528,90.95605372546191,0.009765,88.26857925466734,0.008297,90.03219683317715,0.006838,91.78500204233644,0.006284,92.45056344458061,0.006998,91.59278214277133,0.006648,92.01326317306999
0.38,0.087979,0.117795,33.88990554564157,0.120339,36.78150467725253,0.122808,39.58785619295514,0.125297,42.416940406233294,0.127925,45.40401686766161,0.130432,48.25356050875776,0.132927,51.08946453130859,0.135549,54.06972118346424,0.010018,88.6131917844031,0.006711,92.37204332852158,0.008761,90.04194182702689,0.007889,91.03308744132121,0.00635,92.78236851976041,0.006251,92.89489537275941,0.006701,92.38340967730936,0.006086,93.08244012775776
0.4,0.090429,0.118212,30.723551073217664,0.120745,33.52464364307911,0.123204,36.243904057326745,0.125684,38.986387110329645,0.128302,41.88147607515289,0.1308,44.643864247088885,0.133288,47.3951940196176,0.135901,50.284753784737205,0.009615,89.3673489699101,0.006477,92.83747470391135,0.008184,90.94980592509042,0.007309,91.91741587322652,0.005976,93.39150051421558,0.006119,93.23336540269162,0.006178,93.16812084618871,0.005735,93.65800793993077
0.42,0.086178,0.117514,36.361948525145614,0.120065,39.32210076817749,0.122541,42.19522383903083,0.125037,45.091554689131804,0.127671,48.14801921604121,0.130183,51.06291628954024,0.132684,53.9650490844531,0.135311,57.01339088862585,0.008991,89.56694283923972,0.006296,92.69419109285433,0.007885,90.8503330316322,0.00655,92.39945229640976,0.005414,93.71765415767365,0.005748,93.33008424423866,0.005424,93.70605026804985,0.005253,93.90447678061687
0.44,0.076773,0.115912,50.98016229664076,0.118505,54.357651778620095,0.121019,57.63224050121789,0.123551,60.930274966459564,0.126222,64.40936266656247,0.128768,67.72563270941608,0.1313,71.02366717465777,0.133959,74.48712437966473,0.008216,89.29832102431844,0.006025,92.15218892058405,0.007754,89.90009508551184,0.005773,92.48042931759863,0.004772,93.78427311685098,0.005221,93.19943209201152,0.00474,93.8259544371068,0.004682,93.90150183007046
0.46,0.066141,0.114051,72.43615911461876,0.116692,76.42914379885396,0.119251,80.2981509200042,0.121826,84.19134878517106,0.124539,88.29319181748082,0.127123,92.19999697615701,0.129692,96.08412331231762,0.132387,100.15875175760873,0.007471,88.70443446576253,0.005717,91.3563447785791,0.00767,88.40356208705644,0.005088,92.30734340273052,0.004279,93.5304878970684,0.004669,92.94083851166448,0.004346,93.42918915649899,0.004206,93.64085816664398
0.48,0.057433,0.112462,95.8142531297338,0.115145,100.48578343461077,0.117741,105.00583288353387,0.120352,109.55199972141452,0.123102,114.34018769696866,0.125719,118.89680149043234,0.128319,123.42381557641076,0.131045,128.1702157296328,0.006893,87.99818919436562,0.00545,90.51068201208365,0.007526,86.89603538035624,0.004526,92.11951317186983,0.004065,92.92218759249909,0.004221,92.65056674734038,0.004235,92.62619051764665,0.003954,93.11545627078509
0.5,0.051625,0.111331,115.65326876513318,0.114043,120.90653753026636,0.116667,125.9893462469734,0.119304,131.09733656174333,0.12208,136.4745762711864,0.12472,141.58837772397095,0.127342,146.6673123486683,0.13009,151.9903147699758,0.006544,87.32397094430992,0.005265,89.80145278450364,0.007249,85.95835351089589,0.004104,92.0503631961259,0.004087,92.08329297820823,0.003986,92.27893462469734,0.004242,91.78305084745763,0.003914,92.418401937046
