q_inverse_angstroms,debye,propo{e=0.380}_Selenow,propo{e=0.380}_Selenow_relDiffDebye,propo{e=0.390}_Selenow,propo{e=0.390}_Selenow_relDiffDebye,propo{e=0.400}_Selenow,propo{e=0.400}_Selenow_relDiffDebye,propo{e=0.410}_Selenow,propo{e=0.410}_Selenow_relDiffDebye,propo{e=0.420}_Selenow,propo{e=0.420}_Selenow_relDiffDebye,propo{e=0.430}_Selenow,propo{e=0.430}_Selenow_relDiffDebye,propo{e=0.440}_Selenow,propo{e=0.440}_Selenow_relDiffDebye,propo{e=0.450}_Selenow,propo{e=0.450}_Selenow_relDiffDebye,strat{s=0.15}_Selenow,strat{s=0.15}_Selenow_relDiffDebye,strat{s=0.20}_Selenow,strat{s=0.20}_Selenow_relDiffDebye,strat{s=0.25}_Selenow,strat{s=0.25}_Selenow_relDiffDebye,strat{s=0.30}_Selenow,strat{s=0.30}_Selenow_relDiffDebye,strat{s=0.35}_Selenow,strat{s=0.35}_Selenow_relDiffDebye,strat{s=0.40}_Selenow,strat{s=0.40}_Selenow_relDiffDebye,strat{s=0.45}_Selenow,strat{s=0.45}_Selenow_relDiffDebye,strat{s=0.50}_Selenow,strat{s=0.50}_Selenow_relDiffDebye
0.2,1.387581,0.974371,29.77916244168809,0.963865,30.536307429980663,0.953729,31.26678730827245,0.945116,31.88750782837182,0.936838,32.484085613740746,0.928918,33.054863103487286,0.922366,33.527051754095794,0.916124,33.97689936659553,2.244579,61.762016055278934,1.433691,3.323049249016821,1.718807,23.87075060843295,1.8728,34.96869732289503,1.483438,6.90820932255487,1.587294,14.392889496180766,1.657527,19.45443184938393,1.668458,20.242205680244975
0.22,1.488168,1.024456,31.159922804414553,1.012696,31.950156165164138,1.001306,32.71552674160444,0.991587,33.36861160836679,0.982202,33.99925277253643,0.973176,34.605770316254606,0.965666,35.11041764101902,0.958465,35.594301181049445,2.14281,43.98979147515603,1.644555,10.50869256696825,1.84546,24.008848463345547,1.81887,22.222087828793526,1.424385,4.286008031351294,1.672832,12.4088140586278,1.803272,21.173953478370727,1.601513,7.616411587938998
0.24,1.384872,0.966417,30.21614994021109,0.956111,30.96033424027636,0.946174,31.67787347855976,0.937737,32.287099457567194,0.929634,32.872207684175876,0.92189,33.43139293739783,0.915491,33.89345730146901,0.909401,34.33320913412937,1.998574,44.31470922944503,1.675879,21.013277761410425,1.766803,27.57879428568126,1.65642,19.608165953243322,1.301065,6.051606213426236,1.61026,16.275005921124833,1.747489,26.18415275924417,1.452113,4.85539457798265
0.26,1.0515,0.788476,25.01417023300049,0.782624,25.570708511650032,0.777143,26.09196386115074,0.772637,26.520494531621498,0.768465,26.917261055634818,0.764652,27.279885877318122,0.761659,27.564526866381367,0.758977,27.819591060389925,1.689052,60.632620066571555,1.431199,36.11022349025202,1.447754,37.684640989063226,1.288847,22.572230147408458,1.040356,1.0598193057536893,1.307982,24.392011412268175,1.42656,35.66904422253922,1.120037,6.518021873514012
0.28,0.690317,0.595792,13.692984527398277,0.594765,13.84175675812706,0.594107,13.937075285702063,0.593858,13.973145670757054,0.593943,13.960832487103747,0.594387,13.896514210138236,0.595083,13.795690965165269,0.596089,13.649960815103784,1.328039,92.38103653828604,1.071547,55.22535299000315,1.06163,53.78876661012262,0.872956,26.457265285368898,0.761405,10.29787764172113,0.919036,33.13245943530291,1.01522,47.06576833541693,0.746268,8.105116924543374
0.3,0.451258,0.467049,3.499328543759889,0.469245,3.985968115800724,0.47181,4.554379091340213,0.474405,5.129438148464964,0.477334,5.778512513905568,0.480622,6.507142255649762,0.483783,7.20762845201637,0.487254,7.97681149143063,1.038236,130.07592109170366,0.765381,69.61051106019173,0.756129,67.56024269929843,0.567485,25.756219280323013,0.560928,24.30317024850529,0.600604,33.095479747727474,0.679296,50.53384095129616,0.473367,4.8994145256150565
0.32,0.351503,0.412523,17.359738039220137,0.416084,18.372816163731176,0.420015,19.491156547739283,0.423815,20.57222840203355,0.427948,21.748036289875188,0.432441,23.026261511281557,0.436646,24.22255286583613,0.441161,25.50703692429368,0.857565,143.97089071786016,0.580621,65.18237397689353,0.574446,63.42563221366532,0.423114,20.37279909417558,0.449209,27.796633314651658,0.413888,17.74807042898637,0.477377,35.81022068090457,0.34462,1.9581625192388195
0.34,0.328205,0.4003,21.96645389314604,0.404167,23.144680915890973,0.408404,24.435642357672783,0.412474,25.675720967078497,0.416877,27.017260553617394,0.42164,28.468487683002998,0.426079,29.820996023826556,0.430828,31.2679575265459,0.754201,129.795706951448,0.495704,51.03487149799666,0.485504,47.927057784006934,0.395834,20.605718986608977,0.386697,17.821788211636015,0.336553,2.5435322435672725,0.380337,15.8839749546777,0.318459,2.969485534955297
0.36,0.317748,0.396809,24.881667233153333,0.400763,26.12604957387616,0.405088,27.487191107418468,0.409234,28.791998690786414,0.413715,30.20223573397788,0.418554,31.725140677518038,0.42306,33.14324559084558,0.427876,34.65891209386055,0.681223,114.39096390850614,0.4583,44.23379533466773,0.442779,39.34910683938216,0.412216,29.730478240618368,0.33899,6.685171897226745,0.317075,0.21180306406333926,0.333122,4.8384254188854054,0.328284,3.3158351901506995
0.38,0.294551,0.387382,31.516104172112808,0.391573,32.938947754378695,0.396133,34.487066755841944,0.400488,35.96558830219554,0.405177,37.55750277541071,0.410225,39.271297670013,0.414911,40.862193643885085,0.419907,42.5583345498742,0.614625,108.66505291104085,0.431341,46.440175046087084,0.418146,41.96047543549334,0.42196,43.25532760031369,0.299173,1.569167987886653,0.315377,7.07042243957753,0.299124,1.5525324986165363,0.328925,11.669965472872274
0.4,0.263723,0.373378,41.57961194131722,0.377919,43.301494370987754,0.38283,45.16367552318153,0.387494,46.932197798447625,0.392492,48.8273681097212,0.397849,50.85866610041598,0.402804,52.73753142501793,0.408069,54.73394432795018,0.557012,111.2110054868176,0.404931,53.544059486658355,0.402788,52.73146445323312,0.41198,56.216939743594615,0.27585,4.598385427133773,0.313193,18.758318387095557,0.268987,1.9960337171956906,0.30886,17.115306590627302
0.42,0.236911,0.360315,52.088759069861666,0.365184,54.143961234387596,0.370422,56.354918091604,0.375374,58.44515450949933,0.380661,60.67679423918687,0.386307,63.05996766718304,0.391512,65.25699524293933,0.397026,67.58445154509498,0.520243,119.59427802001596,0.384833,62.43779309529738,0.394387,66.47053112772305,0.391881,65.41274993562982,0.272792,15.145349941539212,0.306144,29.223210403906958,0.247296,4.383502665557942,0.278263,17.454655967852894
0.44,0.218114,0.350538,60.71320502122744,0.355651,63.0573920060152,0.361134,65.57121505267888,0.366303,67.94107668466948,0.371806,70.46406924819132,0.377667,73.15119616347413,0.383059,75.6232979084332,0.388761,78.2375271646937,0.50832,133.05244046691178,0.377493,73.07142136680818,0.389211,78.4438412940022,0.373635,71.30262156486974,0.281795,29.196200152213986,0.294622,35.077069789192805,0.237809,9.02968172606985,0.252034,15.551500591433829
0.46,0.204974,0.343434,67.5500307356055,0.348725,70.13133373013164,0.354386,72.89314742357567,0.359712,75.49152575448593,0.365371,78.25236371442233,0.37139,81.18883370573829,0.376918,83.88576112092265,0.382756,86.733927229795,0.512452,150.00829373481517,0.383158,86.93004966483555,0.383137,86.91980446300508,0.360916,76.07891732609991,0.290341,41.64772117439286,0.280609,36.89980192609795,0.237977,16.10106647672388,0.239465,16.827012206426193
0.48,0.195531,0.33846,73.09787194869354,0.343875,75.86725378584468,0.349661,78.8263753573602,0.355096,81.60598575161995,0.360866,84.55692447744859,0.366994,87.690954375521,0.372617,90.56671320660149,0.378551,93.6015261007206,0.517139,164.47928972899436,0.396877,102.97395297932295,0.375007,91.78902578107817,0.349891,78.944003764109,0.291841,49.255616756422256,0.267626,36.871391237195105,0.24147,23.49448425057918,0.241685,23.60444123949655
0.5,0.190444,0.33608,76.47182373821175,0.341555,79.34668458969566,0.3474,82.41582827497847,0.352888,85.29751528008232,0.35871,88.3545819243452,0.364891,91.60015542626705,0.37056,94.57688349331038,0.376538,97.71586398101279,0.509514,167.5400642708618,0.411948,116.30925626430866,0.366287,92.33317930730291,0.33508,75.9467349982147,0.287899,51.17252315641344,0.259356,36.18491525067735,0.242559,27.36499968494675,0.253206,32.95561949969544
