q_inverse_angstroms,debye,propo{e=0.380}_Lg3Endorepellin,propo{e=0.380}_Lg3Endorepellin_relDiffDebye,propo{e=0.390}_Lg3Endorepellin,propo{e=0.390}_Lg3Endorepellin_relDiffDebye,propo{e=0.400}_Lg3Endorepellin,propo{e=0.400}_Lg3Endorepellin_relDiffDebye,propo{e=0.410}_Lg3Endorepellin,propo{e=0.410}_Lg3Endorepellin_relDiffDebye,propo{e=0.420}_Lg3Endorepellin,propo{e=0.420}_Lg3Endorepellin_relDiffDebye,propo{e=0.430}_Lg3Endorepellin,propo{e=0.430}_Lg3Endorepellin_relDiffDebye,propo{e=0.440}_Lg3Endorepellin,propo{e=0.440}_Lg3Endorepellin_relDiffDebye,propo{e=0.450}_Lg3Endorepellin,propo{e=0.450}_Lg3Endorepellin_relDiffDebye,strat{s=0.15}_Lg3Endorepellin,strat{s=0.15}_Lg3Endorepellin_relDiffDebye,strat{s=0.20}_Lg3Endorepellin,strat{s=0.20}_Lg3Endorepellin_relDiffDebye,strat{s=0.25}_Lg3Endorepellin,strat{s=0.25}_Lg3Endorepellin_relDiffDebye,strat{s=0.30}_Lg3Endorepellin,strat{s=0.30}_Lg3Endorepellin_relDiffDebye,strat{s=0.35}_Lg3Endorepellin,strat{s=0.35}_Lg3Endorepellin_relDiffDebye,strat{s=0.40}_Lg3Endorepellin,strat{s=0.40}_Lg3Endorepellin_relDiffDebye,strat{s=0.45}_Lg3Endorepellin,strat{s=0.45}_Lg3Endorepellin_relDiffDebye,strat{s=0.50}_Lg3Endorepellin,strat{s=0.50}_Lg3Endorepellin_relDiffDebye
0.2,2.603807,2.266687,12.947196163156487,2.225389,14.533258417386556,2.1875270000000002,15.98736004627071,2.153028,17.312304637018038,2.121812,18.51116461396718,2.091014,19.693971173746757,2.060665,20.859533751925543,2.033493,21.90308267855491,4.954486,90.27854215001342,3.947885,51.61972450339059,3.817823,46.62465382418896,5.055722,94.1665415293837,4.673815,79.49928700552691,4.312331,65.6163840100284,3.996876,53.50123876308803,3.545558,36.16823366708823
0.22,1.195677,1.168242,2.2945159938679174,1.156235,3.2987169611860225,1.145574,4.190345720457951,1.136182,4.975842137968705,1.12798,5.661813349257376,1.120198,6.312658017173541,1.112864,6.926034372159037,1.106614,7.448750791392668,2.454583,105.28813383547562,1.8986,58.78870296911288,1.749986,46.359426500635195,2.543865,112.75520061019822,2.326515,94.57721441492978,1.976632,65.31488018921496,1.842649,54.10926194950642,1.471464,23.065342897789286
0.24,1.074672,1.040912,3.1414236157636943,1.032301,3.9426913514076998,1.024792,4.641416171631916,1.018311,5.244483898342946,1.012777,5.759431714979084,1.007662,6.235390891360342,1.002996,6.669569878065127,0.999172,7.025399377670594,1.469364,36.72674081021928,1.28943,19.983585689401046,1.143995,6.450619351765005,1.443953,34.36220539848437,1.358761,26.43494945434514,1.077184,0.23374573823453554,1.020963,4.997710929474295,0.825588,23.17767653758543
0.26,1.303921,1.194933,8.358481840540959,1.182215,9.333847679422302,1.170892,10.202228509242511,1.16089,10.969299520446416,1.152129,11.641196054055433,1.143787,12.280958739064712,1.135894,12.886286822591256,1.129137,13.404493063613518,1.249469,4.17601986623424,1.304872,0.07293386639220659,1.186875,8.976464064924192,1.039285,20.295401331829158,1.050353,19.44657690151474,0.877244,32.72261126249214,0.813213,37.63326152427947,0.82444,36.77224310368497
0.28,1.419309,1.282224,9.658573291651072,1.267178,10.71866661875603,1.253694,11.66870639163141,1.241697,12.513976871843969,1.231107,13.260114605064857,1.220936,13.976730930332995,1.211214,14.661712143021704,1.202794,15.254958574912159,1.302077,8.259794026529812,1.432003,0.8943788843726055,1.362467,4.004906613006741,0.890648,37.24777338831783,0.962602,32.17812329802742,0.909228,35.93868565618903,0.797137,43.8362611665254,0.980341,30.928289752266767
0.3,1.312998,1.214793,7.4794477980926155,1.201546,8.488360225986643,1.189731,9.388209273738422,1.179275,10.184554736564719,1.170098,10.883489540730451,1.16134,11.55051264358362,1.153031,12.183339197774878,1.145895,12.726828220606581,1.371716,4.47205555530167,1.440545,9.714180828912141,1.433125,9.149061917839925,0.797378,39.27043300903733,0.897178,31.66950749353769,0.943335,28.15411752340826,0.794023,39.52595510427282,1.070208,18.491269598278144
0.32,1.065266,1.044407,1.9581024833234102,1.035703,2.7751754022000146,1.028108,3.488142867603023,1.021546,4.10413924784983,1.01594,4.630392784525177,1.010751,5.117501168722187,1.006012,5.5623665826188144,1.002122,5.927533592548723,1.372088,28.80238363000414,1.299062,21.947194409659172,1.358427,27.519980924952076,0.710171,33.33392786402645,0.809104,24.046763906855187,0.910984,14.482955430850136,0.771487,27.577994604164598,1.048774,1.548157924875097
0.34,0.799479,0.857609,7.270985229130458,0.853886,6.805306956155194,0.850916,6.433815022033093,0.848625,6.147253398775941,0.846932,5.935490488180424,0.845657,5.776011627572449,0.844832,5.672819423649648,0.8445,5.631292379161926,1.308591,63.68047190732965,1.074819,34.43992900376369,1.197049,49.72863577404784,0.642763,19.602265975716694,0.719286,10.03065746567453,0.824352,3.1111511371780773,0.751345,6.02067096196398,0.954246,19.358482211540263
0.36,0.598494,0.714224,19.336868874207592,0.714324,19.353577479473476,0.714905,19.450654476068273,0.715891,19.615401323989897,0.717202,19.834451139025628,0.718932,20.123510010125422,0.721111,20.487590518869027,0.72351,20.88842995919759,1.21768,103.45734460161675,0.852987,42.52223079930628,1.02679,71.56228800957072,0.612227,2.294592761163854,0.654485,9.355315174421133,0.717572,19.896272978509398,0.751502,25.56550274522385,0.838849,40.159968186815576
0.38,0.483358,0.630622,30.46685893271654,0.632952,30.948903297348952,0.635603,31.49735806586423,0.638499,32.09649990276359,0.641562,32.73019170056148,0.645044,33.45056872959586,0.648975,34.26383756966885,0.652966,35.08951956934612,1.132171,134.23032203873734,0.691269,43.0138737747177,0.899188,86.02940263738263,0.615521,27.34267354631556,0.621804,28.64253824287588,0.616912,27.63045196314119,0.766816,58.643489918445546,0.735281,52.11934011643543
0.4,0.431672,0.591918,37.12216683037122,0.595281,37.90123056394668,0.59889,38.73728201041533,0.602671,39.61317852443521,0.606545,40.51061917381716,0.610837,41.5048926036435,0.615579,42.60341184973776,0.620307,43.69868789265926,1.068805,147.59655479160102,0.608023,40.85300876591486,0.827779,91.76110565429309,0.632992,46.6372616245668,0.609364,41.16366129839323,0.533986,23.70179210141032,0.77682,79.95607776274578,0.652573,51.17334457643765
0.42,0.407753,0.5732,40.57529926205327,0.577061,41.52219603534494,0.581134,42.52108506865678,0.585343,43.55332762726454,0.589609,44.59954923691551,0.594294,45.748529134059105,0.599428,47.00762471398126,0.604512,48.25445796842698,1.02897,152.35130091010979,0.591554,45.07655369794951,0.798365,95.7962295801625,0.642772,57.63758942300855,0.598748,46.8408570875015,0.470696,15.436551049287198,0.762383,86.97176967428813,0.586647,43.87312907569045
0.44,0.384898,0.555526,44.33070579738007,0.559858,45.45619878513267,0.564369,46.62819760040322,0.568982,47.82669694308621,0.573618,49.03117189489162,0.578673,50.34450685636194,0.584177,51.7744961002655,0.589599,53.18318099860222,1.004281,160.92133500303976,0.616482,60.167628826338394,0.787014,104.47339295085969,0.632579,64.34977578475336,0.576827,49.86489927201491,0.425985,10.674776174466997,0.717365,86.3779494827201,0.531932,38.200770074149496
0.46,0.352972,0.531583,50.60203075598066,0.536554,52.010357762088766,0.541657,53.45608150221548,0.546818,54.91823714062306,0.551956,56.373876681436485,0.557512,57.94793921330871,0.563518,59.649490611153276,0.569396,61.31477850934351,0.98242,178.32802601906099,0.657292,86.21647042824925,0.774854,119.52279500923586,0.602912,70.81014924696576,0.540752,53.199687227315486,0.399241,13.108405199279263,0.649868,84.11318744829617,0.486807,37.9166052831386
0.48,0.314558,0.503132,59.94888065158095,0.508862,61.77048429860312,0.51467,63.61688464448526,0.520481,65.46423870955435,0.526215,67.28711398215908,0.532368,69.24319203453734,0.538969,71.34169215216272,0.545389,73.38265121217708,0.951907,202.61732335531124,0.695337,121.05207942573388,0.75463,139.90170334246784,0.562756,78.90373158527204,0.496096,57.712091251851795,0.389942,23.965055728991157,0.575412,82.92715492850286,0.452596,43.88316304147406
0.5,0.276916,0.475331,71.65169220991203,0.481802,73.98850192838262,0.488298,76.33433965534675,0.494744,78.66212136532378,0.501061,80.94331855147409,0.507796,83.37546403963658,0.51498,85.96975256034321,0.521929,88.47917780121047,0.905857,227.12338759768303,0.720155,160.06261826691127,0.729402,163.4018980485057,0.522618,88.72798971529274,0.451596,63.08050094613529,0.395795,42.92962486819108,0.508082,83.4787444568028,0.429848,55.22685579742594
