q_inverse_angstroms,debye,propo{e=0.380}_TeicoplaninUbiquitin,propo{e=0.380}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.390}_TeicoplaninUbiquitin,propo{e=0.390}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.400}_TeicoplaninUbiquitin,propo{e=0.400}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.410}_TeicoplaninUbiquitin,propo{e=0.410}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.420}_TeicoplaninUbiquitin,propo{e=0.420}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.430}_TeicoplaninUbiquitin,propo{e=0.430}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.440}_TeicoplaninUbiquitin,propo{e=0.440}_TeicoplaninUbiquitin_relDiffDebye,propo{e=0.450}_TeicoplaninUbiquitin,propo{e=0.450}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.15}_TeicoplaninUbiquitin,strat{s=0.15}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.20}_TeicoplaninUbiquitin,strat{s=0.20}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.25}_TeicoplaninUbiquitin,strat{s=0.25}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.30}_TeicoplaninUbiquitin,strat{s=0.30}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.35}_TeicoplaninUbiquitin,strat{s=0.35}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.40}_TeicoplaninUbiquitin,strat{s=0.40}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.45}_TeicoplaninUbiquitin,strat{s=0.45}_TeicoplaninUbiquitin_relDiffDebye,strat{s=0.50}_TeicoplaninUbiquitin,strat{s=0.50}_TeicoplaninUbiquitin_relDiffDebye
0.22,11.691267,11.454958,2.0212437197781927,11.192512,4.266047469448771,10.930747,6.505026358563187,10.698684,8.489952372142383,10.467246,10.469532515167094,10.23648,12.443364778171603,10.035152,14.165402261363116,9.834418,15.882359029179646,12.575419,7.562499427991853,14.748504,26.149749210243854,11.076376,5.259404305795087,12.285344,5.081373986241187,10.978735,6.094566140692874,11.923256,1.9842930625055475,11.719178,0.23873374887426296,10.64754,8.927407097964664
0.24,8.023579,7.953997,0.867218980457469,7.779563,3.041236336054026,7.605812,5.206741280917152,7.451982,7.123965502178015,7.298778,9.033387718872081,7.146246,10.93443462075964,7.013373,12.590466174758175,6.881093,14.239107011970592,9.115456,13.60835357887048,10.979323,36.83822393971569,7.834185,2.3604678161703156,9.094758,13.350388897523171,7.777209,3.0705748644090094,9.332176,16.309392603973873,8.43068,5.0738080848957905,7.484633,6.71702740136291
0.26,5.303166,5.355921,0.994783116349749,5.246803,1.062817946864197,5.138366,3.107577624385124,5.042594,4.913517698672827,4.947447,6.707672360246685,4.852973,8.48913648941028,4.7709,10.036759173670971,4.689421,11.57318100168842,6.516451,22.87850314321671,7.880411,48.59823358348578,5.449232,2.754316949535433,6.536514,23.256824319661128,5.342707,0.7456112065886646,7.213166,36.01622125349272,5.882521,10.924700452522128,5.117772,3.495911687471213
0.28,3.416406,3.550581,3.9273728005395254,3.486848,2.0618743790989815,3.423796,0.21630918573495092,3.368367,1.406126789380411,3.313564,3.0102394153388055,3.259432,4.594711518478775,3.212659,5.963781822183894,3.16648,7.315465433557952,4.632389,35.592461785865034,5.46973,60.101873138028694,3.770965,10.378128360622247,4.555747,33.34911014674486,3.596581,5.273816987793611,5.496545,60.8867622876204,4.015209,17.527278666528503,3.438959,0.6601381685900407
0.3,2.276693,2.454317,7.801842409143448,2.418144,6.213002807141763,2.382652,4.65407501143107,2.351721,3.2954816481624927,2.321414,1.964296459821329,2.29178,0.662671690913105,2.266443,0.45021441186842714,2.241699,1.5370539637974796,3.374881,48.2361038576567,3.790649,66.4980302570439,2.697295,18.474251908360074,3.156063,38.62488266973194,2.487758,9.270683399123206,4.195957,84.30051833953898,2.781723,22.18261311472386,2.376344,4.377006473863633
0.32,1.739241,1.930235,10.981456853880507,1.907237,9.65915591916244,1.88492,8.376009995164551,1.8657,7.27093025060931,1.847105,6.201785721472755,1.829182,5.171278735954364,1.814092,4.303658894885758,1.799596,3.470191882551063,2.64436,52.041033991263994,2.805862,61.32680864814019,2.113206,21.501620534474515,2.300775,32.286152407860655,1.916139,10.170988379413778,3.303362,89.93124012140927,2.081301,19.667199657781744,1.823127,4.823138368978187
0.34,1.598627,1.785348,11.68008547334681,1.765993,10.469359018707923,1.747319,9.301231619383387,1.731337,8.301498723592175,1.715979,7.340799323419403,1.701294,6.422198549129976,1.689037,5.6554781071506905,1.677373,4.925851996744705,2.307111,44.31828062456095,2.370224,48.26623095944206,1.875145,17.29721817534672,1.879967,17.598852014885267,1.72252,7.749962936945268,2.749764,72.00785423991962,1.760494,10.125376338570536,1.626606,1.7501893812627944
0.36,1.640707,1.81841,10.830879614702697,1.798224,9.600556345526662,1.778718,8.411678623910309,1.761997,7.392544799284706,1.745901,6.411504308813214,1.730477,5.471421771224243,1.717574,4.684992506279306,1.705263,3.93464524744516,2.212258,34.83565316659221,2.272372,38.49956146953721,1.830683,11.578910798820274,1.735333,5.767391740268073,1.726791,5.246762523716913,2.422673,47.660307416254106,1.655,0.8711488401036938,1.620355,1.2404408587273612
0.38,1.701566,1.874533,10.16516550048603,1.852935,8.895864162777118,1.832019,7.666643550705654,1.814044,6.610263721771596,1.796693,5.5905559937140366,1.780015,4.61040006676203,1.766015,3.7876285727382886,1.752607,2.9996485590332735,2.224616,30.739330710651263,2.305602,35.49882872600887,1.849829,8.713326429888706,1.710567,0.5289833012648371,1.778095,4.497562833295921,2.208137,29.770869892792867,1.634072,3.96658137268845,1.666302,2.0724438546609396
0.4,1.697664,1.873353,10.348867620447862,1.851785,9.078415988087157,1.830899,7.848137205006409,1.81295,6.790860853502225,1.795626,5.77039979642614,1.778974,4.7895225439191735,1.764996,3.9661558470934146,1.751612,3.1777784060921292,2.249456,32.503015908919544,2.325721,36.99536539621504,1.84746,8.823654150644652,1.693766,0.22960962828922316,1.786504,5.233073211189024,2.025592,19.3164253939531,1.621636,4.478389127648344,1.679973,1.0420789979642688
0.42,1.617898,1.802051,11.382237940834342,1.782275,10.159911193412686,1.763181,8.979737906839619,1.746826,7.968858358190685,1.731095,6.996547371960407,1.716037,6.065833569236131,1.703453,5.288034227126805,1.691463,4.546949189627521,2.237913,38.322255173070225,2.271752,40.41379617256466,1.788027,10.515434223912754,1.633337,0.9542628768933504,1.724971,6.618031544633837,1.839426,13.692334127367728,1.5902,1.711974426076304,1.630499,0.7788500882008546
0.44,1.491318,1.68583,13.042959315182948,1.668976,11.91281805758397,1.652804,10.828408159762038,1.639045,9.905801445432843,1.625912,9.025171023215712,1.613451,8.189601412978321,1.60314,7.498199579164208,1.593422,6.846561229731014,2.176221,45.92601980261756,2.149852,44.15785231587094,1.674903,12.310251737054077,1.527717,2.440726927456121,1.608808,7.878266070683791,1.648995,10.57299650376379,1.539803,3.251150995294103,1.523378,2.1497762382000336
0.46,1.352736,1.55629,15.047577650036667,1.542693,14.04242956497056,1.529777,13.087623897050127,1.518914,12.284584723109324,1.508675,11.52767428382183,1.499108,10.820440943391777,1.49133,10.245458093818756,1.484145,9.714312327017254,2.069636,52.99629787334707,1.998047,47.70413443569181,1.532546,13.292320157074258,1.401428,3.5995197880443754,1.468582,8.563829158091462,1.46912,8.6036004068791,1.477811,9.2460761005843,1.379973,2.0134749130650738
0.48,1.22244,1.432585,17.19061876247505,1.422098,16.33274434737084,1.412292,15.530578187886535,1.404193,14.86805078367855,1.396719,14.256650633159914,1.389916,13.700140702202148,1.384557,13.261755178168261,1.379791,12.871879192434804,1.930732,57.94083963221098,1.853008,51.582736167010246,1.389582,13.672818297830581,1.281961,4.869032426949374,1.329939,8.793805830961029,1.313364,7.437911063119664,1.408641,15.231913222734864,1.223642,0.09832793429533764
0.5,1.103647,1.318703,19.485940703866355,1.311079,18.795140112735325,1.304136,18.166044034007243,1.298581,17.662712805815623,1.293652,17.216102612520125,1.289395,16.830381453490112,1.286262,16.54650445296367,1.283722,16.316358400829248,1.775132,60.84237079428475,1.732331,56.96422859845585,1.267654,14.860458099374165,1.186329,7.491707040385188,1.205709,9.247703296434446,1.18629,7.488173301789433,1.333209,20.800310244126972,1.074256,2.6630797709774905
