q_inverse_angstroms,debye,propo{e=0.380}_GPx,propo{e=0.380}_GPx_relDiffDebye,propo{e=0.390}_GPx,propo{e=0.390}_GPx_relDiffDebye,propo{e=0.400}_GPx,propo{e=0.400}_GPx_relDiffDebye,propo{e=0.410}_GPx,propo{e=0.410}_GPx_relDiffDebye,propo{e=0.420}_GPx,propo{e=0.420}_GPx_relDiffDebye,propo{e=0.430}_GPx,propo{e=0.430}_GPx_relDiffDebye,propo{e=0.440}_GPx,propo{e=0.440}_GPx_relDiffDebye,propo{e=0.450}_GPx,propo{e=0.450}_GPx_relDiffDebye,strat{s=0.15}_GPx,strat{s=0.15}_GPx_relDiffDebye,strat{s=0.20}_GPx,strat{s=0.20}_GPx_relDiffDebye,strat{s=0.25}_GPx,strat{s=0.25}_GPx_relDiffDebye,strat{s=0.30}_GPx,strat{s=0.30}_GPx_relDiffDebye,strat{s=0.35}_GPx,strat{s=0.35}_GPx_relDiffDebye,strat{s=0.40}_GPx,strat{s=0.40}_GPx_relDiffDebye,strat{s=0.45}_GPx,strat{s=0.45}_GPx_relDiffDebye,strat{s=0.50}_GPx,strat{s=0.50}_GPx_relDiffDebye
0.32,0.461718,0.455005,1.453917759324961,0.456747,1.076631190466909,0.458632,0.6683733361055955,0.460851,0.187776954764598,0.463268,0.3357027449655408,0.465844,0.8936190488566534,0.46854,1.477525242680596,0.471537,2.126622743752673,0.41659,9.77393127406772,0.577767,25.134172806778167,0.629799,36.403389081647234,0.510181,10.496233631783898,0.516528,11.870882226813762,0.492674,6.704525273002132,0.434069,5.988287222936951,0.472616,2.3603151707319103
0.34,0.363669,0.407446,12.037594625882313,0.410443,12.861695662814258,0.413451,13.68882142827681,0.416793,14.607788950941652,0.420266,15.56277824065289,0.423834,16.54389018585581,0.427454,17.53930084774891,0.431376,18.61775405657341,0.369773,1.6784493591700138,0.532497,46.423533487869456,0.541843,48.993452837607805,0.497036,36.67263363113159,0.484714,33.28438772620156,0.420313,15.575702080738246,0.39652,9.033214269019345,0.401321,10.353370784972038
0.36,0.277944,0.36531,31.43295052240739,0.369418,32.91094608985983,0.373421,34.35116426330483,0.377758,35.91155052816393,0.382168,37.49820107647583,0.386613,39.09744408945685,0.391053,40.69488817891372,0.395794,42.40062746452521,0.353717,27.261966439282727,0.49335,77.49978412917709,0.46227,66.31767550297901,0.468202,68.45191837204615,0.439509,58.12861583628355,0.360778,29.802406240105906,0.346794,24.771176927726437,0.342338,23.16797628299224
0.38,0.232189,0.342385,47.45961264314846,0.347098,49.48942456360982,0.351643,51.446881635219576,0.356521,53.54775635366015,0.36144,55.66628910068951,0.366363,57.78654458221535,0.371249,59.89086476964886,0.376435,62.124390044317344,0.372549,60.4507534810004,0.46641,100.87514912420484,0.419201,80.54300591328615,0.434245,87.02221035449568,0.397073,71.01283867883491,0.329205,41.783202477292214,0.305079,31.392529361856063,0.309617,33.34697164809701
0.4,0.220387,0.336202,52.550740288674014,0.341078,54.76321198618793,0.345769,56.89174043841061,0.350793,59.17136673215754,0.35585,61.46596668587531,0.360901,63.757844155962026,0.365907,66.02930299881571,0.371214,68.43733977049462,0.415272,88.42853707342083,0.447029,102.83818918538752,0.414136,87.91308017260546,0.407933,85.09848584535385,0.364346,65.32100350746641,0.32111,45.7027864619964,0.277587,25.954343949506992,0.301314,36.720405468562134
0.42,0.21863,0.335205,53.32067877235511,0.340108,55.563280428120585,0.344822,57.71943466129993,0.34987,60.02835841375842,0.354949,62.35146137309611,0.360021,64.67136257604172,0.365046,66.96976627178339,0.370372,69.40584549238439,0.456602,108.84691030508166,0.42617,94.92750308740796,0.41902,91.6571376297855,0.386287,76.68526734665873,0.33828,54.727164616017944,0.31707,45.02584274802179,0.254776,16.532955221149894,0.301751,38.01902758084435
0.44,0.213138,0.332509,56.00643714400999,0.337483,58.340136437425514,0.342261,60.58187653069842,0.347372,62.97985342829529,0.352511,65.39096735448396,0.35764,67.79738948474699,0.362717,70.17941427619665,0.368095,72.70266212500822,0.476739,123.67620977957945,0.401386,88.32211994107105,0.40719,91.04523829631506,0.358365,68.13754468935619,0.317966,49.183158329345325,0.300865,41.15971811690079,0.232024,8.860925785172055,0.299091,40.32739351969147
0.46,0.204567,0.328313,60.4916726549248,0.333397,62.97692198643965,0.338274,65.36098197656514,0.343485,67.90831365762806,0.348717,70.46591092404934,0.353933,73.01568679210234,0.359092,75.53759892846843,0.364552,78.2066511216374,0.47614,132.75503869148005,0.376055,83.82974771101888,0.374729,83.18154932124926,0.321251,57.0395029501337,0.306016,49.5920651913554,0.27134,32.641139577742265,0.216048,5.612342166625111,0.291427,42.460416391695624
0.48,0.195013,0.32366,65.96842261797933,0.328867,68.63850102300873,0.333854,71.19576643608376,0.339174,73.92378969607154,0.34451,76.66001753729238,0.349823,79.38445129299073,0.355072,82.07606672375688,0.360623,84.9225436252968,0.468323,140.14963105023767,0.353334,81.18484408731726,0.335512,72.04596616635813,0.28302,45.12878628604247,0.300325,54.00255367590879,0.239534,22.82976006727757,0.212468,8.950685338926121,0.278882,43.00687646464596
0.5,0.182212,0.317506,74.25087260992689,0.322875,77.19744034421443,0.328007,80.01393980637937,0.333473,83.01374223432046,0.338945,86.01683752991019,0.344386,89.00291967598183,0.349756,91.95003622154412,0.355426,95.06179614954009,0.461197,153.11011349417163,0.335505,84.12892674467103,0.305406,67.61025618510305,0.254041,39.42056505608851,0.293139,60.87798827739115,0.218219,19.76104757096129,0.217455,19.341755757030267,0.259479,42.40500076833578
