q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.15}_BacteriorhodopsinArEnv,strat{s=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.20}_BacteriorhodopsinArEnv,strat{s=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.25}_BacteriorhodopsinArEnv,strat{s=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.30}_BacteriorhodopsinArEnv,strat{s=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.35}_BacteriorhodopsinArEnv,strat{s=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.40}_BacteriorhodopsinArEnv,strat{s=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.45}_BacteriorhodopsinArEnv,strat{s=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.50}_BacteriorhodopsinArEnv,strat{s=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0.2,3.279961,2.009371,38.73796060379987,1.974261,39.80840016085557,1.943941,40.73280139611416,1.914027,41.644824435412495,1.884548,42.54358512189627,1.857594,43.36536318572081,1.833098,44.112201334101236,1.808999,44.846935680027904,3.279723,0.007256183838770048,2.832163,13.652540380815505,2.703805,17.565940570634837,3.157752,3.7259284485394866,2.515449,23.308569827507103,2.584796,21.194306883526977,2.833375,13.615588721939071,3.141727,4.214501330960953
0.22,2.027486,1.362311,32.807871423033255,1.344173,33.70247686050607,1.328704,34.46544143831326,1.31364,35.208430539101144,1.299011,35.929964497905296,1.285847,36.579241484281525,1.274081,37.159566083316975,1.26271,37.72040842698791,2.271174,12.019219861444157,2.028756,0.06263915015935412,1.837137,9.38842487691654,2.304559,13.665840355987646,1.648808,18.677218979563857,1.656191,18.313073431826414,1.869697,7.782495168893899,2.025345,0.10559875629227271
0.24,1.297135,0.973148,24.97712265878262,0.965217,25.588547067190383,0.95868,26.092503864285522,0.952548,26.565238005296287,0.946851,27.004436700883094,0.94198,27.379956596653386,0.937869,27.69688582915425,0.934155,27.98320914939463,1.592309,22.755842684069126,1.572178,21.203883944230952,1.291239,0.4545401982060388,1.685509,29.94090823237365,1.112175,14.259117208309084,1.169095,9.870984901340258,1.303762,0.510895165113898,1.34012,3.3138416587325183
0.26,0.879642,0.742869,15.548711862325812,0.740979,15.763571998608523,0.739727,15.905902628569352,0.738879,16.002305483367106,0.738467,16.0491427194245,0.738504,16.044936462788268,0.738924,15.997189765836556,0.739739,15.904538437227872,1.102732,25.361453864185656,1.207935,37.32120567230759,0.889241,1.0912393905702449,1.208444,37.37907012170861,0.75508,14.160533489760613,0.874145,0.6249133170085199,0.905554,2.9457438366971944,0.888594,1.0176867407422518
0.28,0.681558,0.629529,7.633833070699778,0.630611,7.4750791568729245,0.63196,7.277150293885485,0.633714,7.019798755204985,0.635904,6.698476138494446,0.638356,6.338712185903468,0.641005,5.950043870074146,0.64405,5.503273382456077,0.804485,18.036175938071302,0.912643,33.90540496920291,0.632603,7.182807626056766,0.894366,31.223754984902243,0.564057,17.240058806440533,0.697966,2.4074253401764745,0.637918,6.402976709245584,0.618053,9.31762227132541
0.3,0.608019,0.586976,3.4609115833551125,0.589174,3.0994097223935437,0.5915,2.716855887727185,0.594231,2.2676922925105996,0.597397,1.7469848804067014,0.600756,1.1945350392010807,0.604242,0.6211976928352618,0.608124,0.017269197179696973,0.685101,12.677564352429775,0.721004,18.58247850807294,0.529805,12.863742744881328,0.736281,21.095064463446043,0.517121,14.949861764188277,0.611727,0.609849363260037,0.50069,17.65224441999346,0.49159,19.148908175566877
0.32,0.56771,0.567467,0.04280354406298871,0.570177,0.4345528526888722,0.572951,0.923182610840031,0.576129,1.4829754628243212,0.579743,2.119568089341382,0.583518,2.784520265628566,0.587388,3.466206337742857,0.591654,4.2176463335153445,0.681016,19.958429479840042,0.638758,12.514840323404556,0.53806,5.222736960772236,0.678217,19.465396064892268,0.552522,2.675309577072817,0.581427,2.416198411160624,0.466288,17.86510718500644,0.454309,19.975163375667158
0.34,0.510772,0.542528,6.217255448615039,0.545892,6.875866335664453,0.549238,7.530953145434753,0.552989,8.265331693984782,0.557175,9.084875443446386,0.561481,9.927913041435318,0.565842,10.781718653332593,0.570598,11.712858183299014,0.71413,39.81385040683515,0.63244,23.82041302185711,0.585671,14.663881340402382,0.65319,27.882890996374126,0.600964,17.65797655313918,0.570083,11.612030416702561,0.484056,5.230513810467296,0.451535,11.597542543444037
0.36,0.437082,0.50911,16.479287639390304,0.513351,17.449586118851833,0.517464,18.39059947561327,0.521981,19.424044000896856,0.526935,20.557469765398714,0.531953,21.705538091250606,0.536971,22.853606417102498,0.542385,24.092275591307803,0.734595,68.06800554587011,0.655219,49.90756883147784,0.61488,40.67840817054922,0.618443,41.493587015708705,0.620304,41.91936524496546,0.552105,26.316114596345745,0.507458,16.10132652454229,0.44963,2.8708571846930204
0.38,0.370309,0.477628,28.98093214045567,0.482694,30.34897882579144,0.48753,31.65491521945187,0.49277,33.06994969066374,0.498446,34.60272367131233,0.504135,36.13900823366431,0.509773,37.66152051394917,0.515806,39.290700469067716,0.732022,97.6786953598211,0.672356,81.5662055202547,0.603969,63.0986554472076,0.563306,52.117825923755554,0.603331,62.92636689899515,0.518653,40.059517862109765,0.511433,38.10979479299721,0.437922,18.25853543932229
0.4,0.326879,0.456285,39.58834920566939,0.461911,41.30947537162071,0.467236,42.93851853438123,0.472966,44.69146075459116,0.479132,46.57778566380833,0.485276,48.45738025385541,0.491333,50.31035949082078,0.497786,52.28448447284777,0.717521,119.50660642011263,0.6704,105.0911805285748,0.561593,71.80455153130059,0.497391,52.163644651384786,0.563512,72.39161891709166,0.473055,44.71868795487016,0.491817,50.458426512562774,0.4176,27.7536947922626
0.42,0.303928,0.444304,46.18725487615488,0.450244,48.14166513121529,0.455845,49.98453581111317,0.46185,51.96033271037878,0.46829,54.079255613171554,0.47469,56.185017504145726,0.480983,58.25557368850518,0.487672,60.45642388986866,0.700188,130.37956358084813,0.652127,114.56627885551845,0.508138,67.19025558684952,0.435567,43.312560869679665,0.516976,70.09818114816669,0.423364,39.297465189123756,0.454996,49.70519333526363,0.391504,28.81471927561793
0.44,0.287263,0.435226,51.507851689914816,0.441404,53.6584941325545,0.447213,55.68068285856517,0.453426,57.843509258066646,0.460075,60.15811294876124,0.466668,62.45322230847692,0.47314,64.70620998875596,0.480007,67.09670232504709,0.677316,135.78254073793005,0.626395,118.05627595617956,0.460496,60.304668544156414,0.388511,35.245750409903124,0.472865,64.61047889912727,0.377016,31.244190863424816,0.408426,42.17842186428465,0.361241,25.752707449271224
0.46,0.265139,0.423482,59.72075024798313,0.429968,62.16701428307416,0.436047,64.45977392990092,0.44253,66.90490648301454,0.449448,69.51410392284801,0.456292,72.09539147390612,0.462994,74.62312221136838,0.470092,77.30020856984449,0.640599,141.60874107543592,0.600403,126.4483912212085,0.426575,60.887308166659736,0.359094,35.43612972818032,0.432708,63.20043448907929,0.338386,27.625886798999773,0.357034,34.65917877038082,0.328772,23.99986422216271
0.48,0.23523,0.40793,73.41750627045872,0.414824,76.34825489946012,0.421259,79.08387535603451,0.428099,81.99166772945628,0.435374,85.0843854950474,0.442549,88.13459167623179,0.449558,91.11422862730095,0.456962,94.26178633677677,0.5877,149.8405815584747,0.576981,145.28376482591506,0.406743,72.91289376355058,0.342779,45.720783913616465,0.393928,67.46503422182545,0.308427,31.117204438209416,0.304439,29.421842452068198,0.297314,26.392892063087203
0.5,0.202587,0.391021,93.01386564784514,0.398359,96.6360131696506,0.405182,100.0039489207106,0.41241,103.5717987827452,0.420073,107.35437120841911,0.427609,111.07425451781212,0.43495,114.69788288488402,0.442687,118.51698282713107,0.527577,160.4199677175732,0.555658,174.2811730268971,0.39714,96.03429637637164,0.331378,63.57318090499392,0.353677,74.58030377072569,0.285815,41.08259661281326,0.25527300000000003,26.006604569888513,0.270047,33.29927389220433
