q_inverse_angstroms,debye,propo{e=0.380}_Elf2Nucleosome,propo{e=0.380}_Elf2Nucleosome_relDiffDebye,propo{e=0.390}_Elf2Nucleosome,propo{e=0.390}_Elf2Nucleosome_relDiffDebye,propo{e=0.400}_Elf2Nucleosome,propo{e=0.400}_Elf2Nucleosome_relDiffDebye,propo{e=0.410}_Elf2Nucleosome,propo{e=0.410}_Elf2Nucleosome_relDiffDebye,propo{e=0.420}_Elf2Nucleosome,propo{e=0.420}_Elf2Nucleosome_relDiffDebye,propo{e=0.430}_Elf2Nucleosome,propo{e=0.430}_Elf2Nucleosome_relDiffDebye,propo{e=0.440}_Elf2Nucleosome,propo{e=0.440}_Elf2Nucleosome_relDiffDebye,propo{e=0.450}_Elf2Nucleosome,propo{e=0.450}_Elf2Nucleosome_relDiffDebye,strat{s=0.15}_Elf2Nucleosome,strat{s=0.15}_Elf2Nucleosome_relDiffDebye,strat{s=0.20}_Elf2Nucleosome,strat{s=0.20}_Elf2Nucleosome_relDiffDebye,strat{s=0.25}_Elf2Nucleosome,strat{s=0.25}_Elf2Nucleosome_relDiffDebye,strat{s=0.30}_Elf2Nucleosome,strat{s=0.30}_Elf2Nucleosome_relDiffDebye,strat{s=0.35}_Elf2Nucleosome,strat{s=0.35}_Elf2Nucleosome_relDiffDebye,strat{s=0.40}_Elf2Nucleosome,strat{s=0.40}_Elf2Nucleosome_relDiffDebye,strat{s=0.45}_Elf2Nucleosome,strat{s=0.45}_Elf2Nucleosome_relDiffDebye,strat{s=0.50}_Elf2Nucleosome,strat{s=0.50}_Elf2Nucleosome_relDiffDebye
0.2,0.6587,0.306302,53.4990132078336,0.30549,53.62228632154243,0.304885,53.71413390010626,0.304503,53.772126916654,0.304302,53.80264156672233,0.304277,53.80643692120843,0.304414,53.785638378624554,0.304707,53.741156824047366,0.658013,0.10429634127827436,0.746591,13.343100045544261,0.658073,0.09518749051160365,0.637014,3.2922422954303907,0.670936,1.857598299681194,0.672929,2.1601639593138073,0.660307,0.2439653863670905,0.673167,2.196295734021559
0.22,0.481985,0.25946,46.1684492255983,0.259849,46.08774131975061,0.260412,45.97093270537465,0.2611,45.82818967395251,0.261938,45.654325342074955,0.262885,45.457846198533154,0.263963,45.23418778592695,0.265164,44.98500990694731,0.505715,4.923389732045609,0.526943,9.327676172495005,0.484138,0.446694399203298,0.468197,2.8606699378611418,0.486941,1.0282477670466956,0.500738,3.8907849829351573,0.471483,2.1789059825513264,0.47537,1.372449350083505
0.24,0.33861,0.221377,34.62183633088215,0.222741,34.21901302383274,0.224254,33.77218629101326,0.225812,33.31206993296122,0.227494,32.81533327426834,0.229233,32.30176309028086,0.231075,31.757774430761053,0.233014,31.18513924573994,0.380138,12.26425681462448,0.352538,4.113286671982515,0.332069,1.9317208588051205,0.337474,0.33548920587106873,0.327286,3.344260358524556,0.334505,1.2123091462154174,0.303889,10.25397950444464,0.304792,9.987301024777771
0.26,0.204912,0.186083,9.188822518934963,0.188352,8.08151791988757,0.190744,6.914187553681588,0.19311,5.759545561021319,0.195573,4.5575661747481915,0.198045,3.3511946591707718,0.200596,2.1062700085890596,0.20322,0.8257203092059024,0.252676,23.309518232216757,0.220114,7.418794409307407,0.209637,2.305867884750517,0.218228,6.498399312875767,0.195662,4.514132896072464,0.195129,4.774244553759669,0.180733,11.799699383149843,0.179762,12.273561333645665
0.28,0.16639,0.17591,5.721497686159024,0.17844,7.242021756115137,0.181085,8.83166055652382,0.183683,10.393052467095378,0.186372,12.009135164372859,0.189056,13.622212873369788,0.191811,15.277961415950475,0.194632,16.973375803834358,0.227084,36.476951739888214,0.187851,12.898010697758266,0.185337,11.387102590299893,0.173886,4.505078430194123,0.161418,2.988160346174652,0.152452,8.376705330849212,0.155048,6.8165154155898895,0.153627,7.670533084920966
0.3,0.176767,0.179193,1.3724281115819037,0.181638,2.7556048357442204,0.184202,4.206101817646958,0.186725,5.633404425034081,0.189341,7.113318662420022,0.191957,8.59323289980595,0.194646,10.11444443815871,0.197404,11.674690411671856,0.244404,38.263363636877926,0.220026,24.47232797976997,0.200614,13.490640221308265,0.187385,6.006777283090163,0.181408,2.625490051876202,0.161873,8.425780830132332,0.179338,1.4544569970639258,0.172241,2.560432659942185
0.32,0.135648,0.168564,24.265746638358106,0.171282,26.269462137296536,0.174111,28.355007077140836,0.176877,30.394108280254788,0.179728,32.4958716678462,0.182565,34.58731422505309,0.185468,36.7274121255013,0.188431,38.91174215616891,0.196446,44.82041755130929,0.199928,47.387355508374625,0.163794,20.749292285916493,0.156837,15.620576786978072,0.155125,14.35848667138478,0.13439,0.9274003302665587,0.152475,12.404900920028314,0.143006,5.424333569238031
0.34,0.091403,0.156316,71.01845672461518,0.159347,74.33454044177981,0.162482,77.76440598229817,0.165527,81.09580648337584,0.16865,84.51254335196874,0.171741,87.89427042876056,0.17489,91.33945275319189,0.178091,94.84152598930014,0.147601,61.483758738772266,0.149775,63.86223646926249,0.120064,31.356738837893733,0.115073,25.896305372908984,0.11362,24.306642013938273,0.107611,17.732459547279632,0.109351,19.636116976466862,0.101361,10.894609586118627
0.36,0.083031,0.153729,85.14651154388122,0.156827,88.87764810733341,0.160026,92.73042598547532,0.163131,96.46999313509413,0.166311,100.29988799364094,0.169455,104.08642555190231,0.172656,107.94161216894898,0.175907,111.85701725861428,0.13742,65.50445014512651,0.130634,57.33159904132192,0.109444,31.811010345533607,0.102929,23.96454336332215,0.103959,25.205043899266542,0.107472,29.435993785453636,0.096468,16.18311233153883,0.0897,8.031939877876948
0.38,0.07894,0.152591,93.29997466430203,0.155719,97.26247783126426,0.158946,101.35039270331899,0.162077,105.31669622498102,0.165282,109.37674182923742,0.16845,113.3899163921966,0.171674,117.47403090955156,0.174947,121.6202178870028,0.130067,64.76691157841398,0.125121,58.50139346338994,0.109503,38.71674689637701,0.094206,19.338738282239678,0.1038,31.492272612110472,0.099603,26.175576387129468,0.088012,11.492272612110478,0.084755,7.36635419305802
0.4,0.064909,0.14859,128.92048868415785,0.15182,133.89668612981254,0.155146,139.02078294227306,0.158369,143.98619605909815,0.161663,149.06099308262338,0.164914,154.06954351476685,0.168218,159.15974672233438,0.171569,164.32235899490058,0.117862,81.58036635905653,0.107629,65.81521822859698,0.097126,49.634103128995996,0.08131,25.26768244773452,0.091746,41.34557611425226,0.078385,20.761373615369212,0.071203,9.696652236207628,0.07121,9.70743656503721
0.42,0.053525,0.145291,171.44511910322277,0.148605,177.63661840261557,0.152014,184.0056048575432,0.155312,190.16721158337225,0.158679,196.45773003269497,0.161999,202.66043904717418,0.165369,208.95656235404013,0.168784,215.33675852405418,0.111933,109.12283979448856,0.089858,67.88042970574496,0.082059000000000007,53.309668379262035,0.073738,37.76366184026155,0.076052,42.08687529191965,0.067635,26.361513311536662,0.057679,7.760859411489954,0.057781,7.95142456795889
0.44,0.053103,0.145209,173.44782780633864,0.148525,179.69229610379827,0.151936,186.1156620153287,0.155236,192.33000018831333,0.158605,198.67427452309664,0.161927,204.93004161723442,0.165298,211.27808221757718,0.168715,217.71274692578575,0.113655,114.02745607592793,0.085875,61.71402745607595,0.081288,53.07609739562737,0.072691,36.886804888612716,0.067031,26.228273355554293,0.070851,33.42184057397887,0.056039,5.528877841176584,0.05216,1.7757942112498344
0.46,0.060131,0.146999,144.464585654654,0.150269,149.9027124112355,0.153636,155.50215363123846,0.156895,160.92198699506082,0.160224,166.4582328582595,0.163508,171.9196421147162,0.166844,177.46752922785254,0.170226,183.09191598343617,0.118851,97.65345661971364,0.09234,53.564717034474754,0.088204,46.68640135703715,0.07507,24.844090402620946,0.065554,9.018642630257279,0.073296,21.89386506128287,0.062344,3.680298015998403,0.055791,7.217574961334415
0.48,0.071779,0.149582,108.39242675434319,0.152786,112.85612783683251,0.156088,117.4563591022444,0.159288,121.91448752420628,0.16256,126.47292383566227,0.165791,130.97424037671186,0.169075,135.54939466975023,0.172406,140.19002772398613,0.124114,72.91129717605429,0.097782,36.226472923835665,0.09313,29.745468730408632,0.078423,9.256189136098318,0.067976,5.298206996475294,0.073909,2.9674417308683694,0.069024,3.838169938282776,0.062892,12.381058526867179
0.5,0.083469,0.1521,82.22334040182584,0.15524,85.98521606824089,0.158479,89.86569864260984,0.161621,93.62997040817547,0.164837,97.48289784231272,0.168016,101.29149744216414,0.171249,105.16479171908135,0.174532,109.09798847476307,0.127173,52.35955863853648,0.100209,20.05534989037847,0.09766,17.001521522960612,0.081722,2.092992608034119,0.07086,15.10620709484958,0.078517,5.932741496843137,0.074985,10.16425259677246,0.067751,18.830943224430623
