q_inverse_angstroms,debye,propo{e=0.380}_Lg3Endorepellin,propo{e=0.380}_Lg3Endorepellin_relDiffDebye,propo{e=0.390}_Lg3Endorepellin,propo{e=0.390}_Lg3Endorepellin_relDiffDebye,propo{e=0.400}_Lg3Endorepellin,propo{e=0.400}_Lg3Endorepellin_relDiffDebye,propo{e=0.410}_Lg3Endorepellin,propo{e=0.410}_Lg3Endorepellin_relDiffDebye,propo{e=0.420}_Lg3Endorepellin,propo{e=0.420}_Lg3Endorepellin_relDiffDebye,propo{e=0.430}_Lg3Endorepellin,propo{e=0.430}_Lg3Endorepellin_relDiffDebye,propo{e=0.440}_Lg3Endorepellin,propo{e=0.440}_Lg3Endorepellin_relDiffDebye,propo{e=0.450}_Lg3Endorepellin,propo{e=0.450}_Lg3Endorepellin_relDiffDebye,strat{s=0.15}_Lg3Endorepellin,strat{s=0.15}_Lg3Endorepellin_relDiffDebye,strat{s=0.20}_Lg3Endorepellin,strat{s=0.20}_Lg3Endorepellin_relDiffDebye,strat{s=0.25}_Lg3Endorepellin,strat{s=0.25}_Lg3Endorepellin_relDiffDebye,strat{s=0.30}_Lg3Endorepellin,strat{s=0.30}_Lg3Endorepellin_relDiffDebye,strat{s=0.35}_Lg3Endorepellin,strat{s=0.35}_Lg3Endorepellin_relDiffDebye,strat{s=0.40}_Lg3Endorepellin,strat{s=0.40}_Lg3Endorepellin_relDiffDebye,strat{s=0.45}_Lg3Endorepellin,strat{s=0.45}_Lg3Endorepellin_relDiffDebye,strat{s=0.50}_Lg3Endorepellin,strat{s=0.50}_Lg3Endorepellin_relDiffDebye
0.2,2.603807,2.266687,12.947196163156487,2.225389,14.533258417386556,2.1875270000000002,15.98736004627071,2.153028,17.312304637018038,2.121812,18.51116461396718,2.091014,19.693971173746757,2.060665,20.859533751925543,2.033493,21.90308267855491,4.991976,91.71835700572277,3.86121,48.29094475896253,3.963229,52.20901549154756,4.452714,71.00783583422273,4.541919,74.43378099836123,4.126423,58.47653071060949,4.028148,54.70224943707424,4.311545,65.58619744090095
0.22,1.195677,1.168242,2.2945159938679174,1.156235,3.2987169611860225,1.145574,4.190345720457951,1.136182,4.975842137968705,1.12798,5.661813349257376,1.120198,6.312658017173541,1.112864,6.926034372159037,1.106614,7.448750791392668,2.199305,83.9380535044163,1.832521,53.26221044646672,2.005444,67.7245610645684,2.138149,78.82329425087208,1.964889,64.33275876344531,1.768236,47.88575844479736,1.838509,53.76301459340607,2.087499,74.58720038940282
0.24,1.074672,1.040912,3.1414236157636943,1.032301,3.9426913514076998,1.024792,4.641416171631916,1.018311,5.244483898342946,1.012777,5.759431714979084,1.007662,6.235390891360342,1.002996,6.669569878065127,0.999172,7.025399377670594,1.024938,4.6278306311135085,1.204568,12.087036788899312,1.386509,29.016946566021996,1.23876,15.268658716333913,0.956747,10.973115518037135,0.970035,9.736645227567116,1.031402,4.0263447824080405,1.23491,14.910409873896397
0.26,1.303921,1.194933,8.358481840540959,1.182215,9.333847679422302,1.170892,10.202228509242511,1.16089,10.969299520446416,1.152129,11.641196054055433,1.143787,12.280958739064712,1.135894,12.886286822591256,1.129137,13.404493063613518,0.710882,45.48120630007493,1.20701,7.432275421593807,1.335418,2.4155604518985343,1.02522,21.374070975158777,0.745305,42.841245750317704,0.92094,29.37148799658876,0.864028,33.73616959923186,1.022194,21.60614024929425
0.28,1.419309,1.282224,9.658573291651072,1.267178,10.71866661875603,1.253694,11.66870639163141,1.241697,12.513976871843969,1.231107,13.260114605064857,1.220936,13.976730930332995,1.211214,14.661712143021704,1.202794,15.254958574912159,0.738525,47.96587635250675,1.362311,4.015897877065521,1.392883,1.861891948828609,1.040599,26.68270263910113,0.815137,42.56803839051256,1.083379,23.668559841443958,0.882513,37.82093962625475,1.001878,29.410861200767407
0.3,1.312998,1.214793,7.4794477980926155,1.201546,8.488360225986643,1.189731,9.388209273738422,1.179275,10.184554736564719,1.170098,10.883489540730451,1.16134,11.55051264358362,1.153031,12.183339197774878,1.145895,12.726828220606581,0.825335,37.14118376417939,1.452146,10.59773129890524,1.369917,4.335040875919075,1.064628,18.91625120525699,0.897761,31.625105293382017,1.187619,9.549062527132572,0.882745,32.768747553309304,0.970696,26.07026057922404
0.32,1.065266,1.044407,1.9581024833234102,1.035703,2.7751754022000146,1.028108,3.488142867603023,1.021546,4.10413924784983,1.01594,4.630392784525177,1.010751,5.117501168722187,1.006012,5.5623665826188144,1.002122,5.927533592548723,0.866876,18.623517506425628,1.431976,34.424265864112805,1.251629,17.49450372019759,1.033942,2.940486225975496,0.905521,14.995785090296698,1.162686,9.145133703694668,0.822883,22.753284156257685,0.88428,16.989747161741768
0.34,0.799479,0.857609,7.270985229130458,0.853886,6.805306956155194,0.850916,6.433815022033093,0.848625,6.147253398775941,0.846932,5.935490488180424,0.845657,5.776011627572449,0.844832,5.672819423649648,0.8445,5.631292379161926,0.860769,7.6662426405196324,1.339443,67.53948508966462,1.096569,37.16045074354671,0.960609,20.154375537068514,0.84951,6.257950490256771,1.04597,30.831453984407347,0.733334,8.273513125422932,0.770437,3.6326157410013287
0.36,0.598494,0.714224,19.336868874207592,0.714324,19.353577479473476,0.714905,19.450654476068273,0.715891,19.615401323989897,0.717202,19.834451139025628,0.718932,20.123510010125422,0.721111,20.487590518869027,0.72351,20.88842995919759,0.840744,40.47659625660409,1.226675,104.960283645283,0.964844,61.21197539156618,0.874372,46.09536603541557,0.771618,28.92660578050909,0.905385,51.277205786524185,0.653092,9.122564303067373,0.667834,11.585746891364002
0.38,0.483358,0.630622,30.46685893271654,0.632952,30.948903297348952,0.635603,31.49735806586423,0.638499,32.09649990276359,0.641562,32.73019170056148,0.645044,33.45056872959586,0.648975,34.26383756966885,0.652966,35.08951956934612,0.835042,72.7584937044592,1.126649,133.08789758315785,0.88542,83.18099628018983,0.794952,64.46443422887384,0.704579,45.76752634693125,0.7917,63.79164097832247,0.600702,24.27683001005465,0.597174,23.546936225323666
0.4,0.431672,0.591918,37.12216683037122,0.595281,37.90123056394668,0.59889,38.73728201041533,0.602671,39.61317852443521,0.606545,40.51061917381716,0.610837,41.5048926036435,0.615579,42.60341184973776,0.620307,43.69868789265926,0.850554,97.0371022442966,1.047866,142.74588113197055,0.854966,98.05917455846107,0.727403,68.5082655349432,0.659193,52.70691636242333,0.722461,67.3634148149521,0.572515,32.62731889026853,0.557817,29.222418873589206
0.42,0.407753,0.5732,40.57529926205327,0.577061,41.52219603534494,0.581134,42.52108506865678,0.585343,43.55332762726454,0.589609,44.59954923691551,0.594294,45.748529134059105,0.599428,47.00762471398126,0.604512,48.25445796842698,0.875711,114.76506610619666,0.984147,141.35861661348906,0.852434,109.0564631038889,0.668646,63.983097610563256,0.629222,54.314499218889864,0.68816600000000006,68.7703094765704,0.554253,35.92861364600629,0.537189,31.743727207402532
0.44,0.384898,0.555526,44.33070579738007,0.559858,45.45619878513267,0.564369,46.62819760040322,0.568982,47.82669694308621,0.573618,49.03117189489162,0.578673,50.34450685636194,0.584177,51.7744961002655,0.589599,53.18318099860222,0.892159,131.79101995853446,0.926845,140.8027581333236,0.854904,122.11183222568056,0.615184,59.83039662456026,0.602624,56.567194425536115,0.667786,73.49687449661987,0.533331,38.56424299424782,0.521838,35.578257096685356
0.46,0.352972,0.531583,50.60203075598066,0.536554,52.010357762088766,0.541657,53.45608150221548,0.546818,54.91823714062306,0.551956,56.373876681436485,0.557512,57.94793921330871,0.563518,59.649490611153276,0.569396,61.31477850934351,0.886463,151.14258354770348,0.872013,147.04877440703515,0.84687,139.92554650227214,0.566974,60.6286051018211,0.570808,61.7148102399057,0.642978,82.16119125596364,0.505125,43.10625205398729,0.504007,42.789513049193694
0.48,0.314558,0.503132,59.94888065158095,0.508862,61.77048429860312,0.51467,63.61688464448526,0.520481,65.46423870955435,0.526215,67.28711398215908,0.532368,69.24319203453734,0.538969,71.34169215216272,0.545389,73.38265121217708,0.856506,172.28873530477685,0.821125,161.04088912060732,0.82211,161.35402692031357,0.527006,67.53857794111101,0.532364,69.24192040895477,0.605514,92.49677325008425,0.472468,50.20059893564939,0.482627,53.43021000896495
0.5,0.276916,0.475331,71.65169220991203,0.481802,73.98850192838262,0.488298,76.33433965534675,0.494744,78.66212136532378,0.501061,80.94331855147409,0.507796,83.37546403963658,0.51498,85.96975256034321,0.521929,88.47917780121047,0.811204,192.94226408008208,0.777913,180.9202068497306,0.78126,182.1288766268471,0.498661,80.07662973609327,0.491803,77.6000664461425,0.557489,101.32061708243656,0.441356,59.38262866717706,0.46069,66.36452931574918
