q_inverse_angstroms,debye,propo{e=0.380}_CoiledCoil,propo{e=0.380}_CoiledCoil_relDiffDebye,propo{e=0.390}_CoiledCoil,propo{e=0.390}_CoiledCoil_relDiffDebye,propo{e=0.400}_CoiledCoil,propo{e=0.400}_CoiledCoil_relDiffDebye,propo{e=0.410}_CoiledCoil,propo{e=0.410}_CoiledCoil_relDiffDebye,propo{e=0.420}_CoiledCoil,propo{e=0.420}_CoiledCoil_relDiffDebye,propo{e=0.430}_CoiledCoil,propo{e=0.430}_CoiledCoil_relDiffDebye,propo{e=0.440}_CoiledCoil,propo{e=0.440}_CoiledCoil_relDiffDebye,propo{e=0.450}_CoiledCoil,propo{e=0.450}_CoiledCoil_relDiffDebye,strat{s=0.15}_CoiledCoil,strat{s=0.15}_CoiledCoil_relDiffDebye,strat{s=0.20}_CoiledCoil,strat{s=0.20}_CoiledCoil_relDiffDebye,strat{s=0.25}_CoiledCoil,strat{s=0.25}_CoiledCoil_relDiffDebye,strat{s=0.30}_CoiledCoil,strat{s=0.30}_CoiledCoil_relDiffDebye,strat{s=0.35}_CoiledCoil,strat{s=0.35}_CoiledCoil_relDiffDebye,strat{s=0.40}_CoiledCoil,strat{s=0.40}_CoiledCoil_relDiffDebye,strat{s=0.45}_CoiledCoil,strat{s=0.45}_CoiledCoil_relDiffDebye,strat{s=0.50}_CoiledCoil,strat{s=0.50}_CoiledCoil_relDiffDebye
0.22,6.16091,4.400382,28.575778578164602,4.301586,30.179372852387065,4.217311,31.547271425812106,4.12647,33.02174516426956,4.050005,34.2628767503502,3.973933,35.49762940864255,3.898284,36.72551619809411,3.829904,37.8354171705154,6.460211,4.858064798868995,6.688483,8.563231730377483,5.948416,3.449068400609657,6.000336,2.60633575234828,6.052251,1.7636842609289907,5.945535,3.4958309730218544,5.606801,8.993947322716943,5.896251,4.295777734133431
0.24,4.385986,3.213952,26.722246719437777,3.146674,28.256177744297407,3.089414,29.561699467348955,3.02784,30.96557991749176,2.976139,32.1443570499313,2.924832,33.31415102556187,2.873946,34.47434624734324,2.82808,35.520086019426415,4.589013,4.628993343799995,4.845124,10.468296068432508,4.342393,0.9939156212536828,4.533557,3.3646026229905917,4.383978,0.045782179879279364,4.364478,0.4903800422527537,4.161167,5.12584855492015,4.342048,1.0017815834341426
0.26,3.072485,2.333471,24.052647938069676,2.289583,25.481068255825495,2.252372,26.69217262248636,2.212518,27.989298564516986,2.179195,29.07386040940802,2.146265,30.14563130495348,2.113758,31.203634842806398,2.084599,32.15267120913528,3.250971,5.809174007358862,3.436679,11.853402050782995,3.167333,3.087012629841977,3.342939,8.802451435889841,3.130568,1.890424200606346,3.070972,0.049243527633173065,3.061352,0.36234513756780135,3.130688,1.894329833994315
0.28,2.196425,1.745159,20.54547730971921,1.7169,21.832068019622795,1.693085,22.91632994525195,1.667743,24.07011393514461,1.6467,25.02817077751346,1.62605,25.96833490786164,1.605823,26.889240470309712,1.587827,27.70857188385672,2.464857,12.221314180998657,2.50076,13.85592496898369,2.388807,8.758869526617108,2.480345,12.926460043024449,2.289615,4.242803646835193,2.149724,2.12622784752496,2.295325,4.502771549222031,2.295537,4.5124235974367375
0.3,1.635833,1.368607,16.335775106627644,1.350351,17.45178144712816,1.335111,18.383416889132334,1.319058,19.36475178089695,1.305874,20.17070202153888,1.293084,20.952566673982012,1.280716,21.70863407205993,1.269866,22.371904711544524,2.076729,26.952384503797127,1.935215,18.301501436882603,1.880753,14.972188481342522,1.904604,16.43022240045285,1.771232,8.277067402357076,1.556133,4.872135480822315,1.791433,9.511973410488721,1.762673,7.7538477338456815
0.32,1.263157,1.118333,11.465241454546035,1.106726,12.384129605425136,1.097184,13.139538473839762,1.087305,13.921626527818798,1.079345,14.551793640853836,1.071779,15.150769065128092,1.064635,15.716336132404765,1.058534,16.199332307860384,1.873985,48.35725091971939,1.5915,25.993839245636117,1.524758,20.710093836316464,1.532274,21.305110924453558,1.457116,15.355098376528014,1.186094,6.100825154751159,1.455005,15.187977424817342,1.41195,11.779454177113372
0.34,0.991748,0.935667,5.654763105143639,0.928913,6.335782880328468,0.92353,6.878561892738881,0.918157,7.420332584487185,0.91401,7.838483163061581,0.910257,8.216905907549094,0.906926,8.552777520095827,0.904291,8.81847001456015,1.697396,71.15194585721373,1.350413,36.16493302734164,1.256471,26.69256706340723,1.279436,29.008175463928342,1.240485,25.080665652968303,0.941473,5.069332128726245,1.201193,21.118772107430516,1.139687,14.916995043095618
0.36,0.783121,0.79447,1.4492013367027643,0.791467,1.0657356909085667,0.789299,0.7888946918803119,0.787409,0.5475526770448078,0.786209,0.3943196517524228,0.785403,0.2913981364310249,0.78502,0.24249126252521577,0.785064,0.24810980678592812,1.497525,91.22523850081917,1.151727,47.06884376743824,1.057249,35.00455229779308,1.089546,39.12869147934993,1.055205,34.74354537804503,0.765473,2.253547025300049,0.982217,25.423402003011038,0.899185,14.820698206279753
0.38,0.62898,0.689356,9.59903335559159,0.689145,9.565486978918253,0.689371,9.601418169099173,0.690074,9.713186428821263,0.691068,9.871220070590486,0.692456,10.091894813825556,0.694266,10.379662310407337,0.696305,10.703837959871533,1.307401,107.8605043085631,0.980342,55.86218957677511,0.920625,46.36792902795002,0.939682,49.39775509555153,0.883845,40.52036630735476,0.640749,1.8711246780501813,0.791174,25.786829469935462,0.696853,10.790963146681925
0.4,0.527531,0.619548,17.4429559589863,0.621192,17.754596412343542,0.623008,18.098841584665173,0.625432,18.5583406472795,0.627883,19.02295789252196,0.630729,19.562452253990763,0.633996,20.181752351994486,0.637359,20.819250432676004,1.169532,121.69919872007524,0.839297,59.0990861200574,0.83089,57.505435699513406,0.82734,56.83248946507409,0.740569,40.383977434501496,0.565212,7.142897763354206,0.641403,21.585840452978115,0.555524,5.306418011453364
