q_inverse_angstroms,debye,propo{e=0.380}_CollagenLikePeptide,propo{e=0.380}_CollagenLikePeptide_relDiffDebye,propo{e=0.390}_CollagenLikePeptide,propo{e=0.390}_CollagenLikePeptide_relDiffDebye,propo{e=0.400}_CollagenLikePeptide,propo{e=0.400}_CollagenLikePeptide_relDiffDebye,propo{e=0.410}_CollagenLikePeptide,propo{e=0.410}_CollagenLikePeptide_relDiffDebye,propo{e=0.420}_CollagenLikePeptide,propo{e=0.420}_CollagenLikePeptide_relDiffDebye,propo{e=0.430}_CollagenLikePeptide,propo{e=0.430}_CollagenLikePeptide_relDiffDebye,propo{e=0.440}_CollagenLikePeptide,propo{e=0.440}_CollagenLikePeptide_relDiffDebye,propo{e=0.450}_CollagenLikePeptide,propo{e=0.450}_CollagenLikePeptide_relDiffDebye,strat{s=0.15}_CollagenLikePeptide,strat{s=0.15}_CollagenLikePeptide_relDiffDebye,strat{s=0.20}_CollagenLikePeptide,strat{s=0.20}_CollagenLikePeptide_relDiffDebye,strat{s=0.25}_CollagenLikePeptide,strat{s=0.25}_CollagenLikePeptide_relDiffDebye,strat{s=0.30}_CollagenLikePeptide,strat{s=0.30}_CollagenLikePeptide_relDiffDebye,strat{s=0.35}_CollagenLikePeptide,strat{s=0.35}_CollagenLikePeptide_relDiffDebye,strat{s=0.40}_CollagenLikePeptide,strat{s=0.40}_CollagenLikePeptide_relDiffDebye,strat{s=0.45}_CollagenLikePeptide,strat{s=0.45}_CollagenLikePeptide_relDiffDebye,strat{s=0.50}_CollagenLikePeptide,strat{s=0.50}_CollagenLikePeptide_relDiffDebye
0.2,22.265274,25.336075,13.791885067302559,24.757888,11.195074446422709,24.108241,8.277315608152849,23.603601,6.010826545408781,23.027611,3.4238833081506144,22.524317,1.1634395336881924,22.093476,0.7715961636043758,21.591522,3.0260215975783646,18.606263,16.433711976776046,17.963899,19.31876068536143,17.974681,19.270335500924,18.138057,18.536565056419256,18.672326,16.137003299397975,18.970281,14.798798344004215,18.975547,14.775147164144501,19.26856,13.459138207775931
0.22,18.50702,21.12793,14.161707287288817,20.650236,11.580556999452094,20.113643,8.681154502453658,19.696935,6.429533225770541,19.221438,3.8602541089813402,18.806075,1.615900344842115,18.450604,0.3048356785695495,18.036581,2.541948946940128,15.976002,13.675988895024705,15.133251,18.229671767794066,14.987011,19.019858410484236,15.265169,17.51687197614743,15.734889,14.978808041489119,16.139181,12.794274821121931,15.957908,13.773757201321448,16.266402,12.106854588150881
0.24,15.283752,17.515436,14.601676342301298,17.124011,12.040623271039728,16.68447,9.16475221529374,16.343247,6.9321656095963995,15.954018,4.385480737975857,15.61414,2.161694327413851,15.323371,0.2592229970755877,14.984833,1.955795932831151,13.53295,11.455315422548077,12.616397,17.452226390483176,12.53908,17.95810348139645,12.941619,15.324332663864219,13.2448,13.340650908232481,13.552088,11.330097478681939,13.407078,12.278882829294794,13.68228,10.478264761165972
0.26,12.608179,14.516703,15.137189914578464,14.196889,12.60063011478502,13.837911,9.753446552432356,13.559348,7.544063262426716,13.241731,5.024928659404343,12.964513,2.8262130478953416,12.727453,0.9460049702657359,12.451575,1.2420826195440258,11.41171,9.489625742147224,10.603253,15.901788830885089,10.601373,15.916699786701944,11.195395,11.205297767425417,11.211172,11.08016470895599,11.36936,9.825518816000308,11.319404,10.221737810035846,11.50973,8.712193886206727
0.28,10.387947,12.025312,15.762161666785545,11.764994,13.256199709143676,11.47295,10.4448261047154,11.246445,8.26436638538875,10.988324,5.779553938810045,10.763165,3.6120515439672563,10.570726,1.7595295778848317,10.346908,0.3950636251802171,9.642036,7.180542988908216,8.941466,13.924608972302229,9.023624,13.133711598644087,9.690836,6.71076777730962,9.499672,8.551015903334894,9.57056,7.8686096492406055,9.539097,8.17148951568583,9.701343,6.609621708697598
0.3,8.493114,9.894229,16.49707045024945,9.684803,14.031237541377642,9.450011,11.266739148915223,9.268037,9.124132797463915,9.060807,6.684156129306638,8.880178,4.55738613658077,8.725908,2.740973452140171,8.54662,0.6299927211621144,8.185662,3.620014990967972,7.48325,11.89038555234276,7.642868,10.011004208821408,8.202533,3.4213717136023316,7.986547,5.96444366577442,8.005476,5.741568993422206,7.952774,6.362095222082272,8.153247,4.001677123373122
0.32,6.87959,8.076666,17.400397407403627,7.910644,14.987143129169024,7.724682,12.284045996927132,7.580687,10.190970682845924,7.416862,7.80965144725194,7.274212,5.736126716853766,7.152495,3.966878840163436,7.011185,1.9128320146985491,7.015466,1.975059560235416,6.229906,9.443644170655526,6.407615,6.860510582752758,6.822587,0.8285813544121076,6.688751,2.7739879847490974,6.623376,3.7242626377443995,6.586034,4.267056612385339,6.803697,1.1031616709716807
0.34,5.537728,6.563492,18.523192182786868,6.433605,16.17769959087914,6.288296,13.55371733678504,6.175919,11.524419400880648,6.048229,9.218600119037982,5.937198,7.213608180105631,5.842583,5.505055502906604,5.732892,3.5242612132628977,6.06856,9.585736244178104,5.201365,6.074025304240302,5.335559,3.650757133611483,5.675849,2.494181729402382,5.635666,1.768559235845444,5.45994,1.4046915991540367,5.460272,1.3986963606735583,5.647408,1.980595652224161
0.36,4.425354,5.306582,19.913164009026175,5.206711,17.656372800910408,5.09517,15.135873875852665,5.009057,13.189973050743529,4.911383,10.982827588482195,4.826615,9.067319812155159,4.754512,7.43800382975013,4.671085,5.552798713955995,5.238041,18.36433876250353,4.376362,1.10707527578583,4.435099,0.22020837203081517,4.728309,6.845893006525597,4.757234,7.499513033307638,4.501315,1.716495448725693,4.518436,2.1033797522187103,4.680712,5.770340632636399
0.38,3.49775,4.255574,21.666042455864492,4.180802,19.528325352012008,4.097496,17.146622828961466,4.033345,15.312558073046953,3.96077,13.237652776785083,3.897963,11.44201272246444,3.844684,9.918776356229007,3.783218,8.16147523407906,4.45233,27.29125866628547,3.71497,6.210278035880214,3.693452,5.5950825530698385,3.905553,11.65900936316203,3.967524,13.43074833821743,3.68577,5.375455650060762,3.706733,5.974783789579012,3.881632,10.975112572367959
0.4,2.735442,3.389929,23.926188162644284,3.335829,21.948445625971964,3.27578,19.753224524592376,3.229716,18.069255352517068,3.177814,16.1718654608652,3.133095,14.537065673481656,3.09532,13.156118828328298,3.051942,11.570342196983157,3.720249,36.0017503569807,3.164509,15.68547240263182,3.085809,12.808423647805359,3.204253,17.138400302400857,3.260064,19.178692145547224,2.987526,9.215475963299532,3.01751,10.311605948874083,3.224177,17.866765224779037
0.42,2.120761,2.69051,26.865309197971875,2.653112,25.10188559672685,2.611853,23.15640470566934,2.580404,21.673493618564294,2.545204,20.01371205902033,2.5151,18.594221602528528,2.489852,17.403705556637455,2.461089,16.047447119218052,3.096289,45.99895980735218,2.696597,27.15232881027142,2.583788,21.833058982129543,2.642238,24.589145122906352,2.6686,25.83218948292619,2.418898,14.058019739140814,2.44482,15.280316829666338,2.682036,26.46573564866575
0.44,1.627627,2.127545,30.714531031987065,2.103591,29.242817918356007,2.077457,27.637167483704804,2.057771,26.427676611410345,2.036015,25.09100672328488,2.017675,23.964212930849644,2.00251,23.032488401826715,1.98551,21.988023054422186,2.615418,60.68902764576897,2.339861,43.75904307313654,2.179248,33.89111878827274,2.200148,35.1751967741995,2.194706,34.840844984753886,1.975527,21.37467613894339,1.968529,20.944725050641214,2.228515,36.91804080418916
0.46,1.237607,1.680185,35.760786744095675,1.666914,34.68847542071111,1.652799,33.54796797367824,1.642461,32.71264626008095,1.631388,31.817935742121705,1.622396,31.09137230154646,1.615243,30.513402073517693,1.607591,29.895112099398286,2.251794,81.94741949584964,2.112447,70.68802939867018,1.886753,52.4517072059224,1.840432,48.708919713608616,1.809783,46.2324469722618,1.627382,31.4942465580754,1.579852,27.653770542668244,1.847771,49.30191894519021
0.48,0.938244,1.335138,42.301789300011514,1.330108,41.765681421890264,1.325262,41.24918464706409,1.322134,40.91579589104753,1.319301,40.61384884955301,1.317518,40.42381299534023,1.316546,40.32021521054225,1.316104,40.27310592980077,1.949727,107.80596518602839,1.956404,108.51761375505733,1.703255,81.53646599392056,1.538182,63.94264178614518,1.493653,59.19664820664986,1.349257,43.806621731660414,1.277301,36.13740135828208,1.537752,63.89681149040123
0.5,0.710416,1.071551,50.83429990315531,1.072815,51.01222382378775,1.075051,51.32696898718496,1.077431,51.66198396432512,1.080892,52.14916330713271,1.084618,52.67364473773113,1.088366,53.20122294542914,1.093432,53.91432625391318,1.70344,139.78063557127092,1.808654,154.59083128758357,1.588528,123.6053242044098,1.287015,81.16357176640165,1.248418,75.73055787031822,1.132377,59.396325533208696,1.045,47.096912231706476,1.295024,82.29093939325689
