q_inverse_angstroms,debye,propo{e=0.380}_NeuB,propo{e=0.380}_NeuB_relDiffDebye,propo{e=0.390}_NeuB,propo{e=0.390}_NeuB_relDiffDebye,propo{e=0.400}_NeuB,propo{e=0.400}_NeuB_relDiffDebye,propo{e=0.410}_NeuB,propo{e=0.410}_NeuB_relDiffDebye,propo{e=0.420}_NeuB,propo{e=0.420}_NeuB_relDiffDebye,propo{e=0.430}_NeuB,propo{e=0.430}_NeuB_relDiffDebye,propo{e=0.440}_NeuB,propo{e=0.440}_NeuB_relDiffDebye,propo{e=0.450}_NeuB,propo{e=0.450}_NeuB_relDiffDebye,strat{s=0.15}_NeuB,strat{s=0.15}_NeuB_relDiffDebye,strat{s=0.20}_NeuB,strat{s=0.20}_NeuB_relDiffDebye,strat{s=0.25}_NeuB,strat{s=0.25}_NeuB_relDiffDebye,strat{s=0.30}_NeuB,strat{s=0.30}_NeuB_relDiffDebye,strat{s=0.35}_NeuB,strat{s=0.35}_NeuB_relDiffDebye,strat{s=0.40}_NeuB,strat{s=0.40}_NeuB_relDiffDebye,strat{s=0.45}_NeuB,strat{s=0.45}_NeuB_relDiffDebye,strat{s=0.50}_NeuB,strat{s=0.50}_NeuB_relDiffDebye
0.3,0.663253,0.585277,11.756599668603073,0.58419,11.92048886322414,0.583523,12.021053806013688,0.583239,12.063873062014048,0.5833,12.05467596829565,0.5837,11.994367157027558,0.584403,11.888374421223874,0.585361,11.743934818236776,1.285394,93.80146037786486,1.10986,67.33584318502895,0.599976,9.540401626528643,1.024408,54.4520718338251,0.675047,1.778205300239874,0.884299,33.32755373892014,0.766363,15.546103824634045,0.720383,8.613605969366143
0.32,0.44778,0.469623,4.878065121264907,0.471544,5.307070436375007,0.473718,5.792576711778096,0.476109,6.326544285140022,0.478676,6.899816874357939,0.481584,7.549242931796865,0.484626,8.228594399035238,0.487757,8.92782169815534,0.938197,109.52186341506989,0.835643,86.61909866452275,0.398225,11.066818526955204,0.776566,73.42578945017641,0.488592,9.114297199517624,0.635684,41.96346420117022,0.52832,17.98651123319487,0.506343,13.078520702130506
0.34,0.344583,0.41315,19.898544037285664,0.41654,20.882341845070723,0.420102,21.91605505785254,0.423798,22.988655853596967,0.42759,24.089116410269824,0.431721,25.287956747721175,0.435906,26.502468200694768,0.440097,27.718720888726388,0.694422,101.52532191083137,0.66228,92.19752570498255,0.283519,17.7211295972233,0.589481,71.07083054010211,0.397018,15.216943377937975,0.464919,34.92221032378268,0.368322,6.889196507082477,0.383314,11.239962505405089
0.36,0.316451,0.397378,25.573311507942787,0.401178,26.774129328079226,0.405127,28.022031846952622,0.409188,29.30532689105107,0.413322,30.61169027748373,0.417795,32.02517925366014,0.422299,33.44846437521133,0.426787,34.866693421730396,0.593496,87.54751920518503,0.586024,85.18633216516935,0.268045,15.296523000401328,0.509715,61.072330313381876,0.371553,17.41249040135757,0.375775,18.74666220046707,0.302807,4.3115679836688745,0.33914299999999997,7.170778414351667
0.38,0.30789,0.393269,27.73035824482769,0.397176,28.999317938224685,0.401226,30.314722790607046,0.405382,31.66455552307643,0.409605,33.0361492740914,0.414167,34.5178472831206,0.418754,36.0076650751892,0.423319,37.49033745818312,0.572317,85.88359479034719,0.570543,85.30741498587159,0.304611,1.0649907434473274,0.471936,53.28071713923804,0.381998,24.069635259345873,0.330824,7.448764169021407,0.284671,7.5413296956705285,0.323528,5.079086686803723
0.4,0.298636,0.389291,30.356353554159572,0.393302,31.699460212432516,0.397449,33.0881072610134,0.401697,34.51057474651415,0.406006,35.953468436491235,0.410655,37.51021310223817,0.415323,39.07332002839576,0.419962,40.626716136031824,0.568581,90.39265192408148,0.574886,92.50391781298973,0.349525,17.040477370444272,0.432847,44.94133326189741,0.403796,35.213437093987324,0.305674,2.3567151984355497,0.280753,5.988226469682168,0.317827,6.42621787058493
0.42,0.280019,0.380296,35.81078426821037,0.384541,37.3267528274867,0.388909,38.88664697752652,0.393365,40.477967566486555,0.397869,42.086429849403054,0.402713,43.81631246451133,0.407562,45.547980672740046,0.412371,47.26536413600505,0.566562,102.32984190358509,0.558133,99.31968902110212,0.39015,39.32983119002638,0.406695,45.2383588256511,0.399915,42.8170945542981,0.294144,5.044300565318781,0.282824,1.0017177405818898,0.313631,12.003471193026177
0.44,0.24853,0.364406,46.62455236792339,0.369065,48.49917514988129,0.373823,50.413632157083654,0.378647,52.354645314448966,0.383495,54.3053152536917,0.388683,56.392789602864845,0.393854,58.47342373154145,0.398961,60.52830644187824,0.562605,126.3730736731984,0.513064,106.43946404860579,0.410026,64.98048525328934,0.3939,58.49193256347321,0.360552,45.07383414477125,0.288205,15.96386754114191,0.28043,12.835472578763133,0.297703,19.785538969138532
0.46,0.217311,0.348556,60.3950099166632,0.353626,62.72807174970434,0.358775,65.09748701170213,0.363964,67.48530907317163,0.369156,69.8745116446015,0.374688,72.42017201154107,0.38018,74.9474255790089,0.385584,77.4341841876389,0.556003,155.85589316693586,0.471114,116.79252315805458,0.399388,83.78637068533116,0.377615,73.76708956288451,0.318004,46.335896480159775,0.28441,30.876945943831647,0.270324,24.394991509863743,0.277572,27.73030357414028
0.48,0.198181,0.338874,70.9921738209011,0.344196,73.67759775155035,0.349583,76.39581998274303,0.354996,79.12716153415312,0.360398,81.85295260393278,0.366139,84.74979942577745,0.371827,87.61990301794825,0.377414,90.43904309696693,0.555546,180.3225334416518,0.446808,125.45450875714623,0.379062,91.27060616305297,0.357948,80.61670896806454,0.295027,48.867449452772966,0.286155,44.39073372321262,0.258186,30.27787729398884,0.268214,35.337898183983334
0.5,0.189836,0.334645,76.28110579658232,0.340077,79.1425230198698,0.345567,82.03449293074023,0.351079,84.93805179207314,0.356572,87.83160201437029,0.362405,90.90425419836068,0.368179,93.94582692429253,0.373844,96.92998166838746,0.566296,198.30801323247437,0.424318,123.51819465222611,0.372979,96.4743252070208,0.343703,81.05259276428073,0.283456,49.316251922712226,0.291807,53.71531216418381,0.243847,28.451400155924063,0.266388,40.32533344571104
