q_inverse_angstroms,debye,propo{e=0.380}_MyosinII10s,propo{e=0.380}_MyosinII10s_relDiffDebye,propo{e=0.390}_MyosinII10s,propo{e=0.390}_MyosinII10s_relDiffDebye,propo{e=0.400}_MyosinII10s,propo{e=0.400}_MyosinII10s_relDiffDebye,propo{e=0.410}_MyosinII10s,propo{e=0.410}_MyosinII10s_relDiffDebye,propo{e=0.420}_MyosinII10s,propo{e=0.420}_MyosinII10s_relDiffDebye,propo{e=0.430}_MyosinII10s,propo{e=0.430}_MyosinII10s_relDiffDebye,propo{e=0.440}_MyosinII10s,propo{e=0.440}_MyosinII10s_relDiffDebye,propo{e=0.450}_MyosinII10s,propo{e=0.450}_MyosinII10s_relDiffDebye,strat{s=0.15}_MyosinII10s,strat{s=0.15}_MyosinII10s_relDiffDebye,strat{s=0.20}_MyosinII10s,strat{s=0.20}_MyosinII10s_relDiffDebye,strat{s=0.25}_MyosinII10s,strat{s=0.25}_MyosinII10s_relDiffDebye,strat{s=0.30}_MyosinII10s,strat{s=0.30}_MyosinII10s_relDiffDebye,strat{s=0.35}_MyosinII10s,strat{s=0.35}_MyosinII10s_relDiffDebye,strat{s=0.40}_MyosinII10s,strat{s=0.40}_MyosinII10s_relDiffDebye,strat{s=0.45}_MyosinII10s,strat{s=0.45}_MyosinII10s_relDiffDebye,strat{s=0.50}_MyosinII10s,strat{s=0.50}_MyosinII10s_relDiffDebye
0.24,0.166866,0.121809,27.001905720757968,0.123547,25.960351419702025,0.125338,24.8870351060132,0.127133,23.81132165929548,0.128963,22.714633298574903,0.130866,21.574197260076936,0.132741,20.45054115278127,0.134676,19.290928050052138,0.189664,13.66245969820096,0.195961,17.43614636894275,0.178624,7.046372538444033,0.189007,13.268730598204561,0.187042,12.091138997758698,0.190094,13.920151498807442,0.162717,2.48642623422386,0.174546,4.602495415483094
0.26,0.109529,0.111595,1.8862584338394384,0.113594,3.7113458536095454,0.115636,5.575692282409226,0.117666,7.429082708689028,0.11972,9.304385140008574,0.121841,11.240858585397477,0.123918,13.137160021546803,0.126051,15.084589469455572,0.134922,23.183814332277283,0.137812,25.822384939148524,0.122087,11.465456637055025,0.125935,14.978681445096722,0.122421,11.770398707191704,0.126041,15.075459467355664,0.112171,2.4121465547937126,0.107596,1.7648294059107672
0.28,0.088033,0.107679,22.316631263276268,0.109778,24.70096441107312,0.111915,27.12846318994014,0.114036,29.53778696625129,0.116175,31.96755762043779,0.11838,34.47230016016721,0.120535,36.92024581690957,0.122743,39.42839616961822,0.11016,25.134892597094264,0.115182,30.839571524314753,0.098017,11.341201594856482,0.096532,9.65433417014075,0.089126,1.2415798620971645,0.08848,0.5077641339043347,0.084486,4.029170879102149,0.082374,6.428271216475637
0.3,0.086164,0.10728,24.50675456106958,0.10939,26.95557309317116,0.111537,29.44733299289726,0.113667,31.919363075066148,0.115815,34.41228355229562,0.118029,36.98180214474721,0.120191,39.49097070702381,0.122407,42.06281045448215,0.112991,31.13481268279094,0.103243,19.821503179982354,0.090589,5.135555452393108,0.091354,6.023397242467852,0.085208,1.1095120932175833,0.078729,8.628893737523805,0.078257,9.176686319112402,0.076804,10.863005431502723
0.32,0.080018,0.106202,32.722637406583516,0.108339,35.39328651053513,0.110513,38.110175210577616,0.112667,40.802069534354764,0.114839,43.51645879677071,0.117076,46.312079782049025,0.11926,49.04146567022419,0.121497,51.837086655502496,0.101625,27.002674398260375,0.090982,13.701917068659537,0.079123,1.1184983378739868,0.080715,0.8710540128470958,0.082081,2.578169911769846,0.073503,8.14191806843461,0.070524,11.864830413157042,0.069402,13.26701492164263
0.34,0.067941,0.104127,53.26091756082483,0.106317,56.484302556630006,0.108542,59.759202837756284,0.110744,63.00025021710012,0.112961,66.2633755758673,0.115243,69.62217217880219,0.117468,72.89707245992847,0.119744,76.24703787109404,0.093922,38.240532226490636,0.081378,19.77745396741291,0.067126,1.1995702153338872,0.069536,2.3476251453466968,0.070995,4.4950766105886,0.06329,6.8456454865250755,0.063126,7.087031394886739,0.060135,11.489380491897382
0.36,0.063287,0.103344,63.29419944064344,0.105554,66.78622781929938,0.107798,70.33197971147315,0.110018,73.8398091235167,0.112253,77.37134008564162,0.114551,81.0024175581083,0.11679200000000001,84.54342914026579,0.119083,88.16344588936117,0.096926,53.1530962124923,0.075371,19.093968745555955,0.067653,6.898731177018991,0.068351,8.001643307472307,0.068074,7.563954682636244,0.059391,6.156082607802546,0.059858,5.418174348602391,0.058891,6.946134277181723
0.38,0.061374,0.103019,67.85446606054681,0.105237,71.46837423013002,0.107489,75.13768045100532,0.109716,78.76625281063642,0.111958,82.41926548701406,0.114263,86.174927493727,0.11651,89.83608694235346,0.118808,93.58034346791801,0.092532,50.76742594584027,0.078195,27.40737119953075,0.068953,12.348877374784115,0.070261,14.48007299507936,0.062962,2.58741486623001,0.062092,1.1698764949327132,0.058227,5.127578453416751,0.057617,6.121484667774622
0.4,0.061965,0.103083,66.35681433067053,0.105299,69.93302670862585,0.10755,73.56572258533043,0.109776,77.15807310578552,0.112016,80.77301702574034,0.11432,84.49124505769386,0.116566,88.11587186314856,0.118862,91.82118938110223,0.087128,40.6084079722424,0.080542,29.97982732187526,0.068468,10.49463406761882,0.070323,13.488259501331394,0.060518,2.3351892197208053,0.063536,2.5353021867183023,0.05946,4.042604696199468,0.05522,10.885177116113937
0.42,0.058237,0.102397,75.82808180366435,0.104632,79.66584817212427,0.106899,83.55856242594913,0.10914,87.406631522915,0.111396,91.28045744114567,0.113714,95.26074488727097,0.115974,99.14143929117228,0.118283,103.1062726445387,0.081425,39.8166114325944,0.075071,28.906021944811723,0.06481,11.286639078249241,0.063457,8.963373800161415,0.058603,0.6284664388619009,0.06057,4.00604426739015,0.056338,3.260813572127682,0.051391,11.755413225269155
