q_inverse_angstroms,debye,strat{s=0.50}_PhiTEBaseplate,strat{s=0.50}_PhiTEBaseplate_relDiffDebye,strat{s=0.45}_PhiTEBaseplate,strat{s=0.45}_PhiTEBaseplate_relDiffDebye,strat{s=0.40}_PhiTEBaseplate,strat{s=0.40}_PhiTEBaseplate_relDiffDebye,strat{s=0.35}_PhiTEBaseplate,strat{s=0.35}_PhiTEBaseplate_relDiffDebye,strat{s=0.30}_PhiTEBaseplate,strat{s=0.30}_PhiTEBaseplate_relDiffDebye,strat{s=0.25}_PhiTEBaseplate,strat{s=0.25}_PhiTEBaseplate_relDiffDebye,strat{s=0.20}_PhiTEBaseplate,strat{s=0.20}_PhiTEBaseplate_relDiffDebye,strat{s=0.15}_PhiTEBaseplate,strat{s=0.15}_PhiTEBaseplate_relDiffDebye,propo{e=0.450}_PhiTEBaseplate,propo{e=0.450}_PhiTEBaseplate_relDiffDebye,propo{e=0.440}_PhiTEBaseplate,propo{e=0.440}_PhiTEBaseplate_relDiffDebye,propo{e=0.430}_PhiTEBaseplate,propo{e=0.430}_PhiTEBaseplate_relDiffDebye,propo{e=0.420}_PhiTEBaseplate,propo{e=0.420}_PhiTEBaseplate_relDiffDebye
0.22,0.038335,0.29942,681.0616929698708,-0.129116,436.80970392591627,0.072279,88.54571540367809,0.45145,1077.644450241294,-0.069217,280.55823659840877,-0.024636,164.26503195513237,0.022276,41.89122212077736,0.023741,38.06964914568932,0.041265,7.643145950176085,0.040523000000000003,5.707577931394294,0.039792,3.8007043172035995,0.039062,1.8964392852484635
0.24,0.037253,0.22952,516.1114541110783,-0.098896,365.47123721579464,0.05519,48.1491423509516,0.322161,764.7920972807559,-0.051954,239.4625936166215,-0.019439,152.18103240007517,0.018205,51.13145250046976,0.018405,50.594582986605104,0.040279,8.122835744772235,0.039515,6.07199420180925,0.03876,4.0453117869701805,0.038005,2.018629372131092
0.26,0.036588,0.202043,452.211107466929,-0.084128,329.9333114682409,0.049339,34.85022411719689,0.281265,668.7356510331255,-0.045339,223.91767792718923,-0.016288,144.51732808571117,0.015674,57.16081775445502,0.016354,55.30228490215371,0.039673,8.431726249043395,0.038895,6.305346015086904,0.038126,4.203564010057936,0.037356,2.0990488684814634
0.28,0.035625,0.129331,263.0343859649123,-0.05775,262.10526315789474,0.034265,3.8175438596491236,0.192228,439.5873684210527,-0.0316,188.70175438596496,-0.011534,132.37614035087722,0.010457,70.64701754385965,0.011556,67.56210526315789,0.038796,8.901052631578949,0.037998,6.661052631578948,0.037208,4.443508771929828,0.036416,2.2203508771929825
0.3,0.035109,0.098113,179.4525620211342,-0.04262,221.39337491811216,0.025946,26.098721125637304,0.156218,344.95143695348764,-0.024111,168.67469879518072,-0.00877,124.97935002421032,0.008586,75.54473211996924,0.009943,71.67962630664502,0.038326,9.162892705574063,0.037517,6.858640234697656,0.036716,4.577173944002954,0.035912,2.2871628357401184
0.32,0.035109,0.085704,144.10834828676406,-0.039331,212.02540659090263,0.024726,29.573613603349568,0.143922,309.92907801418437,-0.022933,165.31943376342247,-0.008053,122.93713862542369,0.007777,77.84898459084566,0.008912,74.61619527756416,0.038326,9.162892705574063,0.037517,6.858640234697656,0.036716,4.577173944002954,0.035913,2.290011108262836
0.34,0.034865,0.080772,131.67072995841102,-0.035914,203.0087480281084,0.021475,38.40527749892442,0.125041,258.6433385917109,-0.020797,159.65007887566327,-0.008139,123.34432812275922,0.007615,78.15861178832641,0.008543,75.49691667861752,0.038103,9.2872508246092,0.037289,6.952531191739573,0.036483,4.640757206367422,0.035674,2.3203786031837006
0.36,0.034697,0.070054,101.90218174481946,-0.032732,194.336686168833,0.018385,47.01271003256766,0.118256,240.82485517479896,-0.018571,153.52335936824508,-0.007259,120.92111709946106,0.007045,79.69565092082888,0.007935,77.13058765887541,0.037951,9.378332420670375,0.037133,7.020779894515377,0.036323,4.6862841167824385,0.03551,2.3431420583912193
0.38,0.03472,0.068556,97.45391705069125,-0.029941,186.235599078341,0.018239,47.468317972350235,0.112953,225.32546082949304,-0.018504,153.29493087557603,-0.006796,119.573732718894,0.006926,80.05184331797236,0.007838,77.42511520737327,0.037972,9.366359447004601,0.037154,7.010368663594465,0.036345,4.680299539170512,0.035533,2.3415898617511557
0.4,0.034647,0.066502,91.94158224377294,-0.029142,184.1111784570093,0.017325,49.99567062083297,0.10671,207.99203394233268,-0.017881,151.6090859237452,-0.006598,119.04349582936473,0.006538,81.12967933731635,0.00746,78.46855427598348,0.037905,9.40341155078363,0.037086,7.039570525586641,0.036275,4.698819522613803,0.035461,2.3494097613069016
0.42,0.034595,0.063159,82.5668449197861,-0.027271,178.82931059401648,0.016246,53.03945656886834,0.099659,188.07342101459747,-0.016734,148.37115190056366,-0.006239,118.03439803439804,0.006611,80.89030206677266,0.007747,77.60659054776701,0.037858,9.431998843763555,0.037038,7.061714120537651,0.036226,4.714554126318834,0.035411,2.3587223587223507
0.44,0.034582,0.05868,69.68365045399341,-0.025214,172.91076282459085,0.015533,55.08356948701637,0.097445,181.77953848823088,-0.015906,145.99502631426756,-0.006093,117.6189925394714,0.006224,82.0021976750911,0.007354,78.73460181597363,0.037846,9.438436180672014,0.037026,7.067260424498299,0.036214,4.7192180903360175,0.035398,2.3596090451679985
0.46,0.034546,0.058197,68.4623400683147,-0.025626,174.1793550628148,0.015873,54.052567591038034,0.093938,171.92149597637928,-0.016167,146.79847160307995,-0.006338,118.3465524228565,0.005939,82.80842934058936,0.007484,78.33613153476524,0.037813,9.4569559428009,0.036992,7.080414519770731,0.036179,4.7270306258322305,0.035363,2.364962658484335
0.48,0.034631,0.058772,69.70922006294936,-0.026891,177.6500822962086,0.016112,53.47521007190089,0.10086,191.24195085328176,-0.016241,146.89728855649562,-0.006337,118.29863417169588,0.0063160000000000004,81.76200513990355,0.0074,78.63186162686611,0.037891,9.41353122924547,0.037071,7.0457104906009,0.03626,4.703878028356093,0.035446,2.353382807311357
0.5,0.034482,0.053651,55.5913230091062,-0.023827,169.09982019604433,0.014042,59.27730410069022,0.088367,156.26993793863465,-0.014742,142.75274056029232,-0.005854,116.97697349341685,0.005762,83.28983237631228,0.006949,79.84745664404616,0.037755,9.491908821994079,0.036933,7.108056377240304,0.036119,4.747404442897743,0.035301,2.3751522533495746
