q_inverse_angstroms,debye,propo{e=0.380}_C60BuckyBallHe,propo{e=0.380}_C60BuckyBallHe_relDiffDebye,propo{e=0.390}_C60BuckyBallHe,propo{e=0.390}_C60BuckyBallHe_relDiffDebye,propo{e=0.400}_C60BuckyBallHe,propo{e=0.400}_C60BuckyBallHe_relDiffDebye,propo{e=0.410}_C60BuckyBallHe,propo{e=0.410}_C60BuckyBallHe_relDiffDebye,propo{e=0.420}_C60BuckyBallHe,propo{e=0.420}_C60BuckyBallHe_relDiffDebye,propo{e=0.430}_C60BuckyBallHe,propo{e=0.430}_C60BuckyBallHe_relDiffDebye,propo{e=0.440}_C60BuckyBallHe,propo{e=0.440}_C60BuckyBallHe_relDiffDebye,propo{e=0.450}_C60BuckyBallHe,propo{e=0.450}_C60BuckyBallHe_relDiffDebye,strat{s=0.15}_C60BuckyBallHe,strat{s=0.15}_C60BuckyBallHe_relDiffDebye,strat{s=0.20}_C60BuckyBallHe,strat{s=0.20}_C60BuckyBallHe_relDiffDebye,strat{s=0.25}_C60BuckyBallHe,strat{s=0.25}_C60BuckyBallHe_relDiffDebye,strat{s=0.30}_C60BuckyBallHe,strat{s=0.30}_C60BuckyBallHe_relDiffDebye,strat{s=0.35}_C60BuckyBallHe,strat{s=0.35}_C60BuckyBallHe_relDiffDebye,strat{s=0.40}_C60BuckyBallHe,strat{s=0.40}_C60BuckyBallHe_relDiffDebye,strat{s=0.45}_C60BuckyBallHe,strat{s=0.45}_C60BuckyBallHe_relDiffDebye,strat{s=0.50}_C60BuckyBallHe,strat{s=0.50}_C60BuckyBallHe_relDiffDebye
0.2,0.092597,0.066439,28.249295333542122,0.067739,26.845362160761155,0.069066,25.412270375930103,0.070388,23.98457833407129,0.071726,22.53960711470134,0.073075,21.082756460792464,0.074431,19.618346166722468,0.075789,18.151775975463572,0.006446,93.03865136019526,0.006274,93.22440251844012,0.006293,93.20388349514562,0.005938,93.58726524617428,0.004974,94.62833569122108,0.005438,94.12723954339774,0.006126,93.38423491041826,0.005444,94.12075985183105
0.22,0.059274,0.063284000000000007,6.7651921584505965,0.064664,9.093363025947294,0.066069,11.463710901913153,0.067463,13.81550089415257,0.06887,16.189222930795964,0.070286,18.578128690488242,0.071706,20.97378277153559,0.073124,23.36606269190538,0.00435,92.66120052636907,0.004162,92.97837163005703,0.003651,93.8404696831663,0.003915,93.39508047373216,0.003344,94.3584033471674,0.003861,93.48618281202552,0.003595,93.9349461821372,0.003432,94.20994027735601
0.24,0.059591,0.063242,6.126764108674143,0.064624,8.445906261012574,0.066029,10.803644845698186,0.067425,13.146280478595763,0.068833,15.509053380544055,0.07025,17.88692923428036,0.071671,20.271517511033547,0.073089,22.65107147052408,0.003934,93.39833196288029,0.00354,94.05950563004481,0.002904,95.12678088973168,0.003505,94.11823933144267,0.003548,94.046080784011,0.003845,93.54768337500629,0.003067,94.85324965179306,0.003155,94.70557634542129
0.26,0.051829,0.062462,20.515541492214776,0.063863,23.218661367188258,0.065288,25.96808736421694,0.066701,28.69436030021802,0.068127,31.445715718999,0.06956,34.21057709004611,0.070997,36.98315614810242,0.07243,39.7480175191495,0.003309,93.61554342163654,0.003007,94.19822879083138,0.002327,95.51023558239595,0.002852,94.49728916243801,0.003164,93.89530957572015,0.003289,93.65413185668255,0.002656,94.87545582588899,0.002619,94.94684443072413
0.28,0.036848,0.061078,65.75662179765523,0.062515,69.65642640034739,0.063973,73.61322188449849,0.065419,77.53745115067305,0.066875,81.48881893182806,0.068337,85.45646982197134,0.069802,89.43226226660879,0.071262,93.39448545375599,0.002669,92.75673035171515,0.002665,92.76758575770734,0.001882,94.89253148067738,0.002152,94.15979157620494,0.00233,93.67672600955275,0.00239,93.51389491966998,0.002204,94.01867129830657,0.001941,94.73241424229266
0.3,0.025332,0.060048,137.04405495026052,0.061511,142.81935891362704,0.062995,148.67756197694612,0.064464,154.47655139744194,0.065943,160.31501657982,0.067427,166.1732196431391,0.068912,172.03537028264645,0.070392,177.87778304121267,0.002299,90.92452234328124,0.002486,90.186325596084,0.001719,93.21411653244908,0.00175,93.09174167061424,0.001709,93.25359229433128,0.001779,92.97726196115586,0.001835,92.75619769461551,0.001549,93.88520448444653
0.32,0.019039,0.059454,212.2748043489679,0.060933,220.04306948894373,0.062431,227.9111297862283,0.063914,235.7004044330059,0.065406,243.53695047008773,0.066903,251.3997583906718,0.0684,259.26256631125585,0.069891,267.09385997163713,0.002009,89.44797520878197,0.002105,88.94374704553812,0.001628,91.44913073165607,0.001516,92.03739692210725,0.001373,92.7884867902726,0.001474,92.25799674352645,0.001442,92.42607279794107,0.001332,93.00383423499133
0.34,0.015225,0.05903,287.7175697865353,0.060519,297.4975369458128,0.062028,307.4088669950739,0.06352,317.20853858784886,0.065022,327.0738916256157,0.066528,336.9655172413793,0.068033,346.8505747126436,0.069533,356.70279146141206,0.001703,88.8144499178982,0.001549,89.82594417077175,0.001451,90.4696223316913,0.001299,91.4679802955665,0.001166,92.3415435139573,0.001267,91.67816091954025,0.001051,93.0968801313629,0.001095,92.80788177339902
0.36,0.012835,0.058747,357.70938839111807,0.060243,369.36501753019087,0.061759,381.1764705882353,0.063258,392.85547331515386,0.064766,404.6045968056097,0.066277,416.37709388391124,0.067789,428.15738215816134,0.069294,439.88313206077135,0.001552,87.90806388780678,0.001235,90.37787300350604,0.001308,89.80911569925983,0.001196,90.68172964550058,0.001093,91.48422282820412,0.001169,90.8920919361122,8.86e-4,93.09700038955981,9.33e-4,92.73081417997663
0.38,0.011514,0.058623,409.14538822303285,0.060123,422.1730067743616,0.061642,435.3656418273407,0.063143,448.40194545770373,0.064654,461.525099878409,0.066168,474.6743095362168,0.067682,487.82351919402475,0.069189,500.91193329859306,0.0016,86.10387354524926,0.001312,88.6051763071044,0.00134,88.36199409414624,0.001275,88.92652423137051,0.001177,89.77766197672398,0.001236,89.26524231370506,0.001013,91.20201493833594,9.79e-4,91.49730762549939
