q_inverse_angstroms,debye,propo{e=0.380}_BacteriorhodopsinArEnv,propo{e=0.380}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.390}_BacteriorhodopsinArEnv,propo{e=0.390}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.400}_BacteriorhodopsinArEnv,propo{e=0.400}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.410}_BacteriorhodopsinArEnv,propo{e=0.410}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.420}_BacteriorhodopsinArEnv,propo{e=0.420}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.430}_BacteriorhodopsinArEnv,propo{e=0.430}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.440}_BacteriorhodopsinArEnv,propo{e=0.440}_BacteriorhodopsinArEnv_relDiffDebye,propo{e=0.450}_BacteriorhodopsinArEnv,propo{e=0.450}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.15}_BacteriorhodopsinArEnv,strat{s=0.15}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.20}_BacteriorhodopsinArEnv,strat{s=0.20}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.25}_BacteriorhodopsinArEnv,strat{s=0.25}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.30}_BacteriorhodopsinArEnv,strat{s=0.30}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.35}_BacteriorhodopsinArEnv,strat{s=0.35}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.40}_BacteriorhodopsinArEnv,strat{s=0.40}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.45}_BacteriorhodopsinArEnv,strat{s=0.45}_BacteriorhodopsinArEnv_relDiffDebye,strat{s=0.50}_BacteriorhodopsinArEnv,strat{s=0.50}_BacteriorhodopsinArEnv_relDiffDebye
0.2,3.279961,2.009371,38.73796060379987,1.974261,39.80840016085557,1.943941,40.73280139611416,1.914027,41.644824435412495,1.884548,42.54358512189627,1.857594,43.36536318572081,1.833098,44.112201334101236,1.808999,44.846935680027904,2.785261,15.082496407731675,3.184677,2.905034541569242,2.611028,20.394541276557863,3.134009,4.4498090068753955,2.519292,23.191403800228112,2.771732,15.494970824348217,2.482164,24.32336847907643,2.706157,17.494232400934035
0.22,2.027486,1.362311,32.807871423033255,1.344173,33.70247686050607,1.328704,34.46544143831326,1.31364,35.208430539101144,1.299011,35.929964497905296,1.285847,36.579241484281525,1.274081,37.159566083316975,1.26271,37.72040842698791,1.896329,6.468947257835575,2.198112,8.41564380715822,1.619861,20.104947703707946,2.075178,2.3522727160631476,1.649506,18.642792108058956,1.770623,12.669039391640686,1.658996,18.17472475765555,1.777306,12.339419359739107
0.24,1.297135,0.973148,24.97712265878262,0.965217,25.588547067190383,0.95868,26.092503864285522,0.952548,26.565238005296287,0.946851,27.004436700883094,0.94198,27.379956596653386,0.937869,27.69688582915425,0.934155,27.98320914939463,1.352007,4.230245888053289,1.534609,18.30757785427114,1.119751,13.675060807086387,1.393411,7.42220354858978,1.108186,14.566641097495639,1.204859,7.113831636645379,1.219206,6.007778681478791,1.209149,6.783102761084998
0.26,0.879642,0.742869,15.548711862325812,0.740979,15.763571998608523,0.739727,15.905902628569352,0.738879,16.002305483367106,0.738467,16.0491427194245,0.738504,16.044936462788268,0.738924,15.997189765836556,0.739739,15.904538437227872,0.971522,10.44515837124648,1.059173,20.409552977233904,0.827409,5.9379838616164395,0.91595,4.127588268863925,0.741989,15.648752560700832,0.831444,5.4792745230446105,0.947872,7.756564602417802,0.834338,5.150277044524933
0.28,0.681558,0.629529,7.633833070699778,0.630611,7.4750791568729245,0.63196,7.277150293885485,0.633714,7.019798755204985,0.635904,6.698476138494446,0.638356,6.338712185903468,0.641005,5.950043870074146,0.64405,5.503273382456077,0.737139,8.154991944926183,0.762349,11.853870103498169,0.649318,4.730338430478411,0.616341,9.56881145845254,0.530387,22.180210635044993,0.587422,13.811883948247985,0.78179,14.706305259420327,0.626038,8.146041862908222
0.3,0.608019,0.586976,3.4609115833551125,0.589174,3.0994097223935437,0.5915,2.716855887727185,0.594231,2.2676922925105996,0.597397,1.7469848804067014,0.600756,1.1945350392010807,0.604242,0.6211976928352618,0.608124,0.017269197179696973,0.640232,5.2980252261853735,0.624145,2.6522197497117648,0.551542,9.288689991595659,0.475041,21.87069811963113,0.448612,26.217437284032236,0.452863,25.518281501071506,0.686913,12.975581355187918,0.557894,8.243985796496487
0.32,0.56771,0.567467,0.04280354406298871,0.570177,0.4345528526888722,0.572951,0.923182610840031,0.576129,1.4829754628243212,0.579743,2.119568089341382,0.583518,2.784520265628566,0.587388,3.466206337742857,0.591654,4.2176463335153445,0.635887,12.00912437688255,0.587839,3.5456483063535873,0.504893,11.064980359690688,0.441149,22.293248313399452,0.442712,22.017931690475777,0.398541,29.798488664987417,0.626097,10.284652375332469,0.570387,0.4715435697803331
0.34,0.510772,0.542528,6.217255448615039,0.545892,6.875866335664453,0.549238,7.530953145434753,0.552989,8.265331693984782,0.557175,9.084875443446386,0.561481,9.927913041435318,0.565842,10.781718653332593,0.570598,11.712858183299014,0.66578,30.34778727103287,0.589916,15.49497623205657,0.480664,5.894606595506414,0.453635,11.186400194215814,0.460165,9.907943270187092,0.388195,23.998378924451615,0.571405,11.870854314645293,0.597446,16.969215227146364
0.36,0.437082,0.50911,16.479287639390304,0.513351,17.449586118851833,0.517464,18.39059947561327,0.521981,19.424044000896856,0.526935,20.557469765398714,0.531953,21.705538091250606,0.536971,22.853606417102498,0.542385,24.092275591307803,0.690856,58.060958813220395,0.589395,34.84769448295742,0.459884,5.216870060995417,0.470042,7.540919095272737,0.475252,8.732915105174769,0.393253,10.027637834548209,0.515199,17.87239007783435,0.59765,36.73635610709203
0.38,0.370309,0.477628,28.98093214045567,0.482694,30.34897882579144,0.48753,31.65491521945187,0.49277,33.06994969066374,0.498446,34.60272367131233,0.504135,36.13900823366431,0.509773,37.66152051394917,0.515806,39.290700469067716,0.700756,89.23547631842598,0.573237,54.799640300397776,0.435938,17.722766662435962,0.475617,28.437872155416155,0.486027,31.249037965590897,0.398058,7.493471668255436,0.464421,25.414451174559616,0.56237,51.86506404111162
